Event_id,Episode,Glide_Number,Countries,Population_Affected,Max_Wind_speed,MAX_Storm_Surge,Vulnerability,Event_summary
1001008,49,"Canada, United States",1.1 million in Category 1 or higher,269 km/h,1.6 m (16 Sep 18:00 UTC),Low (Canada),"between
17 Sep 2023 15:00 - 18 Sep 2023 00:00
in Canada","Tropical Cyclone LEE-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001008,49,"Canada, United States",1.1 million in Category 1 or higher,269 km/h,1.6 m (16 Sep 18:00 UTC),Low (Canada),"between
17 Sep 2023 15:00 - 18 Sep 2023 00:00
in Canada","Tropical Cyclone LEE-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001008,49,"Canada, United States",1.1 million in Category 1 or higher,269 km/h,1.6 m (16 Sep 18:00 UTC),Low (Canada),"Tropical Cyclone LEE-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001009,41,,No people in Category 1 or higher,148 km/h,,--,"Tropical Cyclone MARGOT-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001010,28,,No people in Category 1 or higher,157 km/h,,--,"Tropical Cyclone NIGEL-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001012,13,,No people in Category 1 or higher,83 km/h,,--,"Tropical Cyclone KENNETH-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001013,12,"United States, Bahamas",No people in Category 1 or higher,111 km/h,n.a.,Low (The Bahamas),"Tropical Cyclone OPHELIA-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001014,53,"Bermuda, Antigua and Barbuda, Montserrat, Puerto Rico, United States, Virgin Islands British, Virgin Islands U.S., Anguilla, Canada, Saint Kitts and Nevis, Guadeloupe, Dominica, Martinique",No people in Category 1 or higher,93 km/h,n.a.,High (Montserrat),"Tropical Cyclone PHILIPPE-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001015,6,,No people in Category 1 or higher,56 km/h,n.a.,--,"Tropical Cyclone FOURTEEN-E-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001016,3,Viet Nam,No people in Category 1 or higher,56 km/h,n.a.,--,"Tropical Cyclone THIRTEEN-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001017,15,,No people in Category 1 or higher,83 km/h,,--,"Tropical Cyclone RINA-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001018,43,TC-2023-000183-CHN,"China, Japan, Philippines",3.8 million in Category 1 or higher,213 km/h,0.9 m (06 Oct 02:00 UTC),"Tropical Cyclone KOINU-23 can have a high humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001019,33,TC-2023-000187-MEX,Mexico,840 thousand in Category 1 or higher,204 km/h,0.4 m (11 Oct 00:00 UTC),"Tropical Cyclone LIDIA-23 can have a high humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001020,29,"Northern Mariana Islands, Guam",No people in Category 1 or higher,287 km/h,0.3 m (10 Oct 06:00 UTC),Medium (Guam),"Tropical Cyclone BOLAVEN-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001021,10,Mexico,No people in Category 1 or higher,93 km/h,0.2 m (09 Oct 16:00 UTC),Medium (Mexico),"Tropical Cyclone MAX-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001022,21,,No people in Category 1 or higher,74 km/h,0.2 m (13 Oct 05:00 UTC),--,"Tropical Cyclone SEAN-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001023,14,China,No people in Category 1 or higher,74 km/h,0.6 m (19 Oct 18:00 UTC),Medium (China),"Tropical Cyclone SANBA-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001024,24,TC-2023-000206-MEX,Mexico,430 thousand in Category 1 or higher,213 km/h,0.5 m (21 Oct 19:00 UTC),"Tropical Cyclone NORMA-23 can have a high humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001025,40,"Virgin Islands British, Antigua and Barbuda, Montserrat, Guadeloupe, Bermuda, Barbados, Dominica",30 thousand in Category 1 or higher,167 km/h,0.4 m (21 Oct 18:00 UTC),Low (Antigua & Barbuda),"Tropical Cyclone TAMMY-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001026,16,Yemen,40 thousand in Category 1 or higher,204 km/h,0.2 m (23 Oct 19:00 UTC),High (Yemen),"Tropical Cyclone TEJ-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001027,18,TC-2023-000207-VUT,"Vanuatu, Solomon Islands",60 thousand in Category 1 or higher,222 km/h,0.5 m (24 Oct 11:00 UTC),"Tropical Cyclone LOLA-23 can have a high humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001028,15,TC-2023-000209-MEX,Mexico,1.4 million in Category 1 or higher,259 km/h,0.7 m (25 Oct 07:00 UTC),"Tropical Cyclone OTIS-23 can have a high humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001029,7,TC-2023-000208-BGD,"Bangladesh, India, Myanmar",3.9 million in Category 1 or higher,148 km/h,0.8 m (24 Oct 17:00 UTC),"Tropical Cyclone HAMOON-23 can have a high humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001030,4,"Nicaragua, Honduras",No people in Category 1 or higher,46 km/h,n.a.,--,"Tropical Cyclone TWENTY-ONE-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001031,34,,No people in Category 1 or higher,93 km/h,,--,"Tropical Cyclone PILAR-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001032,6,,No people in Category 1 or higher,46 km/h,,--,"Tropical Cyclone SEVENTEEN-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001033,13,Fiji,No people in Category 1 or higher,139 km/h,0.3 m (14 Nov 17:00 UTC),Medium (Fiji),"Tropical Cyclone MAL-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001034,4,TC-2023-000230-BGD,"India, Bangladesh",No people in Category 1 or higher,74 km/h,1.6 m (17 Nov 12:00 UTC),"Tropical Cyclone MIDHILI-23 can have a medium humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001036,13,,No people in Category 1 or higher,74 km/h,,--,"Tropical Cyclone RAMON-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001037,8,India,No people in Category 1 or higher,111 km/h,0.6 m (03 Dec 16:00 UTC),High (India),"Tropical Cyclone MICHAUNG-23 can have a medium humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001038,35,"Papua New Guinea, Solomon Islands, Australia",No people in Category 1 or higher,222 km/h,0.8 m (11 Dec 06:00 UTC),High (Solomon Is.),"Tropical Cyclone JASPER-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001039,7,Philippines,No people in Category 1 or higher,65 km/h,n.a.,--,"Tropical Cyclone JELAWAT-23 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001040,18,Madagascar,No people in Category 1 or higher,127 km/h,0.1 m (03 Jan 17:00 UTC),High (Madagascar),"Tropical Cyclone ALVARO-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001041,27,"Miscellaneous (French) Indian Ocean Islands, Mauritius, Madagascar",960 thousand in Category 1 or higher,158 km/h,0.3 m (15 Jan 22:00 UTC),Medium (Reunion),"Tropical Cyclone BELAL-24 can have a medium humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001042,33,,No people in Category 1 or higher,213 km/h,0.8 m (22 Jan 18:00 UTC),--,"Tropical Cyclone ANGGREK-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001043,14,Australia,No people in Category 1 or higher,102 km/h,1 m (25 Jan 10:00 UTC),Low (Australia),"Tropical Cyclone KIRRILY-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001044,13,"Miscellaneous (French) Indian Ocean Islands, Mauritius",No people in Category 1 or higher,106 km/h,0.2 m (24 Jan 22:00 UTC),Medium (Mauritius),"Tropical Cyclone CANDICE-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001045,11,,No people in Category 1 or higher,95 km/h,0.3 m (04 Feb 16:00 UTC),--,"Tropical Cyclone 05-20232024-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001046,8,,No people in Category 1 or higher,83 km/h,0.2 m (08 Feb 10:00 UTC),--,"Tropical Cyclone NAT-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001047,7,Cook Islands,No people in Category 1 or higher,93 km/h,0.2 m (06 Feb 23:00 UTC),Medium (Cook Is.),"Tropical Cyclone OSAI-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001048,12,Vanuatu,No people in Category 1 or higher,74 km/h,0.2 m (10 Feb 00:00 UTC),Medium (Vanuatu),"Tropical Cyclone TWELVE-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001049,17,,No people in Category 1 or higher,243 km/h,,--,"Tropical Cyclone DJOUNGOU-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001050,13,Australia,No people in Category 1 or higher,74 km/h,0.8 m (24 Feb 05:00 UTC),Low (Australia),"Tropical Cyclone LINCOLN-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001051,4,Cook Islands,No people in Category 1 or higher,83 km/h,0.3 m (16 Feb 15:00 UTC),Medium (Cook Is.),"Tropical Cyclone FIFTEEN-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001052,20,"Miscellaneous (French) Indian Ocean Islands, Mauritius",No people in Category 1 or higher,116 km/h,0.1 m (22 Feb 07:00 UTC),Medium (Mauritius),"Tropical Cyclone ELEANOR-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001053,20,TC-2024-000032-MOZ,"Mozambique, South Africa, Eswatini, Zimbabwe, Malawi",No people in Category 1 or higher,158 km/h,n.a.,"Tropical Cyclone FILIPO-24 can have a medium humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001055,42,Christmas Island,No people in Category 1 or higher,213 km/h,0.8 m (16 Mar 08:00 UTC),Low (Christmas I.),"Tropical Cyclone NEVILLE-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001056,12,Australia,1 thousand in Category 1 or higher,176 km/h,1.6 m (16 Mar 21:00 UTC),Low (Australia),"Tropical Cyclone MEGAN-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001057,11,Madagascar,560 thousand in Category 1 or higher,169 km/h,0.6 m (28 Mar 01:00 UTC),High (Madagascar),"Tropical Cyclone GAMANE-24 can have a medium humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001058,21,Australia,No people in Category 1 or higher,222 km/h,0.7 m (09 Apr 22:00 UTC),Low (Australia),"Tropical Cyclone OLGA-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
1001059,6,,No people in Category 1 or higher,93 km/h,0.3 m (11 Apr 19:00 UTC),--,"Tropical Cyclone PAUL-24 can have a low humanitarian impact based on the maximum sustained wind speed,exposed population and vulnerability."
