Event_id,Episode,Site,Type,Name,Country
1000667,18,Site-Fuzhou,Nuclear Power Reactor,Fuqing-2,China
1000667,18,Site-Fuqing,Nuclear Power Plant,Fuqing-6,China
1000667,18,Site-Fuzhou,Nuclear Power Reactor,Fuqing-3,China
1000667,18,Site-Fuzhou,Nuclear Power Reactor,Fuqing-1,China
1000667,18,Site-Fuzhou,Nuclear Power Reactor,Fuqing-4,China
1000667,18,Site-Fuqing,Nuclear Power Plant,Fuqing-5,China
1000667,18,Site-Fuzhou,Nuclear Fuel Cycle,Fuzhou,China
1000667,18,Site-Ningde,Nuclear Power Reactor,Nindge-2,China
1000667,18,Site-Ningde,Nuclear Power Reactor,Nindge-4,China
1000667,18,Site-Ningde,Nuclear Power Reactor,Nindge-1,China
1000667,18,Site-Ningde,Nuclear Power Reactor,Nindge-3,China
1000667,18,Site-Hsinchu City,Research reactor,THOR,Taiwan
1000667,18,Site-Chinshan,Nuclear Power Plant,Chinshan-1,Taiwan
1000667,18,Site-Chinshan,Nuclear Power Plant,Chinshan-2,Taiwan
1000667,18,Site-New Taipei,Nuclear Power Reactor,Kuosheng-2,Taiwan
1000667,18,Site-Kuosheng,Nuclear Power Plant,Kuosheng-1,Taiwan
1000667,18,Site-Pingtung,Nuclear Power Reactor,Maanshan-2,Taiwan
1000667,18,Site-Pingtung,Nuclear Power Reactor,Maanshan-1,Taiwan
