Event_id,Episode,Countries
1000667,18,China
1000667,18,Taiwan
1000667,18,Japan
1000667,18,Philippines
1000673,4,India
1000702,24,China
1000702,24,North Korea
1000702,24,South Korea
1000702,24,Russia
1000702,24,Japan
1000705,24,South Korea
1000705,24,Japan
1000705,24,North Korea
1000705,24,China
1000706,29,North Korea
1000706,29,China
1000706,29,Russia
1000706,29,South Korea
1000706,29,Japan
1000726,24,United States
1000726,24,Mexico
1000726,24,Cuba
1000734,18,Vietnam
1000734,18,Laos
1000734,18,Philippines
1000736,37,Philippines
1000738,52,United States
1000738,52,The Bahamas
1000738,52,Cuba
1000738,52,Cayman Is.
1000738,52,Honduras
1000738,52,Nicaragua
1000738,52,Colombia
1000741,25,Vietnam
1000741,25,Laos
1000741,25,Philippines
