Event_id,Episode,Name,Region_Province,Country,City_class
1000667,18,Longtian,Fujian,China,City
1000667,18,Yuxi,Fujian,China,City
1000667,18,Kongcheng,Fujian,China,City
1000667,18,Tangbian,Fujian,China,City
1000667,18,Hanjiang,Fujian,China,City
1000667,18,Putian,Fujian,China,City
1000667,18,Luozhou,Fujian,China,City
1000667,18,Daitou,Fujian,China,City
1000667,18,Hushi,Fujian,China,City
1000667,18,Wuhang,Fujian,China,City
1000667,18,Fuzhou,Fujian,China,Major city
1000667,18,Zhangcheng,Fujian,China,City
1000667,18,Langqi,Fujian,China,City
1000667,18,Shangjie,Fujian,China,City
1000667,18,Rongan,Fujian,China,City
1000667,18,Fengcheng,Fujian,China,City
1000667,18,Licheng,Fujian,China,City
1000667,18,Meicheng,Fujian,China,City
1000667,18,Mabi,Fujian,China,City
1000667,18,Chongwu,Fujian,China,City
1000667,18,Fengshan,Fujian,China,City
1000667,18,Huyang,Fujian,China,City
1000667,18,Honglai,Fujian,China,City
1000667,18,Fengzhou,Fujian,China,City
1000667,18,Quanzhou,Fujian,China,City
1000667,18,Yongchun,Fujian,China,City
1000667,18,Jiaocheng,Fujian,China,City
1000667,18,Shishan,Fujian,China,City
1000667,18,Zhanghuban,Fujian,China,City
1000667,18,Xincheng,Fujian,China,City
1000667,18,Guanqiao,Fujian,China,City
1000667,18,Youxikou,Fujian,China,City
1000667,18,Anhai,Fujian,China,City
1000667,18,Fengcheng,Fujian,China,City
1000667,18,Banmian,Fujian,China,City
1000667,18,Youxi,Fujian,China,City
1000667,18,Hutou,Fujian,China,City
1000667,18,Songcheng,Fujian,China,City
1000667,18,Chin-men Tao,Chin-men (Jinmen),Taiwan,City
1000667,18,Junxi,Fujian,China,City
1000667,18,Yang-chai,Chin-men (Jinmen),Taiwan,City
1000667,18,Xindian,Fujian,China,City
1000667,18,Datong,Fujian,China,City
1000667,18,Muyang,Fujian,China,City
1000667,18,Hanyang,Fujian,China,City
1000667,18,Xiqin,Fujian,China,City
1000667,18,Nanping,Fujian,China,City
1000667,18,Chin-men,Chin-men (Jinmen),Taiwan,City
1000667,18,Anfengqiao,Fujian,China,City
1000667,18,Xiaoqiao,Fujian,China,City
1000667,18,Dianqian,Fujian,China,City
1000667,18,Tung-hsiao,Miao-li,Taiwan,City
1000667,18,Yüan-li,Miao-li,Taiwan,City
1000667,18,Chu-nan,Hsin-chu Shih,Taiwan,City
1000667,18,Hsin-chu,Hsin-chu Shih,Taiwan,Major city
1000667,18,Miao-li,Miao-li,Taiwan,Major city
1000667,18,Xiamen,Fujian,China,City
1000667,18,San-wan,Hsin-chu Shih,Taiwan,City
1000667,18,Ching-shui,T'ai-chung,Taiwan,City
1000667,18,Dongyou,Fujian,China,City
1000667,18,Gulangyu,Fujian,China,City
1000667,18,Jiaomei,Fujian,China,City
1000667,18,Xiayang,Fujian,China,City
1000667,18,Zhicheng,Fujian,China,City
1000667,18,Sanming,Fujian,China,City
1000667,18,Gaoqiao,Fujian,China,City
1000667,18,Xinkou,Fujian,China,City
1000667,18,Chung-li,T'ao-yuan,Taiwan,City
1000667,18,Ho-mel,Chang-hua,Taiwan,City
1000667,18,Tai-chung-hsien,T'ai-chung,Taiwan,City
1000667,18,Lu-kang,Chang-hua,Taiwan,City
1000667,18,Shih-kang,T'ai-chung,Taiwan,City
1000667,18,Fweng-yüan,T'ai-chung,Taiwan,Major city
1000667,18,Jingcheng,Fujian,China,City
1000667,18,Tao-yüan,T'ao-yuan,Taiwan,Major city
1000667,18,Xiongshan,Fujian,China,City
1000667,18,Chang-hua,Chang-hua,Taiwan,Major city
1000667,18,Gongchuan,Fujian,China,City
1000667,18,Nei-wan,Hsin-chu,Taiwan,City
1000667,18,Haicheng,Fujian,China,City
1000667,18,Shima,Fujian,China,City
1000667,18,Tai-chung,T'ai-chung Shih,Taiwan,Major city
1000667,18,Aoyang,Fujian,China,City
1000667,18,Tongshan,Fujian,China,City
1000667,18,Shuangxi,Fujian,China,City
1000667,18,Zhongxiu,Fujian,China,City
1000667,18,Yongan,Fujian,China,City
1000667,18,Tan-shui,T'ai-pei Chuan-Shih,Taiwan,City
1000667,18,Erh-lin,Chang-hua,Taiwan,City
1000667,18,Zhangzhou,Fujian,China,City
1000667,18,San-chih,T'ai-pei,Taiwan,City
1000667,18,Yuan Lin,Chang-hua,Taiwan,City
1000667,18,Fotan,Fujian,China,City
1000667,18,Pan-ch'iao,T'ai-pei,Taiwan,Major city
1000667,18,Luoyang,Zhejiang,China,City
1000667,18,Baisha,Fujian,China,City
1000667,18,Taipei,T'ai-pei Chuan-Shih,Taiwan,Capital
1000667,18,Songyuan,Fujian,China,City
1000667,18,Huxi,Fujian,China,City
1000667,18,Chihu,Fujian,China,City
1000673,4,Badlapur,Maharashtra,India,City
1000673,4,Pimpri,Maharashtra,India,City
1000673,4,Kopargaon,Maharashtra,India,City
1000673,4,Manmad,Maharashtra,India,City
1000673,4,Jalgaon,Maharashtra,India,City
1000673,4,Bhusawal,Maharashtra,India,City
1000702,24,Tong Hua,Jilin,China,Major city
1000702,24,Jian,Jilin,China,City
1000702,24,Badaojiang,Jilin,China,City
1000702,24,Hunjiang,Jilin,China,City
1000702,24,Lihue,Jilin,China,City
1000702,24,Shanchengzhen,Jilin,China,City
1000702,24,Kanggye,Chagang-do,Democratic People's Republic of Korea,City
1000702,24,Qingyu,Jilin,China,City
1000702,24,Dongfeng,Jilin,China,City
1000702,24,Kuandian,Liaoning,China,City
1000702,24,Liaoyuan,Jilin,China,City
1000702,24,Fushun,Liaoning,China,Major city
1000702,24,Huadian,Jilin,China,City
1000702,24,Benxi,Liaoning,China,City
1000702,24,Kaiyuan,Liaoning,China,City
1000702,24,Tieling,Liaoning,China,City
1000702,24,Laocheng,Liaoning,China,City
1000702,24,Dongling,Liaoning,China,City
1000702,24,Yantongshan,Jilin,China,City
1000702,24,Feng Cheng,Liaoning,China,City
1000702,24,Yitong,Jilin,China,City
1000702,24,Laochengzhen,Liaoning,China,City
1000702,24,Hyesan,Yanggang-do,Democratic People's Republic of Korea,City
1000702,24,Shenyang,Liaoning,China,Major city
1000702,24,Sinuiju,P'yongan-bukto,Democratic People's Republic of Korea,City
1000702,24,Sujiatun,Liaoning,China,City
1000702,24,Dandong,Liaoning,China,City
1000702,24,Siping,Jilin,China,City
1000702,24,Kaechon,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Chongju,P'yongan-bukto,Democratic People's Republic of Korea,City
1000702,24,Anju,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Faku,Liaoning,China,City
1000702,24,Liaoyang,Liaoning,China,City
1000702,24,Gongzhuling,Jilin,China,City
1000702,24,Bamiancheng,Liaoning,China,City
1000702,24,Sin-ni,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Xinan,Jilin,China,City
1000702,24,Hamhung,Hamgyong-namdo,Democratic People's Republic of Korea,City
1000702,24,Chigyong,Hamgyong-namdo,Democratic People's Republic of Korea,City
1000702,24,Anshan,Liaoning,China,Major city
1000702,24,Sunchon,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Fanjiatun,Jilin,China,City
1000702,24,Sukchon,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Jiupu,Liaoning,China,City
1000702,24,Datun,Jilin,China,City
1000702,24,Xinmin,Liaoning,China,City
1000702,24,Hongwon,Hamgyong-namdo,Democratic People's Republic of Korea,City
1000702,24,Tengaopu,Liaoning,China,City
1000702,24,Pyongwon,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Liaozhong,Liaoning,China,City
1000702,24,Changchun,Jilin,China,Major city
1000702,24,Jilin,Jilin,China,Major city
1000702,24,Xiuyan,Liaoning,China,City
1000702,24,Juliuhe,Liaoning,China,City
1000702,24,Jiaohe,Jilin,China,City
1000702,24,Haicheng,Liaoning,China,City
1000702,24,Dunhua,Jilin,China,City
1000702,24,Niuzhuang,Liaoning,China,City
1000702,24,Jiutai,Jilin,China,City
1000702,24,Pyongyang,P'yongyang-si,Democratic People's Republic of Korea,Capital
1000702,24,Dashioiao,Liaoning,China,City
1000702,24,Wonsan,Kangwon-do,Democratic People's Republic of Korea,City
1000702,24,Jishu,Jilin,China,City
1000702,24,Nampo,P'yongan-namdo,Democratic People's Republic of Korea,City
1000702,24,Gaizhou,Liaoning,China,City
1000702,24,Songnim,Hwanghae-bukto,Democratic People's Republic of Korea,City
1000702,24,Hwangju,Hwanghae-bukto,Democratic People's Republic of Korea,City
1000702,24,Dehui,Jilin,China,City
1000702,24,Longjing,Jilin,China,City
1000702,24,Chongsong,Jilin,China,City
1000702,24,Yanji,Jilin,China,City
1000702,24,Hoeryong,Hamgyong-bukto,Democratic People's Republic of Korea,City
1000702,24,Sariwon,Hwanghae-bukto,Democratic People's Republic of Korea,City
1000702,24,Anak,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Kaishantun,Jilin,China,City
1000702,24,Chaeryong,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Sinchon,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Yushu,Jilin,China,City
1000702,24,Chengzitan,Liaoning,China,City
1000702,24,Ayang-ni,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Pyonggang,Kangwon-do,Democratic People's Republic of Korea,City
1000702,24,Changyon,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Dongjingcheng,Heilongjiang,China,City
1000702,24,Pyoksong,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Haeju,Hwanghae-namdo,Democratic People's Republic of Korea,City
1000702,24,Kaesong,Kaesong-si,Democratic People's Republic of Korea,City
1000702,24,Ongjin,Hwanghae-namdo,Democratic People's Republic of Korea,City
