Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft
1001008,49,Iles de la Madeleine,YGR,10,Civ.,Paved,Yes,4500
1001008,49,Cable Head Airpark,,29,,,,0
1001008,49,Pabok,,27,,,,0
1001008,49,St Andrews,,20,,,,0
1001008,49,Gaspe,YGP,33,Civ.,Paved,Yes,4000
1001008,49,Charlottetown,YYG,49,Civ.,Paved,Yes,7000
1001008,49,Pokemouche,,21,,,,0
1001008,49,Mount Pleasant,,34,,,,0
1001008,49,Summerside,YSU,20,Civ.,Paved,Yes,8000
1001008,49,Natashquan,YNA,11,Civ.,Paved,Yes,4500
1001008,49,Kegaska,ZKG,unknown,,,,0
1001008,49,Sydney,YQY,62,Civ.,Paved,Yes,7000
1001008,49,Bonaventure,YVB,37,Civ.,Paved,Yes,6000
1001008,49,Fox Harbour,,19,,,,0
1001008,49,Buctouche,,16,,,,0
1001008,49,Stephenville,YJT,26,Civ.,Paved,Yes,10000
1001008,49,Port Menier,YPN,51,Civ.,Paved,Yes,4900
1001008,49,Port Hawkesbury,YPS,115,Civ.,Paved,Yes,5000
1001008,49,Gethsemani,ZGS,unknown,,,,0
1001008,49,Trenton,,97,Civ.,Paved,Yes,5000
1001008,49,Tatamagouche,,3,,,,0
1001008,49,Havre St Pierre,YGV,38,Civ.,Paved,Yes,4500
1001008,49,Miramichi,YCH,34,Civ.,Paved,Yes,5800
1001008,49,Bathurst,ZBF,59,Civ.,Paved,Yes,4500
1001008,49,Baie Johan Beetz,YBJ,unknown,,,,0
1001008,49,Moncton,YQM,71,Civ.,Paved,Yes,8000
1001008,49,McEwen,,65,,,,0
1001008,49,Mingan,YLP,22,,,,0
1001008,49,Debert,,43,,,,0
1001008,49,Charlo,YCL,40,Civ.,Paved,Yes,6000
1001008,49,Chevery,YHR,9,Civ.,Paved,No,4500
1001008,49,Sevogle,,411,,,,0
1001008,49,Riviere Au Tonnerre,YTN,unknown,,,,0
1001008,49,Doaktown,,99,,,,0
1001008,49,Tete A La Baleine,ZTB,unknown,,,,0
1001008,49,Stanley,,29,,,,0
1001008,49,Ste Anne Des Monts,,22,Civ.,Paved,Yes,3900
1001008,49,Chipman,,15,,,,0
1001008,49,Deer Lake,YDF,22,Civ.,Paved,Yes,6000
1001008,49,Halifax International,YHZ,145,Civ.,Paved,Yes,8800
1001008,49,Sussex,,122,,,,0
1001008,49,La Tabatiere,ZLT,unknown,,,,0
1001008,49,Waterville,,36,,,,0
1001008,49,Buchans,YZM,unknown,,,,0
1001008,49,Halifax Shearwater,YAW,51,Civ.,Paved,Yes,8900
1001008,49,Clearwater,,396,,,,0
1001008,49,Causapscal,,104,,,,0
1001008,49,Halifax Waterfront,YWF,unknown,,,,0
1001008,49,Sept Iles,YZV,55,Civ.,Paved,Yes,6500
1001008,49,Gagetown,YCX,unknown,,,,0
1001008,49,Greenwood,YZX,28,Mil.,Paved,Yes,8000
1001008,49,Down's Gulch,,269,,,,0
1001008,49,Matane,YME,31,Civ.,Paved,Yes,5500
1001008,49,Fredericton,YFC,20,Civ.,Paved,Yes,6000
1001008,49,Saint John,YSJ,109,Civ.,Paved,Yes,7000
1001008,49,Juniper,,259,,,,0
1001008,49,Boston Brook,,290,,,,0
1001008,49,Weyman,,43,,,,0
1001008,49,St Augustin,YIF,6,Civ.,Paved,Yes,4500
1001008,49,Miquelon,MQC,3,,,,0
1001008,49,Blissville,,23,,,,0
1001008,49,Grand Falls,,217,,,,0
1001008,49,St Leonard,YSL,241,Civ.,Paved,Yes,4000
1001008,49,Van Buren,,134,,,,0
1001008,49,Loring AFB,LIZ,227,,,,0
1001008,49,Bay D Espoir,,227,,,,0
1001008,49,Morrill Airpark,,262,,,,0
1001008,49,St Pierre,FSP,7,,,,0
1001008,49,Florenceville,,158,,,,0
1001008,49,Mont Joli,YYY,52,Civ.,Paved,Yes,6000
1001008,49,Woodstock,,147,,,,0
