Event_id,Episode,Reservoir,Dam_Name,River,Year
1000667,18,,Jianxin,Wanjiaoxi,1974
1000667,18,,Dongzhang,Long Jiang,1958
1000667,18,,Dongzhen,Mulanxi,1960
1000667,18,,Dongxi,Chaiqiaotouxi,1980
1000667,18,,Shanzi,Ao Jiang,1996
1000667,18,,Lingxi,Lingxi,1956
1000667,18,,Guyang,Kuxi,1961
1000667,18,,Shuikou,Min Jiang,1995
1000667,18,,Wutan,Daluoxi,1960
1000667,18,,Longmentan,Dazhangxi,n/a
1000667,18,,Shanmei,Dongxi,1972
1000667,18,,Zheya,Shufu Jiang,n/a
1000667,18,,Gutian,Gutianxi,1959
1000667,18,,Houqiao,Pengxi,1965
1000667,18,,Shuidong,Youxi,1995
1000667,18,,Shibi,Jiuxi,1958
1000667,18,,Jiemian,Youxi,2007
1000667,18,,Hongkou,Huotong,2008
1000667,18,,Tingxi,Tingxi,1956
1000667,18,,Liutang,Trib. Youxi,n/a
1000667,18,,Shaxikou,Min Jiang,1990
1000667,18,,Qinshan,Muyang,2001
1000667,18,,Mingteh,Houlung,1970
1000667,18,,Shihmen,Tahan,1964
1000667,18,,Nanxi,Nanxi,1981
1000667,18,,Yangmei,Dengfan He,1977
1000667,18,,Baisha,Houxi,2006
1000667,18,,Guguan,Dajiaxi,1961
1000667,18,,Qiaodun,Ao Jiang,1973
1000667,18,,Wujiayuan,Zaoxi,1962
1000667,18,,Ansha,Jiulongxi,1975
1000667,18,,Wananxi,Wananxi,1995
1000667,18,,Shanxi,Feiyun,2001
1000667,18,,Qinyuan,Qinyuanxi,1978
1000667,18,,Baizhanggji,Feiyun Jiang,1960
1000667,18,,Huanggang,Hongfangxi,1974
1000667,18,,Zumalin,Xugouxi,1976
1000667,18,,Chitan,Jinxi,1980
1000667,18,,Guanyang,Huangtan He,1991
1000667,18,,Fengtou,Zhang Jiang,1977
1000667,18,,Dongxi,Dongxi,1986
1000667,18,,Dutang,Baiyinxi,1959
1000667,18,,Wushantou,Offstream Kuantien,1930
1000667,18,,Tsengwen,Tsengwen,1973
1000667,18,,Tankeng,Xiaoxi,2008
1000667,18,,Jitou,Jiouxian He,1972
1000667,18,,Jinshuitan,Longquanxi,1989
1000667,18,,Shitang,Ou Jiang,n/a
1000667,18,,Xiyuan,Tufangxi,1978
1000667,18,,Mianhuatan,Trib. Ting Jiang,2001
1000667,18,,Liaoyuan,,1963
1000667,18,,Baishi,Baishixi,1958
1000667,18,,Zhongqian,Baishixi,1960
1000667,18,,Juntan,Fengxi,1973
1000667,18,,Tangxi,Huanggang He,1962
1000667,18,,Tanhu,,1965
1000667,18,,Guanli,Fengxi He,1964
1000667,18,,Jinkeng,,n/a
1000667,18,,Ridong,,1973
1000667,18,,Luntan,Yangcun,2014
1000667,18,,Chengping 1,,n/a
1000667,18,,Chengping 2,,n/a
1000667,18,,Fengxi,,n/a
1000667,18,,Xiakou,Jianshangan,1973
1000667,18,,Shangtan,,n/a
1000667,18,,Fenghuang,,1969
1000667,18,,Longshan,,1961
1000667,18,,Hongmen,Litan Shui,1969
1000667,18,,Qingtong,,1963
1000667,18,,Changtan,Trib. Mei Jiang,1987
1000667,18,,Fangtuan,,1970
1000667,18,,Hunanzhen,Wuxi Jiang,1985
1000667,18,,Fuxi,Dajinxi,1979
1000667,18,,Mayuan,,1958
1000667,18,,Baimiao,Trib. Xin He,1960
1000667,18,,Zhukeng,,n/a
1000667,18,,Muceng,Lingshangang,2009
1000667,18,,Yuankou,Wuyi Jiang,n/a
1000667,18,,Shibikeng,Gong Jiang,1973
1000667,18,,Tuanjie,Mei Jiang,1978
1000667,18,,Huangtankou,Lan Jiang,1958
1000667,18,,Qingxikou,Trib. Wuyi Jiang,n/a
1000667,18,,Majie,,n/a
1000667,18,,Gaofang,Trib. Xin He,1969
1000667,18,,Shuiduili,,n/a
1000667,18,,Liao Fang,Fuhe,2007
1000667,18,,Wangzhai,,n/a
1000667,18,,Human,Trib. Jiao Jiang,n/a
1000667,18,,Taihu,Trib. Jiao Jiang,1962
1000667,18,,Huangtian,,n/a
1000667,18,,Mingyangguan,Hengfeng Shui,1974
1000667,18,,Xinfan,Trib. Fuchun Jiang,n/a
1000667,18,,Yangxi,Wuyi Jiang,n/a
1000667,18,,Changtan,Huangyanxi,1961
1000667,18,,Yuejin,,n/a
1000667,18,,Andi,Wuyi Jiang,1965
1000667,18,,Duitouling,,n/a
1000667,18,,Qiyi,Xin Jiang,1958
1000667,18,,Qianjin,,1960
1000667,18,,Meixi,,n/a
1000673,4,,Dimbhe,Ghod,n/a
1000673,4,,Wadaj,Meena,1983
1000673,4,,Manikdoh,Kukadi,1984
1000673,4,,Thakurwadi,Indrayani,1922
1000673,4,,Pimpalgaon Joga,Pushpavati,n/a
1000673,4,,Yedgaon,Kukadi,1977
1000673,4,,Bhandardari,Paravara,1926
1000673,4,,Mulshi Lake,Mula,1927
1000673,4,,Vir Baji Pasalkar,Mosi,n/a
1000673,4,,Girna,Girna,1969
1000673,4,,Hatnur,Tapi,1982
1000702,24,,Huanren,Hun Jiang,1972
1000702,24,,Hongsheng,Trib. Hun He,1976
1000702,24,,Yunfeng,Yalu Jiang,1971
1000702,24,,Houlou,Trib. Hun He,1961
1000702,24,,Huilongshan,Hun Jiang,1974
1000702,24,,Laohushao,Yalu Jiang,1986
1000702,24,,Taipingshao,Hun Jiang,1909
1000702,24,,Xiaogujia,Trib. Hun He,1970
1000702,24,,Songwon,Chungman Gang,n/a
1000702,24,,Yaobao,Trib. Hun He,1960
1000702,24,,Guanyinge,Taizi He,1995
1000702,24,,Zhenziling,Xun He,1976
1000702,24,,Shuifeng,Yalu Jiang,1943
1000702,24,,Dahuofang,Hun He,1964
1000702,24,,Guanmenshan,Xiaotang He,1988
1000702,24,,Shandaohe,Xiaojia He,1972
1000702,24,,Yingshou,Trib. Hun He,1965
1000702,24,,Taipingwan,Yalu Jiang,1979
1000702,24,,Changjin,Changjingang,1938
1000702,24,,Chaihe,Chai He,1974
1000702,24,,Liushan,Trib. Hun He,n/a
1000702,24,,Qinghe,Qing He,1964
1000702,24,,Shangsi,Trib. Hun He,n/a
1000702,24,,Baishan,Songhua Jiang,1986
1000702,24,,Nanchengzi,Ye He,1962
1000702,24,,Pujon,Pujongang,1934
1000702,24,,Mapyong,Daeryonggang,n/a
1000702,24,,Qipanshan,Trib. Hun He,1977
1000702,24,,Hongshi,Songhua Jiang,1988
1000702,24,,Taeha,Samgyochon,1928
1000702,24,,Manpung,Samgyochon,1973
1000702,24,,Pungsan,Unpochon,1932
1000702,24,,Erlongshan,Dongliao He,1967
1000702,24,,Shenwo,Taizi He,1972
1000702,24,,Hongshan,Trib. Sutai He,1971
1000702,24,,Hongdingshan,Trib. Sutai He,1960
1000702,24,,Pongmyong,Danchongang,1959
1000702,24,,Maebong,Ingokchon,1973
1000702,24,,Taesong,Wondangchon,1958
1000702,24,,Tanghe,Tang He,1969
1000702,24,,Paoziyan,,1956
1000702,24,,Yonpung,Hoejuchon,1956
1000702,24,,Hwangsuwon,Hwangsuwon,1959
1000702,24,,Shangtun,,1958
1000702,24,,Niuqibao,,1959
1000702,24,,Tumenzi,Tuniu He,1977
1000702,24,,Sachopyong,Hwangsuwon Gang,1944
1000702,24,,Naejungri,Hwangsuwon Gang,1944
1000702,24,,Santaizi,,1944
1000702,24,,Wolonghu,Trib. Xiushui He,1958
1000702,24,,Fengman,Songhua Jiang,1941
1000702,24,,Chamo,Chamochon,1962
1000702,24,,Huanzidong,Trib. Xiushui He,1975
1000702,24,,Jianshanzi,Trib. Xiushui He,1966
1000702,24,,Shangying,Trib. Taizi,1983
1000702,24,,Lamazhang,Trib. Xiushui He,1953
1000702,24,,Sanhecheng,Trib. Xiushui He,1960
1000702,24,,Luoquanbei,Xiaoyang He,1972
1000702,24,,Shitoukoumen,Yinma He,1965
1000702,24,,Munam,Namdaechon,1962
1000702,24,,Pyongwon,Hanchon,1976
1000702,24,,Wangjiakan,Trib. Taizi,1960
1000702,24,,Changsuwon,Samsokchon,1967
1000702,24,,Chwayong,Sampochon,1959
1000702,24,,Shimen,Daqin He,1971
1000702,24,,Haksong,Haksongchon,1965
1000702,24,,Yadong,Toudao He,1978
1000702,24,,Mayang,Songchonsu,1943
1000702,24,,Daxin,Hailan He,1984
1000702,24,,Yontan,Hwangjuchon,1974
1000702,24,,Puchon,Namdaechon,1931
1000702,24,,Wolchon,Sanchonchon,1934
1000702,24,,Unbong,Chongchon Chon,1960
1000702,24,,Singok,Chisokchon,1958
1000702,24,,Biliuhe,Biliu He,1986
1000702,24,,Kuwol,Wonjongchon,1933
1000702,24,,Sowon,Pujongchon,1938
1000702,24,,Hasong,Hasongchon,1943
1000702,24,,Changsu,Chaeryonggang,1959
1000702,24,,Dongsong,Daegyo,1977
1000702,24,,Sanmyong,Daegyo,1971
1000702,24,,Togyo,Hantan,1976
1000702,24,,Sudong,Sudongchon,1978
1000702,24,,Kuam,Hoeyangchon,1934
1000702,24,,Kangryong,Kwangmyong Chon,1970
1000702,24,,Huashouchuan,Hama He,1971
1000702,24,,Aeryong,Yeonpung,1960
1000702,24,,Songnae,,1975
1000702,24,,Sinchang,Hongchon,1978
1000702,24,,Masan,Omok,1928
1000702,24,,Yedang,Trib. Muhan,1964
1000702,24,,Sindae,Sindae,1977
1000702,24,,Chongchon,Daechon,1988
1000702,24,,Oksan,Oksan,1957
1000702,24,,Naejang,Naejang,1964
1000702,24,,Ungok,Gwangryu,1961
1000702,24,,Sansu,Haemi,1962
1000702,24,,Samjung,Trib. Samjung,1985
1000702,24,,Yangchon,Trib. Samsan,1961
1000702,24,Kannako,Kanna,Kannafukujigawa,1993
1000705,24,,Unmun,Tongchang,n/a
1000705,24,Junam Reservoir,Junam,Chuchon,1958
1000705,24,,Munchon,Kumho,1959
1000705,24,,Talchang,Chachon,n/a
1000705,24,,Angye,Taehwa,1971
1000705,24,,Yongchon,Trib. Angye,1959
1000705,24,,Hapchon,Wi,1989
1000705,24,,Songju,Taega,n/a
1000705,24,,Namgang,Nam,1970
1000705,24,,Imha,Panbyon,1993
1000705,24,,An Dong,Nakdong,1977
1000705,24,,Suo,Suo,1978
1000705,24,,Otae,Trib. Dong,1959
1000705,24,,Chungju,Namhan,1986
1000705,24,,Toam,Song,n/a
1000705,24,,Hoengsong,Kye,2005
1000705,24,,Munam,Chonan,1977
1000705,24,,Munam,Namdaechon,1962
1000705,24,,Hwangsuwon,Hwangsuwon,1959
1000705,24,,Naejungri,Hwangsuwon Gang,1944
1000705,24,,Sachopyong,Hwangsuwon Gang,1944
1000706,29,,Munam,Namdaechon,1962
1000706,29,,Sachopyong,Hwangsuwon Gang,1944
1000706,29,,Naejungri,Hwangsuwon Gang,1944
1000706,29,,Hwangsuwon,Hwangsuwon,1959
1000706,29,,Pujon,Pujongang,1934
1000706,29,,Changjin,Changjingang,1938
1000706,29,,Mayang,Songchonsu,1943
1000706,29,,Yunfeng,Yalu Jiang,1971
1000706,29,,Daxin,Hailan He,1984
1000706,29,,Yadong,Toudao He,1978
1000706,29,,Puchon,Namdaechon,1931
1000706,29,,Laohushao,Yalu Jiang,1986
1000706,29,,Songwon,Chungman Gang,n/a
1000706,29,,Baishan,Songhua Jiang,1986
1000706,29,,Munam,Chonan,1977
1000706,29,,Hasong,Hasongchon,1943
1000706,29,,Yonpung,Hoejuchon,1956
1000706,29,,Hongshi,Songhua Jiang,1988
1000706,29,,Mapyong,Daeryonggang,n/a
1000706,29,,Chamo,Chamochon,1962
1000706,29,,Singok,Chisokchon,1958
1000706,29,,Dongsong,Daegyo,1977
1000706,29,,Huanren,Hun Jiang,1972
1000706,29,,Togyo,Hantan,1976
1000706,29,,Hwachon,North Han,1944
1000706,29,,Huilongshan,Hun Jiang,1974
1000706,29,,Sanmyong,Daegyo,1971
1000706,29,,Taipingshao,Hun Jiang,1909
1000706,29,,Taesong,Wondangchon,1958
1000706,29,,Changsuwon,Samsokchon,1967
1000706,29,,Soyanggang,Soyang,1973
1000706,29,,Choonchon,North Han,1965
1000706,29,,Pongmyong,Danchongang,1959
1000706,29,,Pungsan,Unpochon,1932
1000706,29,,Yontan,Hwangjuchon,1974
1000706,29,,Shuifeng,Yalu Jiang,1943
1000706,29,,Hongsheng,Trib. Hun He,1976
1000706,29,,Uiam,North Han,1967
1000706,29,,Pyongwon,Hanchon,1976
1000706,29,,Toam,Song,n/a
1000706,29,,Chwayong,Sampochon,1959
1000706,29,,Houlou,Trib. Hun He,1961
1000706,29,,Manpung,Samgyochon,1973
1000706,29,,Taeha,Samgyochon,1928
1000706,29,,Haksong,Haksongchon,1965
1000706,29,,Chongyong,Chongyong,1984
1000706,29,,Maebong,Ingokchon,1973
1000706,29,,Taipingwan,Yalu Jiang,1979
1000706,29,,Hoengsong,Kye,2005
1000706,29,,Xiaogujia,Trib. Hun He,1970
1000706,29,,Aeryong,Yeonpung,1960
1000706,29,,Unbong,Chongchon Chon,1960
1000706,29,,Wolchon,Sanchonchon,1934
1000706,29,,Paldang,Han,1974
1000706,29,,Fengman,Songhua Jiang,1941
1000706,29,,Huashouchuan,Hama He,1971
1000706,29,,Changsu,Chaeryonggang,1959
1000706,29,,Kuam,Hoeyangchon,1934
1000706,29,,Kuwol,Wonjongchon,1933
1000706,29,,Sowon,Pujongchon,1938
1000706,29,,Guanmenshan,Xiaotang He,1988
1000706,29,,Guanyinge,Taizi He,1995
1000706,29,,Yaobao,Trib. Hun He,1960
1000706,29,,Chungju,Namhan,1986
1000706,29,,Kangryong,Kwangmyong Chon,1970
1000706,29,,Zhenziling,Xun He,1976
1000706,29,,Dahuofang,Hun He,1964
1000706,29,,Sudong,Sudongchon,1978
1000706,29,,Idong,Jinwi,1972
1000706,29,,Shandaohe,Xiaojia He,1972
1000706,29,,Kumsok,Ung,n/a
1000706,29,,Tumenzi,Tuniu He,1977
1000706,29,,Mugeuk,Trib. Han,1981
1000706,29,,Yonggye,Ung,n/a
1000706,29,,Yingshou,Trib. Hun He,1965
1000706,29,,Madun,Woldong,1975
1000706,29,,Maengdong,Kunja,n/a
1000706,29,,Erlongshan,Dongliao He,1967
1000706,29,,Wonnam,Chopyung,1988
1000706,29,,Qinghe,Qing He,1964
1000706,29,,Liushan,Trib. Hun He,n/a
1000706,29,,Nanchengzi,Ye He,1962
1000706,29,,Chaihe,Chai He,1974
1000706,29,,Shitoukoumen,Yinma He,1965
1000706,29,,Shangsi,Trib. Hun He,n/a
1000706,29,,Songnae,,1975
1000706,29,,Shenwo,Taizi He,1972
1000706,29,,An Dong,Nakdong,1977
1000706,29,,Qipanshan,Trib. Hun He,1977
1000706,29,,Imha,Panbyon,1993
1000706,29,,Luoquanbei,Xiaoyang He,1972
1000706,29,,Hongshan,Trib. Sutai He,1971
1000706,29,,Sinchang,Hongchon,1978
1000706,29,,Masan,Omok,1928
1000706,29,,Hongdingshan,Trib. Sutai He,1960
1000706,29,,Tanghe,Tang He,1969
1000706,29,,Hangye,Hangye,1978
1000706,29,,Otae,Trib. Dong,1959
1000706,29,,Samga,Haengjung,1979
1000706,29,,Daechong,Geum,1981
1000726,24,,Lake Chicot Dam North,Offstream Mississippi River,1942
1000726,24,,Lake Hico,Pearl River,1958
1000726,24,,Ross Barnett Reservoir,Pearl River,1965
1000726,24,,Lake Georgia-Pacific Dam,Trib. Saline River,1963
1000726,24,Black Bayou Lake,Hannas Run Dam,Trib. Bayou Besiard,1932
1000726,24,Bayou Darbonne Reservoir,Bayou Darbonne Dam,Bayou Darbonne,1961
1000726,24,,Turkey Creek Dam,Trib. Turkey Creek,1953
1000726,24,Caney Lake,Caney Creek Dam,Caney Creek,1986
1000726,24,Lake Claiborne,Lake Claiborne,Bayou Darbonne,1966
1000726,24,,Larto Lake Dam,Larto Bayou,1959
1000726,24,Kepler Creek Lake,Kepler Creek Dam,Kepler Creek,1958
1000726,24,Iatt Lake,Iatt Lake Dam,Bayou Rigolette,1957
1000726,24,Black Lake Bayou Reservoir,Black Lake Bayou Dam,Black Lake Bayou,1990
1000726,24,,Nantachie Lake Dam,Bayou Nantachie,1964
1000726,24,John K. Kelly Grand Bayou Reservoir,Grand Bayou Reservoir Dam,Grand Bayou,1994
1000726,24,,Lake Bistineau,Loggy Bayou,1941
1000726,24,Sibley Lake,Sibley Lake Dam,Youngs Bayou,1962
1000726,24,Kincaid Lake,Kincaid Reservoir,Trib. Bayou Boeuf,1972
1000726,24,Cotile Lake,Cotile Lake Dam,Cotile Creek,1965
1000726,24,Indian Creek,Indian Creek Dam,Indian Creek,1972
1000726,24,Lock 1,Lindy Claiborne Boggs Lock and Dam,Red River,1995
1000726,24,,Cypress Black Bayou Site 1,Cypress Bayou,1975
1000726,24,,False River Spillway,False River,1948
1000726,24,Chicot Lake,Chicot Lake Dam,Bayou Chicot,1953
1000726,24,Cross Lake,Cross Lake Dam and Spillway,Cross Bayou,1925
1000726,24,Millers Lake,Millers Lake,Trib. Bayou des Cannes,1947
1000726,24,Vernon Lake,Vernon Lake Dam,Bayou Anacoco,1961
1000726,24,Lake Anacoco,Lower Anacoco Dam,Bayou Anacoco,1951
1000726,24,Toledo Bend,Toledo Bend,Sabine,1966
1000726,24,Bundicks Lake,Bundicks Creek Dam,Bundicks Creek,1961
1000726,24,Lake Murvaul,Murvaul Bayou Dam,Murvaul Bayou,1956
1000726,24,,Sam Rayburn Dam And Reservoir,Angelina River,1965
1000726,24,B.A. Steinhagen Lake,Town Bluff Dam,Neches River,1951
1000726,24,,Lake Kurth Dam,Trib. Angelina River,1960
1000726,24,,Bayou Loco Dam,Bayou Loco,1977
1000726,24,,Livingston Dam,Trinity River,1969
1000726,24,,Lake Anahuac Levee,Turtle Bayou,n/a
1000726,24,,Cedar Bayou Generating Pond Levee,Cedar Bayou,1972
1000726,24,,Lewis Creek Dam,Lewis Creek,1969
1000726,24,,Lake Houston Dam,San Jacinto River,1954
1000726,24,,Conroe Dam,West Fork of San Jacinto River,1973
1000726,24,Lake George,Smithers Lake Dam,Dry Creek,1957
1000726,24,,William Harris Reservoir Dam,Offstream Oyster Creek,1947
1000726,24,,Brazoria Reservoir Dam,Offstream Brazos River,1954
1000726,24,,Cooling Reservoir Dam,Offstream Colorado River,1981
1000736,37,,Binga,Agno,1959
1000736,37,,Angat,Angat,1968
1000736,37,,Masiway,Upper Papanga,1977
1000736,37,,Pantabangan,Upper Papanga,1974
1000736,37,Caliraya,Caliraya,Caliraya,1949
1000738,52,,Pinopolis West Dam,Cooper River,1942
1000738,52,,North Santee Dam,Santee River,1942
1000738,52,Lake Oklawaha,Rodman Dam and Spillway,Oklawaha River,1968
1000738,52,,Sanford Cooling Reservoir,Offstream St. Johns River,1971
1000738,52,,Taylor Creek Structure,Taylor Creek,1969
1000738,52,Lake Eustis,Eugene J. Burrell Lock and Dam,Haines Creek,1957
1000738,52,,Structure 62,Ajay-Hart Canal C-29A,1969
1000738,52,,Structure 58,Trout-Joel Canal C-32C,1969
1000738,52,,Structure 59,St. Cloud C-31,1963
1000738,52,,Structure 60,Alligator Lake,1966
1000738,52,,Structure 63,Canoe Creek C-34,1966
1000738,52,,Brogden Bridge,Lake Tsala Apopka,1972
1000738,52,,Structure 61,South Port Canal C-35,1964
1000738,52,Lake Apopka,Golf Course,Lake Tsala Apopka,1970
1000738,52,,Inglis,Withlacoochee,1909
1000738,52,,Structure 65,Kissimmee River C-38,1964
1000738,52,Lake Fannie,Dam P-7,Canal P7,1965
1000738,52,Lake Hamilton,Dam P-8,Canal P8,1965
1000738,52,Lake Smart,Dam P-6,Canal P6,1965
1000738,52,,Lake Hartridge Dam,Lake Conine,1959
1000738,52,Lake Hancock,Dam P-11,Saddle Creek,1965
1000738,52,,Clear Springs CS-8,,1977
1000738,52,,Noralyn N-14,,1974
1000738,52,,Clear Springs N-12,,1968
1000738,52,,South Ridgewood,,1969
1000738,52,,Noralyn N-9,,1961
1000738,52,,Noralyn N-15,,1974
1000738,52,,Fort Meade,,1972
1000738,52,,Nichols N-4,,1978
1000738,52,,West Polk A-10,,1971
1000738,52,Edward Medard Reservoir,Edward Medard Reservoir Dam,Little Alafia River,1977
1000738,52,,Martin Plant Cooling Water Reservoir,Offstream St. Lucie Canal,1981
1000738,52,,West Polk K-1,,1966
1000738,52,,Payne Creek Settling Area 2,,1967
1000738,52,,Area C,,1969
1000738,52,,Area E,,1974
1000738,52,,Jack Creek Structure,Jack Creek,1962
1000738,52,,Big Four Mine Dam BF-1,Lake Branch of Alfia River,1977
1000738,52,,Structure 193,Taylor Creek,1972
1000738,52,,Manatee Cooling Water Reservoir,Little Manatee River,1975
1000738,52,,Lake Manatee Dam,Manatee River,1967
1000738,52,,Structure 39,Hillsboro Canal,1952
1000738,52,,Structure 336,Tamiami Canal C-4,1978
1000738,52,,Zaza,Zaza,1972
1000738,52,,El Mancotal,Tuma,n/a
