Event_id,Episode,Radius,Population
1448468,1596951,Radius,Population
1448468,1596951,100 km,120000 people
1448468,1596951,75 km,75000 people
1448468,1596951,50 km,38000 people
1448468,1596951,20 km,<1000 people
1448468,1596951,10 km,no people
1448468,1596951,5 km,no people
1448468,1596951,2 km,no people
1448470,1596927,Radius,Population
1448470,1596927,100 km,12000 people
1448470,1596927,75 km,no people
1448470,1596927,50 km,no people
1448470,1596927,20 km,no people
1448470,1596927,10 km,no people
1448470,1596927,5 km,no people
1448470,1596927,2 km,no people
1448473,1596948,Radius,Population
1448473,1596948,100 km,4.4 million people
1448473,1596948,75 km,4.1 million people
1448473,1596948,50 km,1.5 million people
1448473,1596948,20 km,48000 people
1448473,1596948,10 km,31000 people
1448473,1596948,5 km,4200 people
1448473,1596948,2 km,<1000 people
1448492,1596959,Radius,Population
1448492,1596959,100 km,38000 people
1448492,1596959,75 km,36000 people
1448492,1596959,50 km,35000 people
1448492,1596959,20 km,no people
1448492,1596959,10 km,no people
1448492,1596959,5 km,no people
1448492,1596959,2 km,no people
1448502,1596970,Radius,Population
1448502,1596970,100 km,510000 people
1448502,1596970,75 km,390000 people
1448502,1596970,50 km,260000 people
1448502,1596970,20 km,6900 people
1448502,1596970,10 km,2600 people
1448502,1596970,5 km,no people
1448502,1596970,2 km,no people
1448539,1597014,Radius,Population
1448539,1597014,100 km,5.3 million people
1448539,1597014,75 km,3.8 million people
1448539,1597014,50 km,1.6 million people
1448539,1597014,20 km,140000 people
1448539,1597014,10 km,38000 people
1448539,1597014,5 km,1800 people
1448539,1597014,2 km,<1000 people
1448553,1597034,Radius,Population
1448553,1597034,100 km,no people
1448553,1597034,75 km,no people
1448553,1597034,50 km,no people
1448553,1597034,20 km,no people
1448553,1597034,10 km,no people
1448553,1597034,5 km,no people
1448553,1597034,2 km,no people
1448556,1597039,Radius,Population
1448556,1597039,100 km,no people
1448556,1597039,75 km,no people
1448556,1597039,50 km,no people
1448556,1597039,20 km,no people
1448556,1597039,10 km,no people
1448556,1597039,5 km,no people
1448556,1597039,2 km,no people
1448563,1597059,Radius,Population
1448563,1597059,100 km,6700 people
1448563,1597059,75 km,no people
1448563,1597059,50 km,no people
1448563,1597059,20 km,no people
1448563,1597059,10 km,no people
1448563,1597059,5 km,no people
1448563,1597059,2 km,no people
1448566,1597164,Radius,Population
1448566,1597164,100 km,no people
1448566,1597164,75 km,no people
1448566,1597164,50 km,no people
1448566,1597164,20 km,no people
1448566,1597164,10 km,no people
1448566,1597164,5 km,no people
1448566,1597164,2 km,no people
1448589,1597089,Radius,Population
1448589,1597089,100 km,no people
1448589,1597089,75 km,no people
1448589,1597089,50 km,no people
1448589,1597089,20 km,no people
1448589,1597089,10 km,no people
1448589,1597089,5 km,no people
1448589,1597089,2 km,no people
1448594,1597094,Radius,Population
1448594,1597094,100 km,no people
1448594,1597094,75 km,no people
1448594,1597094,50 km,no people
1448594,1597094,20 km,no people
1448594,1597094,10 km,no people
1448594,1597094,5 km,no people
1448594,1597094,2 km,no people
1448599,1597101,Radius,Population
1448599,1597101,100 km,26.3 million people
1448599,1597101,75 km,6.5 million people
1448599,1597101,50 km,460000 people
1448599,1597101,20 km,no people
1448599,1597101,10 km,no people
1448599,1597101,5 km,no people
1448599,1597101,2 km,no people
1448605,1597108,Radius,Population
1448605,1597108,100 km,21000 people
1448605,1597108,75 km,17000 people
1448605,1597108,50 km,5200 people
1448605,1597108,20 km,1900 people
1448605,1597108,10 km,1700 people
1448605,1597108,5 km,no people
1448605,1597108,2 km,no people
1448606,1597115,Radius,Population
1448606,1597115,100 km,5.6 million people
1448606,1597115,75 km,2.2 million people
1448606,1597115,50 km,680000 people
1448606,1597115,20 km,31000 people
1448606,1597115,10 km,no people
1448606,1597115,5 km,no people
1448606,1597115,2 km,no people
1448634,1597154,Radius,Population
1448634,1597154,100 km,270000 people
1448634,1597154,75 km,110000 people
1448634,1597154,50 km,12000 people
1448634,1597154,20 km,no people
1448634,1597154,10 km,no people
1448634,1597154,5 km,no people
1448634,1597154,2 km,no people
1448653,1597176,Radius,Population
1448653,1597176,100 km,110000 people
1448653,1597176,75 km,30000 people
1448653,1597176,50 km,no people
1448653,1597176,20 km,no people
1448653,1597176,10 km,no people
1448653,1597176,5 km,no people
1448653,1597176,2 km,no people
1448685,1597356,Radius,Population
1448685,1597356,100 km,no people
1448685,1597356,75 km,no people
1448685,1597356,50 km,no people
1448685,1597356,20 km,no people
1448685,1597356,10 km,no people
1448685,1597356,5 km,no people
1448685,1597356,2 km,no people
1448696,1597303,Radius,Population
1448696,1597303,100 km,33000 people
1448696,1597303,75 km,4600 people
1448696,1597303,50 km,no people
1448696,1597303,20 km,no people
1448696,1597303,10 km,no people
1448696,1597303,5 km,no people
1448696,1597303,2 km,no people
1448699,1597241,Radius,Population
1448699,1597241,100 km,no people
1448699,1597241,75 km,no people
1448699,1597241,50 km,no people
1448699,1597241,20 km,no people
1448699,1597241,10 km,no people
1448699,1597241,5 km,no people
1448699,1597241,2 km,no people
1448714,1597270,Radius,Population
1448714,1597270,100 km,1.3 million people
1448714,1597270,75 km,240000 people
1448714,1597270,50 km,58000 people
1448714,1597270,20 km,12000 people
1448714,1597270,10 km,<1000 people
1448714,1597270,5 km,no people
1448714,1597270,2 km,no people
1448764,1597315,Radius,Population
1448764,1597315,100 km,250000 people
1448764,1597315,75 km,8000 people
1448764,1597315,50 km,<1000 people
1448764,1597315,20 km,<1000 people
1448764,1597315,10 km,<1000 people
1448764,1597315,5 km,<1000 people
1448764,1597315,2 km,<1000 people
1448765,1597319,Radius,Population
1448765,1597319,100 km,9.8 million people
1448765,1597319,75 km,4.5 million people
1448765,1597319,50 km,1.7 million people
1448765,1597319,20 km,250000 people
1448765,1597319,10 km,35000 people
1448765,1597319,5 km,3000 people
1448765,1597319,2 km,<1000 people
1448773,1597328,Radius,Population
1448773,1597328,100 km,no people
1448773,1597328,75 km,no people
1448773,1597328,50 km,no people
1448773,1597328,20 km,no people
1448773,1597328,10 km,no people
1448773,1597328,5 km,no people
1448773,1597328,2 km,no people
1448786,1597350,Radius,Population
1448786,1597350,100 km,no people
1448786,1597350,75 km,no people
1448786,1597350,50 km,no people
1448786,1597350,20 km,no people
1448786,1597350,10 km,no people
1448786,1597350,5 km,no people
1448786,1597350,2 km,no people
1448791,1597364,Radius,Population
1448791,1597364,100 km,61000 people
1448791,1597364,75 km,<1000 people
1448791,1597364,50 km,no people
1448791,1597364,20 km,no people
1448791,1597364,10 km,no people
1448791,1597364,5 km,no people
1448791,1597364,2 km,no people
1448817,1597398,Radius,Population
1448817,1597398,100 km,360000 people
1448817,1597398,75 km,76000 people
1448817,1597398,50 km,39000 people
1448817,1597398,20 km,7700 people
1448817,1597398,10 km,<1000 people
1448817,1597398,5 km,<1000 people
1448817,1597398,2 km,<1000 people
1448819,1597401,Radius,Population
1448819,1597401,100 km,8400 people
1448819,1597401,75 km,1000 people
1448819,1597401,50 km,<1000 people
1448819,1597401,20 km,<1000 people
1448819,1597401,10 km,no people
1448819,1597401,5 km,no people
1448819,1597401,2 km,no people
1448827,1597411,Radius,Population
1448827,1597411,100 km,no people
1448827,1597411,75 km,no people
1448827,1597411,50 km,no people
1448827,1597411,20 km,no people
1448827,1597411,10 km,no people
1448827,1597411,5 km,no people
1448827,1597411,2 km,no people
1448828,1597413,Radius,Population
1448828,1597413,100 km,1100 people
1448828,1597413,75 km,1100 people
1448828,1597413,50 km,1100 people
1448828,1597413,20 km,no people
1448828,1597413,10 km,no people
1448828,1597413,5 km,no people
1448828,1597413,2 km,no people
1448835,1597423,Radius,Population
1448835,1597423,100 km,320000 people
1448835,1597423,75 km,83000 people
1448835,1597423,50 km,4900 people
1448835,1597423,20 km,no people
1448835,1597423,10 km,no people
1448835,1597423,5 km,no people
1448835,1597423,2 km,no people
1448845,1597469,Radius,Population
1448845,1597469,100 km,no people
1448845,1597469,75 km,no people
1448845,1597469,50 km,no people
1448845,1597469,20 km,no people
1448845,1597469,10 km,no people
1448845,1597469,5 km,no people
1448845,1597469,2 km,no people
1448872,1597468,Radius,Population
1448872,1597468,100 km,3.8 million people
1448872,1597468,75 km,2.2 million people
1448872,1597468,50 km,610000 people
1448872,1597468,20 km,19000 people
1448872,1597468,10 km,no people
1448872,1597468,5 km,no people
1448872,1597468,2 km,no people
1448886,1597488,Radius,Population
1448886,1597488,100 km,no people
1448886,1597488,75 km,no people
1448886,1597488,50 km,no people
1448886,1597488,20 km,no people
1448886,1597488,10 km,no people
1448886,1597488,5 km,no people
1448886,1597488,2 km,no people
1448892,1597617,Radius,Population
1448892,1597617,100 km,no people
1448892,1597617,75 km,no people
1448892,1597617,50 km,no people
1448892,1597617,20 km,no people
1448892,1597617,10 km,no people
1448892,1597617,5 km,no people
1448892,1597617,2 km,no people
1448903,1597508,Radius,Population
1448903,1597508,100 km,5300 people
1448903,1597508,75 km,3600 people
1448903,1597508,50 km,1900 people
1448903,1597508,20 km,<1000 people
1448903,1597508,10 km,no people
1448903,1597508,5 km,no people
1448903,1597508,2 km,no people
1448904,1597510,Radius,Population
1448904,1597510,100 km,no people
1448904,1597510,75 km,no people
1448904,1597510,50 km,no people
1448904,1597510,20 km,no people
1448904,1597510,10 km,no people
1448904,1597510,5 km,no people
1448904,1597510,2 km,no people
1448907,1597518,Radius,Population
1448907,1597518,100 km,69000 people
1448907,1597518,75 km,8500 people
1448907,1597518,50 km,<1000 people
1448907,1597518,20 km,no people
1448907,1597518,10 km,no people
1448907,1597518,5 km,no people
1448907,1597518,2 km,no people
1448908,1597522,Radius,Population
1448908,1597522,100 km,55000 people
1448908,1597522,75 km,55000 people
1448908,1597522,50 km,53000 people
1448908,1597522,20 km,28000 people
1448908,1597522,10 km,no people
1448908,1597522,5 km,no people
1448908,1597522,2 km,no people
1448930,1597547,Radius,Population
1448930,1597547,100 km,2.9 million people
1448930,1597547,75 km,1.9 million people
1448930,1597547,50 km,780000 people
1448930,1597547,20 km,39000 people
1448930,1597547,10 km,4100 people
1448930,1597547,5 km,<1000 people
1448930,1597547,2 km,no people
1448934,1597634,Radius,Population
1448934,1597634,100 km,no people
1448934,1597634,75 km,no people
1448934,1597634,50 km,no people
1448934,1597634,20 km,no people
1448934,1597634,10 km,no people
1448934,1597634,5 km,no people
1448934,1597634,2 km,no people
1448937,1597557,Radius,Population
1448937,1597557,100 km,no people
1448937,1597557,75 km,no people
1448937,1597557,50 km,no people
1448937,1597557,20 km,no people
1448937,1597557,10 km,no people
1448937,1597557,5 km,no people
1448937,1597557,2 km,no people
1448952,1597577,Radius,Population
1448952,1597577,100 km,180000 people
1448952,1597577,75 km,51000 people
1448952,1597577,50 km,21000 people
1448952,1597577,20 km,5000 people
1448952,1597577,10 km,<1000 people
1448952,1597577,5 km,<1000 people
1448952,1597577,2 km,no people
1448963,1597593,Radius,Population
1448963,1597593,100 km,<1000 people
1448963,1597593,75 km,no people
1448963,1597593,50 km,no people
1448963,1597593,20 km,no people
1448963,1597593,10 km,no people
1448963,1597593,5 km,no people
1448963,1597593,2 km,no people
1448989,1597791,Radius,Population
1448989,1597791,100 km,no people
1448989,1597791,75 km,no people
1448989,1597791,50 km,no people
1448989,1597791,20 km,no people
1448989,1597791,10 km,no people
1448989,1597791,5 km,no people
1448989,1597791,2 km,no people
1449001,1597642,Radius,Population
1449001,1597642,100 km,no people
1449001,1597642,75 km,no people
1449001,1597642,50 km,no people
1449001,1597642,20 km,no people
1449001,1597642,10 km,no people
1449001,1597642,5 km,no people
1449001,1597642,2 km,no people
1449008,1597652,Radius,Population
1449008,1597652,100 km,3400 people
1449008,1597652,75 km,<1000 people
1449008,1597652,50 km,<1000 people
1449008,1597652,20 km,no people
1449008,1597652,10 km,no people
1449008,1597652,5 km,no people
1449008,1597652,2 km,no people
1449021,1597676,Radius,Population
1449021,1597676,100 km,4.6 million people
1449021,1597676,75 km,2.9 million people
1449021,1597676,50 km,950000 people
1449021,1597676,20 km,120000 people
1449021,1597676,10 km,56000 people
1449021,1597676,5 km,21000 people
1449021,1597676,2 km,<1000 people
1449028,1597683,Radius,Population
1449028,1597683,100 km,<1000 people
1449028,1597683,75 km,no people
1449028,1597683,50 km,no people
1449028,1597683,20 km,no people
1449028,1597683,10 km,no people
1449028,1597683,5 km,no people
1449028,1597683,2 km,no people
1449032,1597691,Radius,Population
1449032,1597691,100 km,12000 people
1449032,1597691,75 km,no people
1449032,1597691,50 km,no people
1449032,1597691,20 km,no people
1449032,1597691,10 km,no people
1449032,1597691,5 km,no people
1449032,1597691,2 km,no people
1449033,1597690,Radius,Population
1449033,1597690,100 km,no people
1449033,1597690,75 km,no people
1449033,1597690,50 km,no people
1449033,1597690,20 km,no people
1449033,1597690,10 km,no people
1449033,1597690,5 km,no people
1449033,1597690,2 km,no people
1449035,1597694,Radius,Population
1449035,1597694,100 km,1.2 million people
1449035,1597694,75 km,610000 people
1449035,1597694,50 km,260000 people
1449035,1597694,20 km,27000 people
1449035,1597694,10 km,1200 people
1449035,1597694,5 km,<1000 people
1449035,1597694,2 km,no people
1449038,1597698,Radius,Population
1449038,1597698,100 km,4900 people
1449038,1597698,75 km,<1000 people
1449038,1597698,50 km,no people
1449038,1597698,20 km,no people
1449038,1597698,10 km,no people
1449038,1597698,5 km,no people
1449038,1597698,2 km,no people
1449057,1597720,Radius,Population
1449057,1597720,100 km,<1000 people
1449057,1597720,75 km,no people
1449057,1597720,50 km,no people
1449057,1597720,20 km,no people
1449057,1597720,10 km,no people
1449057,1597720,5 km,no people
1449057,1597720,2 km,no people
1449059,1597722,Radius,Population
1449059,1597722,100 km,no people
1449059,1597722,75 km,no people
1449059,1597722,50 km,no people
1449059,1597722,20 km,no people
1449059,1597722,10 km,no people
1449059,1597722,5 km,no people
1449059,1597722,2 km,no people
1449060,1597724,Radius,Population
1449060,1597724,100 km,no people
1449060,1597724,75 km,no people
1449060,1597724,50 km,no people
1449060,1597724,20 km,no people
1449060,1597724,10 km,no people
1449060,1597724,5 km,no people
1449060,1597724,2 km,no people
1449064,1597731,Radius,Population
