Event_id,Episode,Name,Region_Province,Country,City_class,Population,Distance
1448468,1596951,Gaïdhourás,,Greece,Village,-,21 km
1448468,1596951,Káto Zákros,Lasithi,Greece,Village,-,26 km
1448468,1596951,Ziros,Lasithi,Greece,Village,-,27 km
1448468,1596951,Zákros,Lasithi,Greece,Village,-,28 km
1448468,1596951,Lithinai,,Greece,Village,-,30 km
1448468,1596951,Makriyialos,,Greece,Village,-,31 km
1448468,1596951,Koutsouras,,Greece,Village,-,32 km
1448468,1596951,Praisós,Lasithi,Greece,Village,-,33 km
1448468,1596951,Ayía Fotiá,Lasithi,Greece,Village,-,38 km
1448468,1596951,Palaíkastron,Lasithi,Greece,Village,-,38 km
1448468,1596951,Mouliana Kriti,,Greece,Village,-,40 km
1448468,1596951,Koutsounára,,Greece,Village,-,40 km
1448468,1596951,Sitia,Lasithi,Greece,City,12000 people,41 km
1448468,1596951,Skopi Kriti,,Greece,Village,-,41 km
1448468,1596951,Sfáka,Lasithi,Greece,Village,-,43 km
1448468,1596951,Skopi,Lasithi,Greece,Village,-,44 km
1448468,1596951,Kavoúsi,Lasithi,Greece,Village,-,45 km
1448468,1596951,Vái,Lasithi,Greece,Village,-,45 km
1448468,1596951,Káto Khorió,Lasithi,Greece,Village,-,46 km
1448468,1596951,Ierapetra,,Greece,Village,12000 people,48 km
1448468,1596951,Ammoudhárai,,Greece,Village,-,56 km
1448468,1596951,Kalamávka,Lasithi,Greece,Village,-,58 km
1448468,1596951,Anatoli,,Greece,Village,-,59 km
1448468,1596951,Ayios Nikolaos,Lasithi,Greece,Village,12000 people,60 km
1448468,1596951,Myrtos,,Greece,Village,-,62 km
1448468,1596951,Kritsá,Lasithi,Greece,City,-,63 km
1448468,1596951,Káto Vígles,,Greece,Village,-,67 km
1448473,1596948,Thívai,Voiotia,Greece,Village,17000 people,6 km
1448473,1596948,Plataiaí,Voiotia,Greece,Village,-,8 km
1448473,1596948,Erithraí,Attiki,Greece,City,-,9 km
1448473,1596948,Váyia,Voiotia,Greece,City,-,9 km
1448473,1596948,Víllia,Attiki,Greece,Village,-,14 km
