Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1448468,1596951,Sitia,JSH,122,Civ.,Paved,No,2300,41 km
1448468,1596951,Essey,KSJ,10,Civ.,Paved,No,3200,88 km
1448468,1596951,Kasteli,,360,Mil.,Paved,Yes,8000,91 km
1448470,1596927,Vavau International,VAV,72,Civ.,Unpaved,Yes,5500,95 km
1448473,1596948,Tanagra,,148,Mil.,Paved,Yes,9800,26 km
1448473,1596948,Elefsis,,44,Mil.,Paved,Yes,8900,35 km
1448473,1596948,Megara,,6,Mil.,Paved,No,4100,35 km
1448473,1596948,Tatoi,,239,Mil.,Paved,Yes,4300,49 km
1448473,1596948,Ellinikon Airport,,21,Civ.,Paved,Yes,11400,59 km
1448473,1596948,Marathon,,5,Civ.,Paved,No,3800,67 km
1448473,1596948,Athinai / Athens Eleftherios Venizelos Internation,ATH,94,,,,0,71 km
1448473,1596948,Lamia,,18,,,,0,98 km
1448492,1596959,White Grass,,6,Civ.,Paved,Yes,5000,24 km
1448492,1596959,Tanna Island Tanna,TAH,unknown,,,,0,24 km
1448492,1596959,Aniwa,AWD,unknown,,,,0,70 km
1448492,1596959,Ipota,IPA,unknown,,,,0,85 km
1448492,1596959,Dillons Bay,DLY,unknown,,,,0,91 km
1448502,1596970,Rio de Agua,,10,,,,0,31 km
1448502,1596970,Carupano,CUP,10,Civ.,Paved,No,6700,46 km
1448502,1596970,Guiria,GUI,13,Civ.,Paved,No,5100,64 km
1448539,1597014,Baganga,BNQ,unknown,,,,0,45 km
1448539,1597014,Imelda Romualdez Marcos,MXI,47,Civ.,Paved,No,4200,51 km
1448539,1597014,Francisco Bangoy International,DVO,27,Civ.,Paved,Yes,8200,68 km
1448539,1597014,Bislig,BPH,3,Civ.,Paved,No,3900,89 km
1448599,1597101,Halim Perdanakusuma International,HLP,26,Civ.,Paved,Yes,9800,85 km
1448599,1597101,Soekarno Hatta International,CGK,10,Civ.,Paved,Yes,12000,98 km
1448634,1597154,Cabo Velas,,10,,,,0,43 km
1448634,1597154,Flamingo,FMG,unknown,,,,0,50 km
1448634,1597154,Santa Cruz Guanacaste,SZC,unknown,,,,0,71 km
1448634,1597154,Liberia International,LIR,70,Civ.,Paved,Yes,9000,78 km
1448634,1597154,Nosara,NOB,10,Civ.,Paved,No,3200,81 km
1448634,1597154,La Flor,,55,Civ.,Paved,No,3100,81 km
1448634,1597154,Nicoya Guanacaste,NCT,unknown,,,,0,88 km
1448634,1597154,Playa Samara,PLD,unknown,,,,0,92 km
1448634,1597154,Nicoya,,120,,,,0,92 km
1448653,1597176,Mono,MNY,11,,,,0,84 km
1448653,1597176,Arawa,RAW,unknown,,,,0,86 km
1448653,1597176,Boku,BOQ,unknown,,,,0,86 km
1448653,1597176,Buin,UBI,unknown,,,,0,90 km
1448653,1597176,Karato,KAF,unknown,,,,0,91 km
1448653,1597176,Oria,OTY,unknown,,,,0,95 km
1448653,1597176,Torokina,TOK,unknown,,,,0,95 km
1448696,1597303,Kirakira,IRA,2,,,,0,96 km
1448696,1597303,Santa Ana,NNB,unknown,,,,0,99 km
1448714,1597270,Noto,,218,,,,0,50 km
1448764,1597315,Ozero Khalaktyrka,,38,,,,0,74 km
1448764,1597315,Petropavlovsk-Kamchats,PKC,84,Civ.,Paved,Yes,11100,89 km
1448764,1597315,Zhupanovskiy,,61,,,,0,96 km
1448765,1597319,Luzhou,LZO,219,,,,0,85 km
1448817,1597398,Obihiro,OBO,149,Civ.,Paved,Yes,8200,61 km
1448817,1597398,Tokachi,,84,Civ.,Paved,Yes,4900,79 km
1448828,1597413,Squaw Harbor,,unknown,,,,0,27 km
1448828,1597413,Sand Point,SDP,6,Civ.,Paved,Yes,4000,35 km
1448828,1597413,Herendeen Bay,,6,,,,0,94 km
1448872,1597468,Bejaia,BJA,6,Civ.,Paved,Yes,7800,58 km
1448908,1597522,Ishigaki,ISG,26,Civ.,Paved,Yes,4900,19 km
1448908,1597522,Iriomote Jima,,12,,,,0,37 km
1448908,1597522,Hateruma,HTR,unknown,,,,0,47 km
1448908,1597522,,,9,,,,0,72 km
1448930,1597547,Momeik,MOE,183,Civ.,Unpaved,No,4400,80 km
1448952,1597577,Linga Linga,LGN,unknown,,,,0,7 km
1448952,1597577,Kandrian,KDR,112,,,,0,66 km
1448952,1597577,Talasea,TLW,unknown,,,,0,79 km
1448952,1597577,Bali,BAJ,unknown,,,,0,88 km
1448989,1597791,Islas del Cisne,,12,Civ.,Unpaved,No,4600,72 km
1449008,1597652,Igloo,,610,,,,0,53 km
1449008,1597652,Summit,UMM,734,,,,0,65 km
1449008,1597652,Golden North Airfield,,686,,,,0,69 km
1449008,1597652,Era Chulitna River,,293,,,,0,70 km
1449008,1597652,Cantwell,,668,,,,0,71 km
1449008,1597652,Talkeetna,TKA,109,Civ.,Paved,Yes,3500,77 km
1449008,1597652,Road Commission Nr 1,,770,,,,0,82 km
1449008,1597652,Clearwater,,884,,,,0,95 km
1449008,1597652,Montana Creek,,76,,,,0,96 km
1449008,1597652,Secluded Lake,,91,,,,0,97 km
1449008,1597652,Denali,,625,,,,0,99 km
1449021,1597676,Sendai,SDJ,5,Civ.,Paved,Yes,9800,55 km
1449021,1597676,Fukushima,FKS,372,Civ.,Paved,Yes,8200,62 km
1449021,1597676,Kasuminome,,5,,,,0,66 km
1449021,1597676,Matsushima,,2,Civ.,Paved,Yes,8800,89 km
1449021,1597676,Ojojibara,,70,,,,0,97 km
1449021,1597676,Junmachi,GAJ,108,Civ.,Paved,Yes,6500,97 km
1449066,1597734,Hualien,HUN,16,Civ.,Paved,Yes,9000,40 km
1449066,1597734,Sun Moon Lake,SMT,unknown,,,,0,60 km
1449066,1597734,Lishan,LHN,unknown,,,,0,68 km
1449072,1597745,Olga Bay,KOY,unknown,,,,0,41 km
1449072,1597745,Alitak,ALZ,unknown,,,,0,48 km
1449072,1597745,Moser Bay,KMY,unknown,,,,0,48 km
1449072,1597745,Akhiok,AKK,13,,,,0,49 km
1449072,1597745,Karluk,KYK,42,,,,0,57 km
1449072,1597745,Karluk Lake,KKL,112,,,,0,60 km
1449072,1597745,Larsen Bay,,23,,,,0,73 km
1449072,1597745,Amook Bay,,unknown,,,,0,77 km
1449072,1597745,Bear Creek,BCC,unknown,,,,0,80 km
1449072,1597745,Sitkinak,SKJ,unknown,,,,0,81 km
1449072,1597745,Zachar Bay,KZB,unknown,,,,0,85 km
1449072,1597745,Old Harbor,,17,,,,0,100 km
1449098,1597823,Santa Cruz,SCZ,unknown,,,,0,93 km
1449106,1598135,Cabo Velas,,10,,,,0,38 km
1449106,1598135,Flamingo,FMG,unknown,,,,0,43 km
1449106,1598135,Santa Cruz Guanacaste,SZC,unknown,,,,0,66 km
1449106,1598135,Liberia International,LIR,70,Civ.,Paved,Yes,9000,70 km
1449106,1598135,La Flor,,55,Civ.,Paved,No,3100,72 km
1449106,1598135,Nosara,NOB,10,Civ.,Paved,No,3200,80 km
1449106,1598135,Nicoya Guanacaste,NCT,unknown,,,,0,83 km
1449106,1598135,Playa Samara,PLD,unknown,,,,0,87 km
1449106,1598135,Nicoya,,120,,,,0,88 km
1449106,1598135,Tamarindo,TNO,unknown,,,,0,92 km
1449115,1598137,Flamingo,FMG,unknown,,,,0,28 km
