Event_id,Episode,Name,LOCODE,Country,Distance
1448468,1596951,Sitia,GRJSH,Greece,39 km
1448468,1596951,Ierapetra,,Greece,48 km
1448468,1596951,Aghios Nikolaos,,Greece,60 km
1448468,1596951,Kasos Island,,Greece,81 km
1448470,1596927,Neiafu,TONEI,Tonga,93 km
1448473,1596948,Larimna,,Greece,31 km
1448473,1596948,Megara Oil Terminal,,Greece,34 km
1448473,1596948,Dhiavlos Steno,,Greece,34 km
1448473,1596948,Megara,GRMGR,Greece,36 km
1448473,1596948,Eleusis,GREEU,Greece,37 km
1448473,1596948,Lefkandion,GRLEF,Greece,37 km
1448473,1596948,Salamis,GRSAL,Greece,41 km
1448473,1596948,Skaramanga,GRSKA,Greece,42 km
1448473,1596948,Vrisakia,,Greece,43 km
1448473,1596948,Agioi Theodoroi,GRAGT,Greece,44 km
1448473,1596948,Perama,GRPER,Greece,44 km
1448473,1596948,Oropos,GRORO,Greece,46 km
1448473,1596948,Drapetzona,GRDPA,Greece,47 km
1448473,1596948,Saint George,GRDPA,Greece,47 km
1448473,1596948,Isthmia,GRITM,Greece,47 km
1448473,1596948,Corinth,GRCRG,Greece,47 km
1448473,1596948,Nea Psara,,Greece,47 km
1448473,1596948,Piraeus,GRPIR,Greece,49 km
1448473,1596948,Athinai,GRATH,Greece,51 km
1448473,1596948,Kalamaki,GRKLM,Greece,53 km
1448473,1596948,Limni,GRLII,Greece,53 km
1448473,1596948,Amarinthos,,Greece,55 km
1448473,1596948,Euboea,,Greece,57 km
1448473,1596948,Pilion,,Greece,60 km
1448473,1596948,Aegina Island,,Greece,62 km
1448473,1596948,Kymassi,GRKYM,Greece,62 km
1448473,1596948,Aghios Konstandinos,,Greece,63 km
1448473,1596948,Loutra Aidhipsou,,Greece,67 km
1448473,1596948,Levadhia,,Greece,68 km
1448473,1596948,Aliverion,GRALV,Greece,69 km
1448473,1596948,Milaki,GRMYL,Greece,69 km
1448473,1596948,Rafina,GRRAF,Greece,72 km
1448473,1596948,Antikyra,GRATK,Greece,75 km
1448473,1596948,Itea,GRITA,Greece,76 km
1448473,1596948,Achladi,GRACL,Greece,78 km
