Event_id,Episode,Reservoir,Dam_Name,River,Year,Distance
1269679,1376314,,Zibihe,Trib. Yangbi Jiang,n/a,42 km
1269679,1376314,,Haixihai,Trib. Yangbi Jiang,n/a,59 km
1269679,1376314,,Haishao,Trib. Jinsha Jiang,1963,65 km
1269679,1376314,,Beimiao,Dong He,1962,99 km
1327560,1449790,,Baran,Baran,1962,93 km
1337179,1461351,,Yonki,Ramu,1992,54 km
1347183,1474345,,Saguling,Citarum,1986,31 km
1347183,1474345,,Cirata,Citarum,1988,34 km
1347183,1474345,,Jatiluhur,Citarum,1967,49 km
1357372,1487096,,Kartalkaya,Aksu,1971,38 km
1357372,1487096,,Tahtakopru,Karasu,1975,47 km
1357372,1487096,,Sir,Ceyhan,1991,53 km
1357372,1487096,,Menzelet,Ceyhan,1993,58 km
1357372,1487096,,Kayacik,Aynifar,1997,61 km
1357372,1487096,,Aslantas,Ceyhan,1984,69 km
1357372,1487096,,Birecik,Firat,2000,77 km
1357372,1487096,,Hancagiz,Nizip,1989,80 km
1357372,1487096,,Karkamis,Firat,1999,95 km
1357372,1487096,,Kesiksuyu,Kesiksuyu,1971,97 km
1357560,1487318,,Menzelet,Ceyhan,1993,49 km
1357560,1487318,,Surgu,Surgu,1969,59 km
1357560,1487318,,Kartalkaya,Aksu,1971,62 km
1357560,1487318,,Sir,Ceyhan,1991,79 km
1357560,1487318,,Sultansuyu,Sultansuyu,1992,81 km
1357560,1487318,Adiyaman,Cat,Abdulharap,1996,97 km
1365556,1496206,,Tahuin,Arenillas,1988,90 km
1390643,1524529,,Lalla Takerkoust,N'Fis,1935,39 km
1390643,1524529,,Aoulouz,Souss-Massa,1991,48 km
1390643,1524529,,Abdelmoumen,Issen,1981,90 km
1406601,1543048,,Jishixia,Yellow,2011,15 km
1406601,1543048,,Liujiaxia,Huang He,1968,49 km
1406601,1543048,,Yanguoxia,Huang He,1970,50 km
1406601,1543048,,Gongboxia,Huang He,2000,57 km
1406601,1543048,,Bapanxia,Huang He,1975,66 km
