Event_id,Episode,SendAI Indicator B,N,Country,Location
1102678,30,affected,105786,India,Assam
1102678,30,affected,30,India,Haridwar
1102678,30,affected,8400,India,Arunachal Pradesh
1102678,30,affected,8,India,New Delhi
1102678,30,affected,3,India,New Delhi
1102678,30,affected,11165,India,Manipur
1102678,30,affected,720998,India,Uttar Pradesh
1102678,30,affected,200000,India,Muzaffarpur District
1102678,30,affected,8,India,Shirur
1102678,30,affected,8,India,Uttarkashi
1102678,30,affected,18281,India,Maharashtra
1102678,30,affected,1600,India,Maharashtra
1102678,30,affected,240,India,Wayanad District
1102678,30,affected,28,India,Rampur
1102678,30,affected,9,India,Padhar
1102678,30,affected,7,India,Gujarat
1102678,30,affected,200000,India,Telangana
1102678,30,displaced,4000,India,Telangana
1102678,30,displaced,5607,India,Tripura
1102678,30,displaced,23871,India,Gujarat
1102678,30,displaced,150000,India,West Bengal
1102678,30,displaced,8571,India,Uttar Pradesh
1102678,30,displaced,14427,India,Gujarat
1102678,30,displaced,800,India,Manipur
1102678,30,displaced,100,India,Aizawl
1102678,30,displaced,247,India,Arunachal Pradesh
1102678,30,displaced,3168,India,Assam
1102678,30,relocated,17800,India,-
1102678,30,rescued,1653,India,Gujarat
1102678,30,rescued,3800,India,Telangana
1102678,30,rescued,425,India,Uttarakhand
1102678,30,rescued,1,India,Jaijon Doaba
1102678,30,rescued,151,India,Shahapur
1102678,30,rescued,3000,India,Wayanad District
1102720,24,affected,20,Nigeria,Nangere
1102720,24,affected,25,Nigeria,Makurdi
1102720,24,affected,2000,Nigeria,Makurdi
1102720,24,affected,450,Nigeria,Oluyole
1102720,24,affected,1664,Nigeria,Gada
1102720,24,affected,5000,Nigeria,Yorro
1102720,24,affected,512,Nigeria,Kirfi
1102720,24,affected,8,Nigeria,Kirfi
1102720,24,affected,3049,Nigeria,Sokoto State
1102720,24,affected,2360,Nigeria,Talata Mafara
1102720,24,affected,14820,Nigeria,Ilaje
1102720,24,affected,3000,Nigeria,Yobe State
1102720,24,affected,5000,Nigeria,Taraba State
1102720,24,affected,832,Nigeria,Plateau
1102720,24,affected,3000,Nigeria,Cross River State
1102720,24,displaced,209,Nigeria,Taraba State
1102720,24,displaced,2436,Nigeria,Numan
1102720,24,displaced,2470,Nigeria,Ilaje
1102720,24,displaced,1200,Nigeria,Buji
1102720,24,displaced,2000,Nigeria,Talata Mafara
1102720,24,displaced,469,Nigeria,Kirfi
1102720,24,displaced,200,Nigeria,Oluyole
1102720,24,displaced,1200,Nigeria,Makurdi
1102720,24,displaced,100,Nigeria,Kargo Garki
1102720,24,injured,4,Nigeria,Dukku
1102782,8,displaced,3832,China,Yisuhe
1102782,8,displaced,5000,China,Linjiang
1102782,8,displaced,30000,China,Liaoning
1102782,8,displaced,5000,China,Zhidan County
1102782,8,displaced,821,China,Songshan
1102782,8,rescued,1,China,Wuhai
1102783,14,affected,2451,Indonesia,Penajam Paser Utara
1102783,14,affected,1200,Indonesia,Tanah Laut
1102783,14,affected,10752,Indonesia,Wajo
1102783,14,affected,1500,Indonesia,-
1102783,14,affected,2872,Indonesia,Mamuju
1102783,14,affected,8000,Indonesia,"Sorong, Sorong Selatan"
1102783,14,affected,600,Indonesia,Lombok Barat
1102783,14,affected,320,Indonesia,Parigi Moutong
1102783,14,affected,2,Indonesia,Pulau Ternate
1102783,14,affected,2964,Indonesia,Melawi
1102783,14,affected,295,Indonesia,Sorong City
1102783,14,affected,120,Indonesia,Palu City
1102783,14,affected,587,Indonesia,Parigi Moutong
1102783,14,affected,985,Indonesia,Medan City
1102783,14,affected,106,Indonesia,-
1102783,14,affected,3871,Indonesia,Gorontalo
1102783,14,affected,1812,Indonesia,Sulawesi
1102783,14,affected,151,Indonesia,Halmahera Timur
1102783,14,affected,895,Indonesia,Halmahera Tengah
1102783,14,affected,2810,Indonesia,Balikpapan City
1102783,14,injured,1,Indonesia,Balikpapan City
1102833,22,affected,50,Italy,San Benedetto del Tronto
1102833,22,affected,100,Italy,Province of Rovigo
1102833,22,affected,1,Italy,Barcis
1102833,22,affected,63,Italy,Province of Brescia
1102833,22,affected,33,Italy,Province of Varese
1102833,22,affected,2,Italy,-
1102833,22,affected,66,Italy,-
1102833,22,affected,1,Italy,-
1102833,22,affected,100,Italy,Veneto Region
1102833,22,affected,200,Italy,Metropolitan City of Milan
1102833,22,affected,1,Italy,Boara Polesine
1102833,22,affected,50,Italy,Turin
1102833,22,affected,1,Italy,Cabuderra/Capoterra
1102833,22,affected,50,Italy,Province of Lecco
1102833,22,affected,50,Italy,Friuli-Venezia Giulia
1102833,22,affected,200,Italy,Province of Pescara
1102833,22,affected,100,Italy,-
1102833,22,affected,80,Italy,Province of Sassari
1102833,22,affected,30,Italy,Province of Perugia
