Event_id,Episode,ID,Alert_Color,Population_affected,Start_date,End_date,Source
1102678,30,1,FL,2 deaths,10 Jun 2024,12 Jun 2024,GLOFAS
1102678,30,2,FL,2 deaths,12 Jun 2024,14 Jun 2024,GLOFAS
1102678,30,3,FL,3 deaths,11 Jun 2024,13 Jun 2024,GLOFAS
1102678,30,4,FL,0 deaths and 3168 displaced,16 Jun 2024,18 Jun 2024,GLOFAS
1102678,30,5,FL,0 deaths,23 Jun 2024,25 Jun 2024,GLOFAS
1102678,30,6,FL,0 deaths,28 Jun 2024,30 Jun 2024,GLOFAS
1102678,30,7,FL,0 deaths and 247 displaced,28 Jun 2024,30 Jun 2024,GLOFAS
1102678,30,8,FL,4 deaths,27 Jun 2024,29 Jun 2024,GLOFAS
1102678,30,9,FL,5 deaths,29 Jun 2024,30 Jun 2024,GLOFAS
1102678,30,10,FL,5 deaths,28 Jun 2024,30 Jun 2024,GLOFAS
1102678,30,11,FL,3 deaths and 100 displaced,01 Jul 2024,03 Jul 2024,GLOFAS
1102678,30,12,FL,1 deaths and 800 displaced,01 Jul 2024,03 Jul 2024,GLOFAS
1102678,30,13,FL,0 deaths,07 Jul 2024,09 Jul 2024,GLOFAS
1102678,30,14,FL,0 deaths and 8571 displaced,07 Jul 2024,09 Jul 2024,GLOFAS
1102678,30,15,FL,0 deaths,01 Jul 2024,03 Jul 2024,GLOFAS
1102678,30,16,FL,7 deaths,16 Jul 2024,18 Jul 2024,GLOFAS
1102678,30,17,FL,3 deaths,21 Jul 2024,23 Jul 2024,GLOFAS
1102678,30,18,FL,0 deaths,25 Jul 2024,27 Jul 2024,GLOFAS
1102678,30,19,FL,8 deaths and 14427 displaced,25 Jul 2024,27 Jul 2024,GLOFAS
1102678,30,20,FL,282 deaths,30 Jul 2024,01 Aug 2024,GLOFAS
1102678,30,21,FL,9 deaths,30 Jul 2024,01 Aug 2024,GLOFAS
1102678,30,22,FL,3 deaths,31 Jul 2024,02 Aug 2024,GLOFAS
1102678,30,23,FL,14 deaths,01 Aug 2024,03 Aug 2024,GLOFAS
1102678,30,24,FL,5 deaths,03 Aug 2024,05 Aug 2024,GLOFAS
1102678,30,25,FL,6 deaths,11 Aug 2024,13 Aug 2024,GLOFAS
1102678,30,26,FL,25 deaths,10 Aug 2024,12 Aug 2024,GLOFAS
1102678,30,27,FL,7 deaths and 5607 displaced,18 Aug 2024,20 Aug 2024,GLOFAS
1102678,30,28,FL,8 deaths and 23871 displaced,26 Aug 2024,28 Aug 2024,GLOFAS
1102678,30,29,FL,20 deaths and 4000 displaced,30 Aug 2024,09 Sep 2024,GLOFAS
1102678,30,30,FL,8 deaths and 150000 displaced,14 Sep 2024,16 Sep 2024,GLOFAS
1102720,24,1,FL,0 deaths,23 Jun 2024,25 Jun 2024,GLOFAS
1102720,24,2,FL,1 deaths,28 Jun 2024,30 Jun 2024,GLOFAS
1102720,24,3,FL,0 deaths,03 Jul 2024,05 Jul 2024,GLOFAS
1102720,24,4,FL,0 deaths,05 Jul 2024,07 Jul 2024,GLOFAS
1102720,24,5,FL,0 deaths and 1200 displaced,05 Jul 2024,07 Jul 2024,GLOFAS
1102720,24,6,FL,0 deaths and 100 displaced,01 Jul 2024,03 Jul 2024,GLOFAS
1102720,24,7,FL,2 deaths,14 Jul 2024,16 Jul 2024,GLOFAS
1102720,24,8,FL,0 deaths,15 Jul 2024,17 Jul 2024,GLOFAS
1102720,24,9,FL,0 deaths and 200 displaced,18 Jul 2024,20 Jul 2024,GLOFAS
1102720,24,10,FL,0 deaths,17 Jul 2024,23 Jul 2024,GLOFAS
1102720,24,11,FL,0 deaths,26 Jul 2024,31 Jul 2024,GLOFAS
1102720,24,12,FL,0 deaths and 469 displaced,28 Jul 2024,31 Jul 2024,GLOFAS
1102720,24,13,FL,0 deaths,01 Aug 2024,08 Aug 2024,GLOFAS
1102720,24,14,FL,0 deaths and 1200 displaced,10 Aug 2024,13 Aug 2024,GLOFAS
1102720,24,15,FL,0 deaths and 2000 displaced,11 Aug 2024,13 Aug 2024,GLOFAS
1102720,24,16,FL,0 deaths and 2470 displaced,13 Aug 2024,15 Aug 2024,GLOFAS
1102720,24,17,FL,0 deaths,12 Aug 2024,14 Aug 2024,GLOFAS
1102720,24,18,FL,0 deaths,12 Aug 2024,14 Aug 2024,GLOFAS
1102720,24,19,FL,0 deaths and 2436 displaced,21 Aug 2024,23 Aug 2024,GLOFAS
1102720,24,20,FL,0 deaths and 209 displaced,25 Aug 2024,27 Aug 2024,GLOFAS
1102720,24,21,FL,0 deaths,28 Aug 2024,30 Aug 2024,GLOFAS
1102720,24,22,FL,2 deaths,05 Sep 2024,07 Sep 2024,GLOFAS
1102720,24,23,FL,0 deaths,14 Sep 2024,16 Sep 2024,GLOFAS
1102720,24,24,FL,0 deaths,21 Sep 2024,23 Sep 2024,GLOFAS
1102782,8,1,FL,15 deaths and 3832 displaced,27 Jul 2024,31 Jul 2024,GLOFAS
1102782,8,2,FL,0 deaths and 35000 displaced,28 Jul 2024,31 Jul 2024,GLOFAS
1102782,8,3,FL,2 deaths,03 Aug 2024,05 Aug 2024,GLOFAS
1102782,8,4,FL,0 deaths and 5000 displaced,08 Aug 2024,11 Aug 2024,GLOFAS
