Event_id,Episode,Radius,Population
1000023,7,Radius,Population
1000023,7,100 km,11.1 million people
1000023,7,75 km,6.6 million people
1000023,7,50 km,3.4 million people
1000023,7,30 km,1.3 million people
1000023,7,20 km,830000 people
1000023,7,10 km,5400 people
1000023,7,5 km,<1000 people
1000023,7,2 km,<1000 people
1000036,5,Radius,Population
1000036,5,100 km,80000 people
1000036,5,75 km,62000 people
1000036,5,50 km,no people
1000036,5,30 km,no people
1000036,5,20 km,no people
1000036,5,10 km,no people
1000036,5,5 km,no people
1000036,5,2 km,no people
1000086,1,Radius,Population
1000086,1,100 km,23.6 million people
1000086,1,75 km,18.1 million people
1000086,1,50 km,9.9 million people
1000086,1,30 km,4.5 million people
1000086,1,20 km,1.3 million people
1000086,1,10 km,140000 people
1000086,1,5 km,15000 people
1000086,1,2 km,<1000 people
1000086,1,Radius,Population
1000086,1,100 km,23.6 million people
1000086,1,75 km,18.1 million people
1000086,1,50 km,9.9 million people
1000086,1,30 km,4.5 million people
1000086,1,20 km,1.3 million people
1000086,1,10 km,140000 people
1000086,1,5 km,15000 people
1000086,1,2 km,<1000 people
