Event_id,Episode,Countries,Start_date_last_detected,Duration,People_affected,Burned_area,Event_summary
1022604,17,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,21706 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022607,14,Australia,05 Oct 2024 - 10 Oct 2024,5,30 in the burned area,128023 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022612,10,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,13605 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022617,12,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,10519 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022619,15,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,20648 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022620,14,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,32003 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022626,16,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,15871 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022629,10,Australia,07 Oct 2024 - 10 Oct 2024,3,0 in the burned area,28104 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022631,14,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,8976 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022633,13,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,37957 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022637,14,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,29107 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022640,9,Botswana,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,21856 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022641,8,Angola,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,7866 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022642,5,Mozambique,05 Oct 2024 - 10 Oct 2024,5,2 in the burned area,11403 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022647,12,Brazil,06 Oct 2024 - 11 Oct 2024,5,2 in the burned area,22986 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022648,10,Australia,06 Oct 2024 - 10 Oct 2024,4,0 in the burned area,7949 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022649,10,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,7469 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022650,9,Australia,05 Oct 2024 - 10 Oct 2024,5,10 in the burned area,29850 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022652,17,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,27658 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022654,4,Australia,08 Oct 2024 - 11 Oct 2024,3,0 in the burned area,6458 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022657,3,Australia,07 Oct 2024 - 11 Oct 2024,4,0 in the burned area,5932 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022658,14,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,10552 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022660,11,Australia,07 Oct 2024 - 11 Oct 2024,4,0 in the burned area,11474 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022661,12,Brazil,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,11347 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022662,6,Australia,07 Oct 2024 - 10 Oct 2024,3,0 in the burned area,8088 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022665,11,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,34065 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022668,8,Brazil,07 Oct 2024 - 11 Oct 2024,4,3 in the burned area,8296 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022669,8,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,8291 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022671,9,Angola,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,9725 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022672,4,Zambia,06 Oct 2024 - 11 Oct 2024,5,1 in the burned area,5561 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022674,8,Australia,08 Oct 2024 - 12 Oct 2024,4,0 in the burned area,6951 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022675,13,Australia,07 Oct 2024 - 12 Oct 2024,5,56 in the burned area,17848 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022676,2,Brazil,06 Oct 2024 - 10 Oct 2024,4,5 in the burned area,5068 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022677,6,Australia,09 Oct 2024 - 11 Oct 2024,2,0 in the burned area,8901 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022678,8,Australia,09 Oct 2024 - 11 Oct 2024,2,0 in the burned area,11600 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022679,2,Russian Federation,09 Oct 2024 - 10 Oct 2024,1,71 in the burned area,8596 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022680,12,Australia,08 Oct 2024 - 13 Oct 2024,5,0 in the burned area,14120 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022681,4,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,8673 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022682,7,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,25627 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022683,10,Australia,08 Oct 2024 - 13 Oct 2024,5,0 in the burned area,11171 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022684,9,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,8360 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022685,4,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,7701 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022686,5,Madagascar,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,8371 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022687,8,Botswana,08 Oct 2024 - 12 Oct 2024,4,3 in the burned area,19289 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022688,7,Angola,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,7492 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022689,2,Australia,10 Oct 2024 - 11 Oct 2024,1,0 in the burned area,10462 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022690,4,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,5548 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022691,4,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,5378 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022692,1,Brazil,06 Oct 2024 - 10 Oct 2024,4,0 in the burned area,5318 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022693,12,Australia,10 Oct 2024 - 14 Oct 2024,4,0 in the burned area,22599 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022694,3,Australia,09 Oct 2024 - 11 Oct 2024,2,0 in the burned area,12832 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022695,8,Australia,08 Oct 2024 - 13 Oct 2024,5,0 in the burned area,8016 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022696,3,Australia,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,6547 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022697,5,Brazil,07 Oct 2024 - 12 Oct 2024,5,0 in the burned area,7262 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1022698,2,Australia,06 Oct 2024 - 11 Oct 2024,5,0 in the burned area,6214 ha,This forest fire is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
