Event_id,Episode,ID,Alert_Color,GDACS_Score,Population_Affected,Burned_Area,Last_Update,GWIS
1012119,3,1,WF,2.5,3946,40518,14 Feb 2023 04:00,GWIS
1012119,3,2,WF,2.5,3946,40541,15 Feb 2023 04:00,GWIS
1012119,3,3,WF,2.5,3946,40563,16 Feb 2023 04:00,GWIS
1018546,5,1,WF,0.5,23,19549,16 Nov 2023 09:09,GWIS
1018546,5,2,WF,0.5,23,20717,17 Nov 2023 09:09,GWIS
1018546,5,3,WF,0.5,23,22630,18 Nov 2023 09:10,GWIS
1018546,5,4,WF,0.5,23,24852,19 Nov 2023 09:09,GWIS
1018546,5,5,WF,2.5,23,49853,27 Nov 2023 00:00,GWIS
1019173,4,1,WF,0.5,152,5064,03 Feb 2024 09:00,GWIS
1019173,4,2,WF,2.5,519,5923,04 Feb 2024 09:00,GWIS
1019173,4,3,WF,2.5,519,5921,05 Feb 2024 09:00,GWIS
1019173,4,4,WF,2.5,519,5924,06 Feb 2024 09:01,GWIS
1019635,2,1,WF,1.5,0,2807,30 Apr 2024 13:25,GWIS
1019635,2,2,WF,2.5,0,2807,30 Apr 2024 13:25,GWIS
1021078,5,1,WF,1.5,1771,5386,12 Aug 2024 10:00,GWIS
1021078,5,2,WF,1.5,2861,7169,12 Aug 2024 14:00,GWIS
1021078,5,3,WF,1.5,3388,7938,12 Aug 2024 22:00,GWIS
1021078,5,4,WF,1.5,3388,7977,13 Aug 2024 02:00,GWIS
1021078,5,5,WF,2.5,3774,8206,19 Aug 2024 10:00,GWIS
