Event_id,Episode,Name,Region_Province,Country,City_class,Population,Distance
1012119,3,Concepción,Bio-Bio,Chile,Major city,210000 people,26 km
1012119,3,Talcahuano,Bio-Bio,Chile,City,250000 people,27 km
1012119,3,Coronel,Bio-Bio,Chile,City,91000 people,50 km
1012119,3,Lota,Bio-Bio,Chile,City,49000 people,56 km
1012119,3,Chillán,Bio-Bio,Chile,City,160000 people,68 km
1012119,3,San Carlos,Bio-Bio,Chile,City,31000 people,85 km
1012119,3,Cauquenes,Maule,Chile,City,31000 people,90 km
1012119,3,Los Ángeles,Bio-Bio,Chile,City,160000 people,101 km
1012119,3,Curanilahue,Bio-Bio,Chile,City,30000 people,101 km
1019173,4,Quilpué,Valparaíso,Chile,City,130000 people,13 km
1019173,4,Valparaiso,Valparaiso,Chile,Major city,270000 people,14 km
1019173,4,Limache,Valparaiso,Chile,City,35000 people,26 km
1019173,4,Quintero,Valparaíso,Chile,City,-,40 km
1019173,4,San Antonio,Valparaiso,Chile,City,85000 people,53 km
1019173,4,Melipilla,Región Metropolitana,Chile,City,63000 people,68 km
1019173,4,San Felipe,Valparaíso,Chile,City,58000 people,85 km
1019173,4,Santiago,Región Metropolitana,Chile,Capital,4.8 million people,88 km
1019173,4,San Bernardo,Región Metropolitana,Chile,City,250000 people,91 km
1019635,2,Tenosique,Tabasco,Mexico,City,32000 people,61 km
1019635,2,Balancan,Tabasco,Mexico,City,11000 people,97 km
1021078,5,Marathón,Attiki,Greece,City,-,3 km
1021078,5,Amarousi,Attiki,Greece,City,-,15 km
1021078,5,Chalandri,Attiki,Greece,City,-,18 km
1021078,5,Filí,Attiki,Greece,City,-,23 km
1021078,5,Avlón,Attiki,Greece,City,-,23 km
1021078,5,Athínai,,Greece,Capital,760000 people,27 km
1021078,5,Koropi,Attiki,Greece,City,-,28 km
1021078,5,Dafni,Attiki,Greece,City,-,29 km
1021078,5,Markópoulon,Attiki,Greece,City,-,30 km
1021078,5,Kallithea,Attiki,Greece,Major city,110000 people,31 km
1021078,5,Alivérion,Evvoia,Greece,City,-,31 km
1021078,5,Kalamaki,Attiki,Greece,City,-,32 km
1021078,5,Pireas,,Greece,City,-,34 km
1021078,5,Kalívia Thorikoú,Attiki,Greece,City,-,35 km
1021078,5,Glifádha,,Greece,City,-,35 km
1021078,5,Amarinthos,Evvoia,Greece,City,-,38 km
1021078,5,Mandra,Attiki,Greece,City,-,39 km
1021078,5,Keratéa,Attiki,Greece,City,16000 people,39 km
1021078,5,Vasilikón,Evvoia,Greece,City,-,40 km
1021078,5,Khalkís,,Greece,City,-,45 km
1021078,5,Néa Artáki,Evvoia,Greece,City,-,48 km
1021078,5,Káto Aëtós,Evvoia,Greece,City,-,50 km
1021078,5,Khalía,Evvoia,Greece,City,-,50 km
1021078,5,Erithraí,Attiki,Greece,City,-,53 km
1021078,5,Psakhná,Evvoia,Greece,City,-,54 km
1021078,5,Mégara,Attiki,Greece,City,28000 people,54 km
1021078,5,Kími,Evvoia,Greece,City,-,56 km
1021078,5,Váyia,Voiotia,Greece,City,-,69 km
1021078,5,Aliartos,Voiotia,Greece,City,-,76 km
1021078,5,Martínon,Fthiotida,Greece,City,-,77 km
1021078,5,Malesína,Fthiotida,Greece,City,-,80 km
1021078,5,Mandoúdhion,Evvoia,Greece,City,-,82 km
1021078,5,Galatás,,Greece,City,-,83 km
1021078,5,Ayia Anna,Evvoia,Greece,City,-,91 km
1021078,5,Idhra,Attiki,Greece,City,-,98 km
1021078,5,Skopelos,Magnisia,Greece,City,-,110 km
