Event_id,Episode,Site,Type,Name,Country
1001064,6,Site-Purbi Singhbhum,Nuclear Fuel Cycle,UCIL-Jaduguda,India
1001064,6,Site-Dhaka,Research reactor,"BTRR, BAEC TRIGA Research Reactor",Bangladesh
1001066,13,Site-Ocoyoacac,Research reactor,TRIGA Mark III,Mexico
1001066,13,Site-Cuauhtémoc,Research reactor,Nuclear Chicago Mod 9000,Mexico
1001066,13,Site-Webb,Nuclear Fuel Cycle,Vasquez,United States of America
1001066,13,Site-Brooks,Nuclear Fuel Cycle,Alta Mesa,United States of America
1001066,13,Site-Mexico-BWR,Nuclear Power Reactor,Laguna Verde-1,Mexico
1001066,13,Site-Mexico-BWR,Nuclear Power Reactor,Laguna Verde-2,Mexico
1001066,13,Site-Kleberg,Nuclear Fuel Cycle,Kingsville Dome,United States of America
1001067,43,Site-Brazos,Research reactor,AGN-201 Texas A&M Univ.,United States of America
1001067,43,Site-Brazos,Research reactor,NSCR Texas A&M Univ.,United States of America
1001067,43,Site-Matagorda,Nuclear Power Reactor,South Texas-1,United States of America
1001067,43,Site-Matagorda,Nuclear Power Reactor,South Texas-2,United States of America
1001067,43,Site-Kingston,Research reactor,UWI CNS SLOWPOKE,Giamaica
1001068,4,Site-Mexico-BWR,Nuclear Power Reactor,Laguna Verde-2,Mexico
1001068,4,Site-Mexico-BWR,Nuclear Power Reactor,Laguna Verde-1,Mexico
1001071,14,Site-Fangchenggang,Nuclear Power Reactor,Fangchenggang-1,China
1001071,14,Site-Fangchenggang,Nuclear Power Plant,Fangchenggang-3,China
1001071,14,Site-Fangchenggang,Nuclear Power Reactor,Fangchenggang-2,China
1001071,14,Site-Hainan,Nuclear Power Reactor,Changjiang-2,China
1001071,14,Site-Ningde,Nuclear Power Reactor,Changjiang-1,China
1001072,24,Site-Fuzhou,Nuclear Power Reactor,Fuqing-2,China
1001072,24,Site-Fuqing,Nuclear Power Plant,Fuqing-6,China
1001072,24,Site-Fuzhou,Nuclear Power Reactor,Fuqing-3,China
1001072,24,Site-Fuzhou,Nuclear Power Reactor,Fuqing-1,China
1001072,24,Site-Fuzhou,Nuclear Power Reactor,Fuqing-4,China
1001072,24,Site-Fuqing,Nuclear Power Plant,Fuqing-5,China
1001072,24,Site-Fuzhou,Nuclear Fuel Cycle,Fuzhou,China
1001072,24,Site-Ningde,Nuclear Power Reactor,Nindge-2,China
1001072,24,Site-Ningde,Nuclear Power Reactor,Nindge-4,China
1001072,24,Site-Ningde,Nuclear Power Reactor,Nindge-1,China
1001072,24,Site-Ningde,Nuclear Power Reactor,Nindge-3,China
1001072,24,Site-Hsinchu City,Research reactor,THOR,Taiwan
1001072,24,Site-Chinshan,Nuclear Power Plant,Chinshan-1,Taiwan
1001072,24,Site-Chinshan,Nuclear Power Plant,Chinshan-2,Taiwan
1001072,24,Site-New Taipei,Nuclear Power Reactor,Kuosheng-2,Taiwan
1001072,24,Site-Kuosheng,Nuclear Power Plant,Kuosheng-1,Taiwan
1001072,24,Site-Pingtung,Nuclear Power Reactor,Maanshan-2,Taiwan
1001072,24,Site-Pingtung,Nuclear Power Reactor,Maanshan-1,Taiwan
1001075,27,Site-Mecklenburg,Nuclear Fuel Cycle,McGuire NPP Site ISFSI,United States of America
1001075,27,Site-Mecklenburg,Nuclear Power Reactor,Mc Guire-1,United States of America
1001075,27,Site-Mecklenburg,Nuclear Power Reactor,Mc Guire-2,United States of America
1001075,27,Site-Wake,Nuclear Power Reactor,Harris-1,United States of America
1001075,27,Site-Wake,Research reactor,PULSTAR North Carolina State Univ.,United States of America
1001075,27,Site-York,Nuclear Power Reactor,Catawba-2,United States of America
1001075,27,Site-York,Nuclear Fuel Cycle,Catawba NPP ISFSI,United States of America
1001075,27,Site-York,Nuclear Fuel Cycle,Canon City,United States of America
1001075,27,Site-York,Nuclear Power Reactor,Catawba-1,United States of America
1001075,27,Site-Darlington,Nuclear Power Reactor,Robinson-2,United States of America
1001075,27,Site-Darlington,Nuclear Fuel Cycle,H.B. Robinson NPP Site ISFSI,United States of America
1001075,27,Site-Fairfield,Nuclear Power Reactor,Summer-1,United States of America
1001075,27,Site-Richland,Nuclear Fuel Cycle,Columbia Fuel Fabrication Facility,United States of America
1001075,27,Site-Oconee,Nuclear Power Reactor,Oconee-3,United States of America
1001075,27,Site-Oconee,Nuclear Fuel Cycle,Oconee NPP Site ISFSI,United States of America
1001075,27,Site-Oconee,Nuclear Power Reactor,Oconee-2,United States of America
1001075,27,Site-Oconee,Nuclear Power Reactor,Oconee-1,United States of America
1001075,27,Site-New Hanover,Nuclear Fuel Cycle,Wilmington Facility,United States of America
1001075,27,Site-New Hanover,Nuclear Fuel Cycle,Wilmington,United States of America
1001075,27,Smithville Township,Nuclear Fuel Cycle,Brunswick NPP ISFSI,United States of America
1001075,27,Site-Brunswick,Nuclear Power Reactor,Brunswick-1,United States of America
1001075,27,Site-Brunswick,Nuclear Power Reactor,Brunswick-2,United States of America
1001075,27,Site-Aiken,Nuclear Fuel Cycle,Savannah River (SRS),United States of America
1001075,27,Site-Charleston,Research reactor,MTS-635,United States of America
