Event_id,Episode,Alert,N,Date,Category,Max_Winds,Population_in_Cat1_and_above,Population_in_Tropical_Storm_and_above,Lat/Long,Countries
1001012,13,GREEN,1,19 Sep 2023 15:00,Tropical depression,56,no people,no people,"15, -119",
1001012,13,GREEN,2,19 Sep 2023 21:00,Tropical storm,74,no people,no people,"15.1, -121",
1001012,13,GREEN,3,20 Sep 2023 03:00,Tropical storm,74,no people,no people,"14.6, -121.6",
1001012,13,GREEN,4,20 Sep 2023 09:00,Tropical storm,74,no people,no people,"14.8, -122.5",
1001012,13,GREEN,5,20 Sep 2023 15:00,Tropical storm,83,no people,no people,"15.2, -123.4",
1001012,13,GREEN,6,20 Sep 2023 21:00,Tropical storm,83,no people,no people,"15.7, -124.2",
1001012,13,GREEN,7,21 Sep 2023 03:00,Tropical storm,83,no people,no people,"16.9, -125.2",
1001012,13,GREEN,8,21 Sep 2023 09:00,Tropical storm,83,no people,no people,"17.5, -125.6",
1001012,13,GREEN,9,21 Sep 2023 15:00,Tropical storm,74,no people,no people,"17.1, -125.5",
1001012,13,GREEN,10,21 Sep 2023 21:00,Tropical storm,65,no people,no people,"17.9, -125.7",
1001012,13,GREEN,11,22 Sep 2023 03:00,Tropical storm,65,no people,no people,"18.5, -125.9",
1001012,13,GREEN,12,22 Sep 2023 09:00,Tropical depression,56,no people,no people,"19.4, -126",
1001012,13,GREEN,13,22 Sep 2023 15:00,Tropical depression,56,no people,no people,"20.5, -125.8",
1001012,13,GREEN,13,23 Sep 2023 00:00,Tropical depression,46,no people,no people,"21.8, -125.7",
1001012,13,GREEN,13,23 Sep 2023 12:00,Tropical depression,37,no people,no people,"22.8, -126.1",
1001013,12,GREEN,1,21 Sep 2023 15:00,Tropical depression,56,no people,33.6 million people,"28.7, -75.9",
1001013,12,GREEN,2,21 Sep 2023 21:00,Tropical depression,56,no people,45 million people,"29.2, -75.9",
1001013,12,GREEN,3,22 Sep 2023 03:00,Tropical storm,65,no people,30.8 million people,"29.5, -75.3",
1001013,12,GREEN,4,22 Sep 2023 09:00,Tropical storm,83,no people,2.5 million people,"30.5, -75",
1001013,12,GREEN,5,22 Sep 2023 15:00,Tropical storm,83,no people,9.4 million people,"32.3, -75.6",
1001013,12,GREEN,6,22 Sep 2023 21:00,Tropical storm,111,no people,9.7 million people,"32.9, -76.3",
1001013,12,GREEN,7,23 Sep 2023 03:00,Tropical storm,111,no people,21.8 million people,"33.6, -76.8",
1001013,12,GREEN,8,23 Sep 2023 09:00,Tropical storm,111,no people,21.8 million people,"34.3, -76.9",
1001013,12,GREEN,9,23 Sep 2023 15:00,Tropical storm,83,no people,37.6 million people,"35.6, -77.2",United States
1001013,12,GREEN,10,23 Sep 2023 21:00,Tropical storm,65,no people,59.3 million people,"36.8, -77.3",United States
1001013,12,GREEN,11,24 Sep 2023 03:00,Tropical depression,56,no people,no people,"37.1, -77.6",United States
1001013,12,GREEN,12,24 Sep 2023 09:00,Tropical depression,37,no people,no people,"37.7, -77.3",United States
1001013,12,GREEN,12,24 Sep 2023 18:00,Tropical depression,37,no people,no people,"39.2, -76.5",United States
1001013,12,GREEN,12,25 Sep 2023 06:00,Tropical depression,46,no people,no people,"39.3, -74.9",United States
1001013,12,GREEN,12,25 Sep 2023 18:00,Tropical depression,46,no people,no people,"38.9, -72.9",
1001014,53,GREEN,1,23 Sep 2023 15:00,Tropical depression,56,no people,no people,"15.6, -38.8",
1001014,53,GREEN,2,23 Sep 2023 21:00,Tropical storm,65,no people,no people,"15.6, -39.7",
1001014,53,GREEN,3,24 Sep 2023 03:00,Tropical storm,65,no people,no people,"15.4, -40.9",
