Event_id,Episode,Reservoir,Dam_Name,River,Year
1001013,12,,Swift Creek Reservoir Dam,Swift Creek,1965
1001013,12,,Diascund Creek Dam,Diascund Creek,1963
1001013,12,Lake Anna,North Anna Dam,North Anna River,1972
1001013,12,,Little Creek Dam,Little Creek,1980
1001013,12,Lake Chesdin,Brasfield Dam,Appomattox River,1968
1001013,12,Ni River Reservoir,Ni River Dam 1,Ni River,1972
1001013,12,,Lake of the Woods Dam,Flat Run,1968
1001013,12,,Lake Monticello Dam,Boston Creek,1969
1001013,12,Lunga Reservoir,Lunga Dam,Beaverdam Run,1957
1001013,12,,Upper Occoquan Dam,Occoquan River,1955
1001013,12,,South Rivanna Dam,,1966
1001013,12,,Lake Prince Dam,Nansemond,1921
1001013,12,,T. Nelson Elliott Dam,Broad Run,1968
1001013,12,Lake Gaston,Gaston,Roanoke,1963
1001013,12,,Lake Drummond,Lake Drummond,1825
1001013,12,John H. Kerr Reservoir,John H. Kerr Dam,Roanoke River,1953
1001013,12,,Rocky Gorge Dam,Patuxent River,1953
1001013,12,,Little Seneca Dam,Little Seneca Creek,1984
1001013,12,Tridelphia Lake,Brighton Dam,Patuxent River,1943
1001013,12,,Liberty Dam,North Branch of Patapsco River,1953
1001013,12,,Leesville,Roanoke River,1963
1001013,12,,Loch Raven Dam,Gunpowder River,1923
1001013,12,Smith Mountain Lake,Smith Mountain,Roanoke River,1964
1001013,12,,Prettyboy Dam,Gunpowder Falls,1936
1001013,12,Falls Lake,Falls Lake Dam,Neuse River,1981
1001013,12,Bath County Reservoir,Upper Dam,Little Back Creek,1984
1001013,12,Moomaw,Gathright Dam,Jackson River,1978
1001013,12,,Lake Marburg,West Branch of Codorus Creek,1967
1001013,12,,Carvin Cove Dam,Carvins Creek,1946
1001013,12,,Mt. Storm Lake Dam,Stony River,1964
1001013,12,,Jennings Randolph,North Branch of Patapsco River,1981
1001013,12,,Muddy Run Main Dam,Susquehanna River,1967
1001013,12,Lake Burlington,Lake Cammack Dam,Stony Creek,n/a
1001013,12,Savage Reservoir,Savage River Dam,Savage River,1952
1001013,12,Spring Hollow Reservoir,Clifford D. Craig Memorial Dam,Trib. Roanoke River,1994
1001013,12,Lake Reidsville,Troublesome Creek Dam,Troublesome Creek,1974
1001013,12,Philpott Reservoir,Philpott Dam,Smith River,1953
1001013,12,,Texasgulf Pond R-1-2,Pamlico,1987
1001013,12,,Lake Mackintosh Dam,Great Alamance Creek,1992
1001013,12,,Deep Creek Dam,Deep Creek,1925
1001013,12,,Union Lake Dam,Maurice River,1869
1001013,12,,Townsend Lake Dam,Reedy Fork,1969
1001013,12,B. Everett Jordan Lake,B. Everett Jordan Dam,Haw River,1974
1001013,12,,Lake Brandt Dam,Reedy Fork,1920
1001013,12,,Indian Lake,Calendars Run,1964
1001013,12,Youghiogheny River Lake,Youghiogheny Dam,Youghiogheny River,1944
1001013,12,Tygart Lake,Tygart Dam,Tygart River,1938
1001013,12,,Claytor,New River,1939
1001013,12,Springton Reservoir,Geist Storage,Crum Creek,1931
1001013,12,,High Point Municipal Dam,Deep River,1928
1001013,12,,Oak Hollow Lake Dam,West Fork of Deep River,1971
1001013,12,Stonecoal Creek Reservoir,Stonecoal Creek Dam,Stonecoal Creek,1972
1001013,12,Raystown Lake,Raystown Dam,Raystown Branch Juniata River,1973
1001013,12,,Quemahoning,Quemahoning Creek,n/a
1001013,12,Clarks Valley Reservoir,Dehart,Clarks Creek,1940
1001013,12,Stonewall Jackson Lake,Stonewall Jackson Dam,West Fork,1986
1001013,12,Lake Lynn,Lake Lynn Dam,Cheat River,1926
1001013,12,Sutton Lake,Sutton Dam,Elk River,1960
1001013,12,Burnsville Lake,Burnsville Lake Dam,Little Kanawha River,1976
1001013,12,Blue Marsh Lake,Blue Marsh Dam,Tulpehocken Creek,1977
1001013,12,Summersville Lake,Summersville Dam,Gauley River,1965
1001013,12,,Lake Tom-A-Lex Dam,Abbotts Creek,1957
1001013,12,,Greenlane Reservoir,Perkiomen Creek,1957
1001013,12,Lake Auman,Lake Auman Dam,Jackson,1997
1001013,12,,Van Sciver Lake,Scotts Creek,1954
1001013,12,,Glendale,Beaverdam Run,1960
1001013,12,High Rock Lake,High Rock,Yadkin River,1927
1001013,12,,Yellow Creek,Yellow Creek,1969
1001013,12,Lake Badin,Yadkin Narrows,Yadkin River,1917
1001013,12,,Two Lick Creek,Two Lick Creek,1968
1001013,12,,Nockamixon,Tohickon Creek,1973
1001013,12,,Assunpink Dam 6,Assunpink Creek,1977
1001013,12,,Beaver Run,Beaver Run,1952
1001013,12,,Still Creek,Still Creek,1935
1001013,12,,Bailey Mine Slurry Impoundment Dam,Talley Run,1984
1001013,12,,Tillery,Pee Dee River,1928
1001013,12,Blanchard Reservoir,Foster Joseph Sayers Dam,Bald Eagle Creek,1969
1001013,12,Curwensville Lake,Curwensville Dam,West Branch of Susquehanna River,1965
1001013,12,Beltzville Lake,Beltzville Dam,Pohopoco Creek,1969
1001013,12,,Keystone Station,Plum Creek,1965
1001013,12,,Blewett Falls,Pee Dee River,1912
1001013,12,,Conner Run Flyash,Conner Run,1976
1001013,12,,Manasquan Reservoir Dam,Timber Swamp Brook,1990
1001013,12,,Wild Creek,Wild Creek,1941
1001013,12,,Merrill Creek Main Dam,Merrill Creek,1988
1001013,12,,Spruce Run Reservoir Dam,Spruce Run,1964
