Event_id,Episode,Countries,Start_date,Duration,Impact,Event_summary
1013868,152,Argentina,End of May 2024,71 days,Minor impact for agricultural drought in 73617 km2,No evidence of relevant impacts or not enough information available to date.
1013981,26,Mozambique,End of Mar 2020,405 days,Minor impact for agricultural drought in 20566 km2,No evidence of relevant impacts or not enough information available to date.
1014149,10,Mexico,End of May 2020,364 days,Medium impact for agricultural drought in 22868 km2,Mild to severe impacts to people and to one or more sectors of the economy.
1014268,8,Brazil,End of Jul 2020,453 days,Minor impact for agricultural drought in 146848 km2,No evidence of relevant impacts or not enough information available to date.
1014313,12,"China, India, Nepal",End of Jul 2020,283 days,Minor impact for agricultural drought in 107666 km2,No evidence of relevant impacts or not enough information available to date.
1014320,28,"Canada, United States",End of Feb 2020,719 days,Minor impact for agricultural drought in 16594 km2,No evidence of relevant impacts or not enough information available to date.
1014392,36,"Armenia, Azerbaijan, Iran",End of Aug 2020,443 days,Minor impact for agricultural drought in 9549 km2,No evidence of relevant impacts or not enough information available to date.
1014416,29,Angola,End of Sep 2020,440 days,Minor impact for agricultural drought in 4688 km2,No evidence of relevant impacts or not enough information available to date.
1014465,24,"Argentina, Chile",End of Oct 2020,971 days,Minor impact for agricultural drought in 108891 km2,No evidence of relevant impacts or not enough information available to date.
1014473,54,"Afghanistan, Kazakhstan, Tajikistan, Turkmenistan",End of Oct 2020,707 days,Minor impact for agricultural drought in 64861 km2,No evidence of relevant impacts or not enough information available to date.
1014495,98,Madagascar,End of Jul 2022,425 days,Minor impact for agricultural drought in 34423 km2,No evidence of relevant impacts or not enough information available to date.
1014509,17,"Cameroon, Nigeria",End of Sep 2020,448 days,Minor impact for agricultural drought in 84952 km2,No evidence of relevant impacts or not enough information available to date.
1014614,13,Italy,End of Nov 2020,387 days,Minor impact for agricultural drought in 18758 km2,No evidence of relevant impacts or not enough information available to date.
1014676,1,"Afghanistan, Iran, Pakistan",End of Jan 2021,40 days,Minor impact for agricultural drought in 220577 km2,No evidence of relevant impacts or not enough information available to date.
1014695,36,"Algeria, Morocco, Tunisia",Begin of Nov 2021,331 days,Minor impact for agricultural drought in 126944 km2,No evidence of relevant impacts or not enough information available to date.
1014718,20,"Bangladesh, India, Myanmar",End of Jan 2021,361 days,Minor impact for agricultural drought in 144491 km2,No evidence of relevant impacts or not enough information available to date.
1014726,1,Chile,End of Feb 2021,176 days,Minor impact for agricultural drought in 56902 km2,No evidence of relevant impacts or not enough information available to date.
1014742,75,"Tanzania, Mozambique",End of Mar 2022,460 days,Minor impact for agricultural drought in 195576 km2,No evidence of relevant impacts or not enough information available to date.
1014756,6,"Burundi, Democratic Republic of Congo, Rwanda",Middle of Jan 2021,217 days,Minor impact for agricultural drought in 24596 km2,No evidence of relevant impacts or not enough information available to date.
1014821,18,United States,End of Apr 2021,236 days,Minor impact for agricultural drought in 18686 km2,No evidence of relevant impacts or not enough information available to date.
1014875,3,China,End of Feb 2021,146 days,Minor impact for agricultural drought in 8788 km2,No evidence of relevant impacts or not enough information available to date.
1014881,3,"Kazakhstan, Russia, Uzbekistan",End of Apr 2021,87 days,Medium impact for agricultural drought in 979473 km2,Mild to severe impacts to people and to one or more sectors of the economy.
1014958,27,"Argentina, Chile",End of Oct 2020,586 days,Minor impact for agricultural drought in 44804 km2,No evidence of relevant impacts or not enough information available to date.
1015039,14,"Angola, Democratic Republic of Congo, Republic of Congo",End of Jul 2021,203 days,Minor impact for agricultural drought in 36813 km2,No evidence of relevant impacts or not enough information available to date.
1015040,4,South Sudan,End of Jul 2021,109 days,Minor impact for agricultural drought in 48739 km2,No evidence of relevant impacts or not enough information available to date.
