Event_id,Episode,Depth,Lat/lon,Event_Date,Population,Source,Inserted_at,INFORM_Score,Event_summary
1449220,1597941,55.2 Km,"5.3951 , 94.3026","13 Oct 2024 07:01 UTC
13 Oct 2024 13:01 Local",7 thousand in MMI III,NEIC us6000nyee,13 Oct 2024 07:21 UTC,1.1 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449223,1597944,10 Km,"-33.7078 , -178.55","13 Oct 2024 07:24 UTC
12 Oct 2024 19:24 Local",,NEIC us6000nyej,13 Oct 2024 08:53 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449230,1597953,21.5 Km,"23.9662 , 121.6155","13 Oct 2024 11:36 UTC
13 Oct 2024 19:36 Local",90 thousand in MMI VI,NEIC us6000nyf8,13 Oct 2024 12:24 UTC,3.6 (Taiwan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449263,1597993,144.2 Km,"51.8956 , 178.1216","13 Oct 2024 17:04 UTC
13 Oct 2024 08:04 Local",,NEIC us6000nygi,13 Oct 2024 17:19 UTC,2.2 (United States),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449270,1598111,10 Km,"-59.2495 , 149.3445","13 Oct 2024 16:17 UTC
14 Oct 2024 02:17 Local",,NEIC us6000nygc,14 Oct 2024 14:46 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449293,1598028,10 Km,"-3.8687 , 87.1597","13 Oct 2024 22:35 UTC
14 Oct 2024 04:35 Local",,NEIC us6000nyhv,13 Oct 2024 23:00 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449294,1598030,10 Km,"-35.9897 , -100.5649","13 Oct 2024 22:48 UTC
13 Oct 2024 15:48 Local",,NEIC us6000nyhx,13 Oct 2024 23:07 UTC,1.1 (),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449314,1598055,99.3 Km,"-20.1927 , -69.3253","14 Oct 2024 03:21 UTC
14 Oct 2024 00:21 Local",200 thousand in MMI III,NEIC us6000nyim,14 Oct 2024 03:47 UTC,3 (Chile),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449326,1598070,614.5 Km,"-17.7479 , -179.9459","14 Oct 2024 07:40 UTC
14 Oct 2024 19:40 Local",10 thousand in MMI I,NEIC us6000nyjf,14 Oct 2024 08:12 UTC,1.1 (Fiji),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449336,1598085,68.5 Km,"35.5021 , 140.1716","14 Oct 2024 10:45 UTC
14 Oct 2024 19:45 Local",28.4 million in MMI IV,NEIC us6000nyk2,14 Oct 2024 11:48 UTC,1.5 (Japan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449342,1598089,35.4 Km,"30.0623 , 131.0184","14 Oct 2024 11:52 UTC
14 Oct 2024 20:52 Local",50 thousand in MMI III,NEIC us6000nyk6,14 Oct 2024 12:34 UTC,1.1 (Japan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449346,1598095,111 Km,"14.135 , -91.2206","14 Oct 2024 13:10 UTC
14 Oct 2024 07:10 Local",3 thousand in MMI IV,NEIC us6000nykg,14 Oct 2024 13:40 UTC,5.5 (Guatemala),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449347,1598114,39.7 Km,"24.1381 , 121.8499","14 Oct 2024 13:17 UTC
14 Oct 2024 21:17 Local",2 thousand in MMI IV,NEIC us6000nykn,14 Oct 2024 15:13 UTC,3.6 (Taiwan),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449348,1598099,75.9 Km,"8.9762 , 126.2395","14 Oct 2024 13:21 UTC
14 Oct 2024 21:21 Local",250 thousand in MMI IV,NEIC us6000nykv,14 Oct 2024 13:53 UTC,4.2 (Philippines),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449354,1598106,187.4 Km,"13.7366 , -89.0523","14 Oct 2024 13:08 UTC
14 Oct 2024 07:08 Local",6.7 million in MMI III,NEIC us6000nykd,14 Oct 2024 14:10 UTC,4.6 (El Salvador),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449362,1598125,252.6 Km,"-36.8755 , 177.0832","14 Oct 2024 16:01 UTC
15 Oct 2024 04:01 Local",80 thousand in MMI III,NEIC us6000nymi,14 Oct 2024 16:22 UTC,1.1 (New Zealand),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449364,1598126,16.9 Km,"-23.9455 , -64.2139","14 Oct 2024 15:48 UTC
14 Oct 2024 12:48 Local",2 thousand in MMI VI,NEIC us6000nyme,14 Oct 2024 16:32 UTC,3.7 (Argentina),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449369,1598127,10 Km,"19.276 , -70.107","14 Oct 2024 16:24 UTC
14 Oct 2024 12:24 Local",30 thousand in MMI V,PTWC pt24288050,14 Oct 2024 16:32 UTC,4.7 (Dominican Republic),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449395,1598167,10 Km,"-3.1406 , 139.1881","14 Oct 2024 21:30 UTC
15 Oct 2024 06:30 Local",1 thousand in MMI IV,NEIC us6000nyq0,14 Oct 2024 21:54 UTC,4.8 (Indonesia),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1449402,1598177,9.5 Km,"8.7904 , 127.1369","14 Oct 2024 23:42 UTC
15 Oct 2024 07:42 Local",290 thousand in MMI&>=II,NEIC us6000nyqm,15 Oct 2024 00:04 UTC,1.1 (Philippines),This earthquake is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
