Event_id,Episode,ID,Alert,Score,Date,"Mag,Depth",MMI,Population,Tsunami Risk,Delay,Source
1449220,1597941,1597941,EQ,0,13 Oct 2024 07:01,"5.3M, 55.2km",3.28,7 thousand (in 100km),,00:19,NEIC
1449223,1597944,1597944,EQ,0,13 Oct 2024 07:24,"4.5M, 10km",1.3,No people affected (in 100km),,01:28,NEIC
1449230,1597953,1597953,EQ,0,13 Oct 2024 11:36,"5.1M, 21.5km",5.66,90 thousand (in 100km),,00:48,NEIC
1449263,1597993,1597993,EQ,0,13 Oct 2024 17:04,"4.6M, 144.2km",2.75,N/A (in MMI>=VII),,00:15,NEIC
1449270,1598111,1598111,EQ,0,13 Oct 2024 16:17,"5M, 10km",2.21,No people affected (in 100km),,22:29,NEIC
1449293,1598028,1598028,EQ,0,13 Oct 2024 22:35,"4.6M, 10km",3.17,No people affected (in 100km),,00:24,NEIC
1449294,1598030,1598030,EQ,0,13 Oct 2024 22:48,"5.5M, 10km",6.26,N/A (in MMI>=VII),,00:18,NEIC
1449314,1598055,1598055,EQ,0,14 Oct 2024 03:21,"4.6M, 99.3km",2.94,200 thousand (in 100km),,00:25,NEIC
1449326,1598070,1598070,EQ,0,14 Oct 2024 07:40,"4.9M, 614.5km",1,10 thousand (in 100km),,00:32,NEIC
1449336,1598085,1598085,EQ,0,14 Oct 2024 10:45,"4.9M, 68.5km",3.9,28.4 million (in 100km),,01:02,NEIC
1449342,1598089,1598089,EQ,0,14 Oct 2024 11:52,"4.9M, 35.4km",3.27,50 thousand (in 100km),,00:41,NEIC
1449346,1598095,1598095,EQ,0,14 Oct 2024 13:10,"4.6M, 111km",3.51,3 thousand (in 100km),,00:30,NEIC
1449347,1598114,1598114,EQ,0,14 Oct 2024 13:17,"4.6M, 39.7km",3.55,2 thousand (in 100km),,01:56,NEIC
1449348,1598099,1598099,EQ,0,14 Oct 2024 13:21,"4.6M, 75.9km",3.68,250 thousand (in 100km),,00:31,NEIC
1449354,1598106,1598106,EQ,0,14 Oct 2024 13:08,"4.5M, 187.4km",2.89,6.7 million (in 100km),,01:01,NEIC
1449362,1598125,1598125,EQ,0,14 Oct 2024 16:01,"4.8M, 252.6km",2.59,80 thousand (in 100km),,00:21,NEIC
1449364,1598126,1598126,EQ,0,14 Oct 2024 15:48,"5M, 16.9km",5.96,2 thousand (in 100km),,00:43,NEIC
1449369,1598127,1598127,EQ,0,14 Oct 2024 16:24,"4.7M, 10km",5.39,30 thousand (in 100km),,00:07,PTWC
1449395,1598167,1598167,EQ,0,14 Oct 2024 21:30,"4.5M, 10km",4.44,1 thousand (in 100km),,00:24,NEIC
1449402,1598177,1598177,EQ,0,14 Oct 2024 23:42,"4.5M, 9.5km",2.55,290 thousand (in 100km),,00:21,NEIC
1449406,1598183,1598183,EQ,0,15 Oct 2024 00:10,"4.7M, 10km",3.13,190 thousand (in 100km),,00:16,NEIC
1449447,1598231,1598231,EQ,0,15 Oct 2024 08:05,"4.6M, 530km",1,Few people (in 100km),,00:22,NEIC
1449495,1598286,1598286,EQ,0,15 Oct 2024 15:49,"4.5M, 402.9km",1.12,No people affected (in 100km),,00:21,NEIC
1449497,1598292,1598292,EQ,0,15 Oct 2024 16:54,"4.8M, 40.2km",3.28,170 thousand (in 100km),,01:07,NEIC
1449504,1598309,1598309,EQ,0,15 Oct 2024 18:49,"4.5M, 27.3km",2.76,50 thousand (in 100km),,01:06,NEIC
1449513,1598306,1598306,EQ,0,15 Oct 2024 19:08,"4.9M, 10km",2.08,No people affected (in 100km),,00:34,NEIC
1449516,1598312,1598312,EQ,0,15 Oct 2024 19:51,"5M, 10km",2.27,No people affected (in 100km),,00:32,NEIC
1449518,1598322,1598322,EQ,0,15 Oct 2024 20:42,"4.6M, 254.6km",1.39,10 thousand (in 100km),,00:49,NEIC
1449519,1598318,1598318,EQ,0,15 Oct 2024 20:40,"5.3M, 10km",4.03,3 thousand (in 100km),,00:18,NEIC
1449529,1598328,1598328,EQ,0,15 Oct 2024 22:38,"4.9M, 15.3km",2.24,No people affected (in 100km),,00:16,NEIC
1449536,1598338,1598338,EQ,0,15 Oct 2024 23:49,"5.2M, 10km",2.62,No people affected (in 100km),,00:18,NEIC
1449552,1598707,1598359,EQ,0,16 Oct 2024 01:59,"4.5M, 122.6km",3.21,270 thousand (in 100km),,00:17,NEIC
1449552,1598707,1598707,EQ,0,16 Oct 2024 01:59,"4.5M, 108.1km",3.37,230 thousand (in 100km),,1d 16:52,NEIC
1449554,1598713,1598362,EQ,0,16 Oct 2024 02:03,"4.8M, 10km",2.08,No people affected (in 100km),,00:22,NEIC
1449554,1598713,1598713,EQ,0,16 Oct 2024 02:03,"4.8M, 10km",2.09,No people affected (in 100km),,1d 17:02,NEIC
1449567,1598725,1598376,EQ,0,16 Oct 2024 03:41,"5.2M, 10km",2.61,No people affected (in 100km),,00:21,NEIC
1449567,1598725,1598725,EQ,0,16 Oct 2024 03:41,"5.1M, 10km",2.49,No people affected (in 100km),,1d 16:58,NEIC
1449569,1598730,1598380,EQ,0,16 Oct 2024 04:30,"5.2M, 10km",2.52,No people affected (in 100km),,00:20,NEIC
1449569,1598730,1598730,EQ,0,16 Oct 2024 04:30,"5.2M, 10km",2.52,No people affected (in 100km),,1d 16:33,NEIC
1449572,1598735,1598384,EQ,0,16 Oct 2024 04:42,"4.5M, 35km",2.55,350 thousand (in 100km),,00:16,NEIC
1449572,1598735,1598735,EQ,0,16 Oct 2024 04:42,"4.5M, 35km",2.58,250 thousand (in 100km),,1d 16:44,NEIC
