Event_id,Episode,Name,Region_Province,Country,City_class,Population,Distance
1449230,1597953,Hua-lien,Hua-lien,Taiwan,Major city,-,2 km
1449230,1597953,Ta-shan,Hua-lien,Taiwan,Village,-,8 km
1449230,1597953,Ch'u-yin,Hua-lien,Taiwan,Village,-,9 km
1449230,1597953,Jung-shu,Hua-lien,Taiwan,Village,-,12 km
1449230,1597953,Hsin-ch'eng,Hua-lien,Taiwan,City,-,18 km
1449230,1597953,Feng-shan,Hua-lien,Taiwan,Village,-,18 km
1449230,1597953,Shui-lien,Hua-lien,Taiwan,Village,-,21 km
1449230,1597953,T'ieh-chia-lung-she,Hua-lien,Taiwan,City,-,21 km
1449230,1597953,Feng-lin,Hua-lien,Taiwan,Village,-,25 km
1449230,1597953,Chia-lu-lan,Hua-lien,Taiwan,Village,-,30 km
1449230,1597953,Wan-shan-t'ang,Hua-lien,Taiwan,Village,-,30 km
1449230,1597953,Feng-kuang,Hua-lien,Taiwan,Village,-,30 km
1449230,1597953,Chien-fan,Hua-lien,Taiwan,Village,-,31 km
1449230,1597953,Lo-shao,Hua-lien,Taiwan,Village,-,32 km
1449230,1597953,Kuan-yüan,Hua-lien,Taiwan,Village,-,37 km
1449230,1597953,Sha-lao,Hua-lien,Taiwan,Village,-,39 km
1449230,1597953,Feng-pin,Hua-lien,Taiwan,Village,-,42 km
1449230,1597953,Ao-hua,I-lan,Taiwan,Village,-,42 km
1449230,1597953,Chung-hu,Hua-lien,Taiwan,Village,-,43 km
1449230,1597953,Ching-kuan,Nan-t'ou,Taiwan,Village,-,43 km
1449230,1597953,Sung-pai,T'ai-chung,Taiwan,Village,-,48 km
1449230,1597953,Chieh-shou-t'ing,Nan-t'ou,Taiwan,Village,-,50 km
1449230,1597953,Chi-chia-yang,I-lan,Taiwan,Village,-,50 km
1449230,1597953,Hung-hsiang,T'ai-chung,Taiwan,Village,-,51 km
1449230,1597953,Fu-min,Hua-lien,Taiwan,Village,-,51 km
1449230,1597953,Chieh-hsiao-ts'un,T'ai-chung,Taiwan,Village,-,53 km
1449230,1597953,Chiu-wu-t'a,I-lan,Taiwan,Village,-,54 km
1449230,1597953,Shih-ti-ping,Hua-lien,Taiwan,City,-,56 km
1449230,1597953,Tzu-yüan,Nan-t'ou,Taiwan,Village,-,56 km
1449230,1597953,Mi-lo,Hsin-chu,Taiwan,Village,-,57 km
1449230,1597953,Ta-lo-ma,Hua-lien,Taiwan,Village,-,57 km
1449230,1597953,Ta-chiang-k'ou,Hua-lien,Taiwan,Village,-,58 km
1449230,1597953,Nan-ao,I-lan,Taiwan,City,-,59 km
1449230,1597953,Ch'ing-shan,T'ai-chung,Taiwan,Village,-,62 km
1449230,1597953,Ka-sha,Nan-t'ou,Taiwan,Village,-,62 km
1449230,1597953,Chia-fei-yüan,T'ai-chung,Taiwan,Village,-,62 km
1449230,1597953,Chang-yüan,Hua-lien,Taiwan,Village,-,63 km
1449230,1597953,Sung-pu,Hua-lien,Taiwan,Village,-,64 km
1449230,1597953,Tao-k'eng,Nan-t'ou,Taiwan,Village,-,65 km
1449230,1597953,San-li,Hua-lien,Taiwan,Village,-,65 km
1449230,1597953,Lieh-k'o-ni,Hua-lien,Taiwan,Village,-,66 km
1449230,1597953,Pu-li,Nan-t'ou,Taiwan,Village,-,67 km
1449230,1597953,Tu-chang,I-lan,Taiwan,Village,-,69 km
1449230,1597953,Shih-tzu-t'ou,T'ai-chung,Taiwan,Village,-,69 km
1449230,1597953,Ha-lung-t'ai,T'ai-chung,Taiwan,Village,-,70 km
1449230,1597953,I-lan,I-lan,Taiwan,Major city,-,90 km
1449230,1597953,Nan-tou,Nan-t'ou,Taiwan,Major city,-,96 km
1449230,1597953,Fweng-yüan,T'ai-chung,Taiwan,Major city,-,97 km
1449230,1597953,Tai-chung,T'ai-chung Shih,Taiwan,Major city,-,98 km
1449263,1597993,Amchitka,Alaska,United States,Village,<1000 people,64 km
1449314,1598055,Sagasca,Tarapacá,Chile,Village,-,1 km
1449314,1598055,Jucuma,Tarapaca,Chile,Village,-,9 km
1449314,1598055,Tambillo,Tarapaca,Chile,Village,-,10 km
1449314,1598055,Ciusa,Tarapacá,Chile,Village,-,12 km
1449314,1598055,Tasma,Tarapaca,Chile,Village,-,14 km
1449314,1598055,Macaya,Tarapaca,Chile,Village,-,16 km
1449314,1598055,Quipisca,Tarapaca,Chile,Village,-,17 km
1449314,1598055,Mamiña,Tarapacá,Chile,Village,-,17 km
1449314,1598055,Duplijsa,Tarapacá,Chile,Village,-,18 km
1449314,1598055,Huaca,Tarapaca,Chile,Village,-,20 km
1449314,1598055,Calera,Tarapacá,Chile,Village,-,20 km
1449314,1598055,Tapinga,Tarapaca,Chile,Village,-,23 km
1449314,1598055,Parca,Tarapaca,Chile,Village,-,23 km
1449314,1598055,Alca,Tarapacá,Chile,Village,-,29 km
1449314,1598055,Noasa,Tarapacá,Chile,Village,-,31 km
1449314,1598055,Pica,Tarapacá,Chile,Village,-,32 km
1449314,1598055,Cumiña,Tarapaca,Chile,Village,-,32 km
1449314,1598055,Tambillo,Tarapacá,Chile,Village,-,33 km
1449314,1598055,Iluga,Tarapaca,Chile,Village,-,34 km
1449314,1598055,Cerrillos,Tarapaca,Chile,Village,-,35 km
1449314,1598055,Tarapacá,Tarapacá,Chile,Village,-,35 km
1449314,1598055,Matilla,Tarapacá,Chile,Village,-,36 km
1449314,1598055,Ocharaza,Tarapaca,Chile,Village,-,36 km
1449314,1598055,Caigua,Tarapaca,Chile,Village,-,36 km
1449314,1598055,Calamina,Tarapacá,Chile,Village,-,37 km
1449314,1598055,Laonsana,Tarapacá,Chile,Village,-,37 km
1449314,1598055,Calguay,Tarapaca,Chile,Village,-,38 km
