Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1449230,1597953,Hualien,HUN,16,Civ.,Paved,Yes,9000,6 km
1449230,1597953,Lishan,LHN,unknown,,,,0,51 km
1449230,1597953,Sun Moon Lake,SMT,unknown,,,,0,70 km
1449230,1597953,,,9,,,,0,86 km
1449263,1597993,Amchitka Island,AHT,69,,,,0,97 km
1449314,1598055,Canchones West,,914,,,,0,42 km
1449314,1598055,Oficina Victoria,,1000,,,,0,68 km
1449314,1598055,Los Condores,,520,,,,0,80 km
1449314,1598055,Zapiga,,1160,,,,0,88 km
1449314,1598055,Coposa,,3788,,,,0,91 km
1449314,1598055,Diego Aracena International,IQQ,48,Civ.,Paved,Yes,10900,97 km
1449326,1598070,Koro,KXF,unknown,,,,0,80 km
1449326,1598070,Ngau,NGI,unknown,,,,0,87 km
1449326,1598070,Moala,MFJ,unknown,,,,0,91 km
1449336,1598085,Shimoshizu,,30,,,,0,17 km
1449336,1598085,Kisarazu,,3,Mil.,Paved,Yes,6000,26 km
1449336,1598085,Tokyo Narita International,NRT,42,Civ.,Paved,Yes,13100,35 km
1449336,1598085,Tokyo Haneda International,HND,7,Civ.,Paved,Yes,9800,36 km
1449336,1598085,Shimofusa,,30,Civ.,Paved,Yes,7300,36 km
1449336,1598085,Ryugasaki South,,2,,,,0,41 km
1449336,1598085,Ryugasaki,,2,,,,0,46 km
1449336,1598085,Yokohama,YOK,unknown,,,,0,49 km
1449336,1598085,,,26,,,,0,59 km
1449336,1598085,Chofu,,41,Civ.,Paved,No,3200,61 km
1449336,1598085,Tateyama,,3,,,,0,65 km
1449336,1598085,Chiba-ken,,19,,,,0,65 km
1449336,1598085,Atsugi,NJA,62,Mil.,Paved,Yes,7900,66 km
1449336,1598085,Katsner AAF,,109,Civ.,Paved,No,1900,71 km
1449336,1598085,Tachikawa,,95,,,,0,74 km
1449336,1598085,Hyakuri,,32,Mil.,Paved,Yes,8800,79 km
1449336,1598085,Iruma,,91,Mil.,Paved,Yes,6500,79 km
1449336,1598085,Honda,,12,,,,0,79 km
1449336,1598085,Yokota AFB,OKO,139,Mil.,Paved,Yes,11000,79 km
1449342,1598089,Yakushima,KUM,37,Civ.,Paved,Yes,4900,50 km
