Event_id,Episode,Reservoir,Dam_Name,River,Year,Distance
1449230,1597953,,Guguan,Dajiaxi,1961,67 km
1449336,1598085,Yamakura,Yamakura,Yamakuragawa,1964,4 km
1449336,1598085,Takatakiko,Takataki,Yorogawa,1990,16 km
1449336,1598085,Kameyamako,Kameyama,Obitsugawa,1980,31 km
1449336,1598085,Kori,Kori,Korigawa,1972,33 km
1449336,1598085,Sakuma,Sakuma,Okuzuregawa,1990,49 km
1449336,1598085,Kasumigaura,Kasumigaura-Kaihatsu,Tonegawa,1995,59 km
1449336,1598085,Tamako,Murayamashimo,Tamagawa,2008,72 km
1449336,1598085,Tamako,Murayamakami,Tamagawa,1924,74 km
1449336,1598085,Sayamako,Yamaguchi,Tamagawa,2002,75 km
1449336,1598085,Miyukiko,Gongendochosetsuchi,Nakagawa,1991,80 km
1449336,1598085,Tsukuiko,Shiroyama,Sagamigawa,1964,81 km
1449336,1598085,Miyagaseko,Miyagase,Nakatsugawa,2001,84 km
1449336,1598085,Miyazawako,Miyazawatameike,Koazegawa,1941,87 km
1449336,1598085,Sagamiko,Sagami,Sagamigawa,1947,89 km
1449336,1598085,Yanakako,Wataraseyusuichi,Watarasegawa,1989,90 km
1449336,1598085,Iizumishusuizeki,Iizumishusuizeki,Sakawagawa,1973,95 km
1449336,1598085,Naguriko,Arima,Arimagawa,1985,99 km
1449342,1598089,Saikyo,Saikyo,Matanobugawa,1984,78 km
1449347,1598114,,Guguan,Dajiaxi,1961,85 km
1449347,1598114,,Shihmen,Tahan,1964,96 km
1449354,1598106,,Cerron Grande,Lempa,1973,26 km
1449354,1598106,,5 de Noviembre,Lempa,1954,42 km
1449354,1598106,,15 de Septiembre,Lempa,1983,55 km
1449369,1598127,,Hatillo,Yuna,1984,29 km
1449369,1598127,,Rincon,Jima,1978,37 km
1449369,1598127,,Tavera,Yaque del Norte,1974,65 km
1449369,1598127,,Bao,Bao,1985,67 km
1449369,1598127,,Jiguey,Nizao,1992,86 km
1449369,1598127,,Valdesia,Nizao,1975,99 km
1449585,1598401,,Karakaya,Euphrates,1987,29 km
1449585,1598401,Adiyaman,Cat,Abdulharap,1996,52 km
1449585,1598401,Keban Baraji,Keban,Euphrates,1974,56 km
1449585,1598401,,Sultansuyu,Sultansuyu,1992,68 km
1449585,1598401,,Recai Kutan Boztepe,Kurucay,2002,73 km
1449585,1598401,,Surgu,Surgu,1969,88 km
1449585,1598401,,Uzuncayir,Munzur,2009,97 km
1449591,1598413,Miyukiko,Gongendochosetsuchi,Nakagawa,1991,8 km
1449591,1598413,Yanakako,Wataraseyusuichi,Watarasegawa,1989,14 km
1449591,1598413,Miyazawako,Miyazawatameike,Koazegawa,1941,52 km
1449591,1598413,Tamako,Murayamashimo,Tamagawa,2008,53 km
1449591,1598413,Sayamako,Yamaguchi,Tamagawa,2002,53 km
1449591,1598413,Tamako,Murayamakami,Tamagawa,1924,54 km
1449591,1598413,Kusakiko,Kusaki,Watarasegawa,1976,60 km
1449591,1598413,Jajanboike,Kozogawa,Kozogawa,1985,62 km
1449591,1598413,Naguriko,Arima,Arimagawa,1985,64 km
1449591,1598413,Kasumigaura,Kasumigaura-Kaihatsu,Tonegawa,1995,66 km
1449591,1598413,Kannako,Shimokubo,Kannagawa,1968,71 km
1449591,1598413,Chuzenjiko,Chuzenji,Daiyagawa,1998,72 km
1449591,1598413,Higashikoyako,Nishiarakawa,Nishiarakawa,1967,76 km
1449591,1598413,Tsukuiko,Shiroyama,Sagamigawa,1964,77 km
1449591,1598413,Imaichichoseichi,Imaichi,Togawa,1988,78 km
1449591,1598413,Yamakura,Yamakura,Yamakuragawa,1964,78 km
1449591,1598413,Okutamako,Ogohchi,Tamagawa,1957,78 km
1449591,1598413,Makabechoseichi,Makabe,Tonegawa,1928,78 km
1449591,1598413,Terayama,Terayama,Miyakawa,1984,79 km
1449591,1598413,Sonoharako,Sonohara,Katashinagawa,1965,79 km
1449591,1598413,Sagamiko,Sagami,Sagamigawa,1947,80 km
1449591,1598413,Kuriyamachoseichi,Kuriyama,Nebesawagawa,1988,81 km
1449591,1598413,Narusawako,Narusawa,Harunashirakawa,1950,82 km
1449591,1598413,Miyagaseko,Miyagase,Nakatsugawa,2001,83 km
1449591,1598413,Kurobe,Kurobe,Kinugawa,1912,83 km
1449591,1598413,Chichibuko,Futase,Arakawa,1961,84 km
1449591,1598413,Oshioko,Oshio,Nanmokugawa,1968,84 km
1449591,1598413,Yashioko,Kawaji,Kunugawa,1983,85 km
1449591,1598413,Ikariko,Ikari,Ojikagawa,1956,86 km
1449591,1598413,Kawamatako,Kawamata,Kinugawa,1966,86 km
1449591,1598413,Marunumako,Marunuma,Otakigawa,1931,87 km
1449591,1598413,Ono,Ono,Yatagawa,1914,89 km
1449591,1598413,Nyuko,Nyu,Nyukawa,1952,89 km
1449591,1598413,Shiobara,Shiobara,Hokigawa,1978,91 km
1449591,1598413,Takatakiko,Takataki,Yorogawa,1990,92 km
1449591,1598413,Kori,Kori,Korigawa,1972,94 km
1449591,1598413,Sabigawa,Sabigawa,Sabigawa,1994,95 km
1449591,1598413,Tanbarako,Tanbara,Hocchigawa,1981,98 km
1449591,1598413,Hiroseko,Hirose,Fuefukigawa,1974,100 km
1449621,1598459,,Guguan,Dajiaxi,1961,71 km
1449665,1598505,,Kessem,Kessem,2015,30 km
1449736,1598610,,Dort Eylul,Mismil Deresi,2006,32 km
1449736,1598610,,Camligoze,Kelkit,1998,90 km
1449736,1598610,Almus Baraji,Almus,Yesilirmak,1966,92 km
1449736,1598610,,Kilickaya,Kelkit,1989,99 km
1449780,1598683,,Melones,Mayari,2011,97 km
1449868,1598786,Yukiyagawa,Yukiyagawa,Yukiyagawa,1976,69 km
1449868,1598786,Setsukinaidamuko,Setsukinai,Setsukinaigawa,1986,74 km
