Event_id,Episode,Radius,Population
1000000,49,Radius,Population
1000000,49,100 km,2.7 million people
1000000,49,75 km,1.8 million people
1000000,49,50 km,1.2 million people
1000000,49,30 km,940000 people
1000000,49,20 km,220000 people
1000000,49,10 km,<1000 people
1000000,49,5 km,<1000 people
1000000,49,2 km,<1000 people
1000002,1,Radius,Population
1000002,1,100 km,8300 people
1000002,1,75 km,4200 people
1000002,1,50 km,2400 people
1000002,1,30 km,<1000 people
1000002,1,20 km,no people
1000002,1,10 km,no people
1000002,1,5 km,no people
1000002,1,2 km,no people
1000003,1,Radius,Population
1000003,1,100 km,8.2 million people
1000003,1,75 km,6.3 million people
1000003,1,50 km,1.3 million people
1000003,1,30 km,260000 people
1000003,1,20 km,200000 people
1000003,1,10 km,71000 people
1000003,1,5 km,16000 people
1000003,1,2 km,<1000 people
1000004,6,Radius,Population
1000004,6,100 km,24.4 million people
1000004,6,75 km,18.6 million people
1000004,6,50 km,10 million people
1000004,6,30 km,4.4 million people
1000004,6,20 km,1.4 million people
1000004,6,10 km,240000 people
1000004,6,5 km,45000 people
1000004,6,2 km,2300 people
1000005,1,Radius,Population
1000005,1,100 km,37000 people
1000005,1,75 km,34000 people
1000005,1,50 km,33000 people
1000005,1,30 km,33000 people
1000005,1,20 km,24000 people
1000005,1,10 km,7700 people
1000005,1,5 km,3800 people
1000005,1,2 km,<1000 people
1000006,4,Radius,Population
1000006,4,100 km,460000 people
1000006,4,75 km,360000 people
1000006,4,50 km,230000 people
1000006,4,30 km,140000 people
1000006,4,20 km,60000 people
1000006,4,10 km,15000 people
1000006,4,5 km,7300 people
1000006,4,2 km,<1000 people
1000007,1,Radius,Population
1000007,1,100 km,19.7 million people
1000007,1,75 km,10.4 million people
1000007,1,50 km,5.7 million people
1000007,1,30 km,870000 people
1000007,1,20 km,150000 people
1000007,1,10 km,9000 people
1000007,1,5 km,1800 people
1000007,1,2 km,<1000 people
1000008,1,Radius,Population
1000008,1,100 km,850000 people
1000008,1,75 km,850000 people
1000008,1,50 km,700000 people
1000008,1,30 km,300000 people
1000008,1,20 km,63000 people
1000008,1,10 km,<1000 people
1000008,1,5 km,no people
