Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1000000,49,Catania Fontanarossa,CTA,13,Civ.,Paved,Yes,8100,32 km
1000000,49,Sigonella,NSY,24,Mil.,Paved,Yes,8000,39 km
1000000,49,Tito Menniti,REG,26,Civ.,Paved,Yes,6900,68 km
1000000,49,Comiso,CIY,unknown,,,,0,90 km
1000002,1,Klyuchi,,66,,,,0,39 km
1000002,1,Klyuchi Southeast,,32,,,,0,42 km
1000002,1,Kozyrevsk,,30,,,,0,46 km
1000003,1,Polonia,MES,27,Civ.,Paved,Yes,9500,53 km
1000004,6,Adisucipto,JOG,107,Mil.,Paved,Yes,7200,27 km
1000004,6,Adi Sumarmo Wiryokusumo,SOC,106,Civ.,Paved,Yes,8500,34 km
1000004,6,Achmad Yani,SRG,3,Mil.,Paved,Yes,6000,63 km
1000005,1,Tanna Island Tanna,TAH,unknown,,,,0,25 km
1000005,1,White Grass,,6,Civ.,Paved,Yes,5000,25 km
1000005,1,Aniwa,AWD,unknown,,,,0,37 km
1000005,1,Ipota,IPA,unknown,,,,0,77 km
1000005,1,Futuna Island,FTA,unknown,,,,0,82 km
1000005,1,Dillons Bay,DLY,unknown,,,,0,96 km
1000006,4,Lewoleba,LWE,unknown,,,,0,17 km
1000006,4,Larantuka,LKA,unknown,,,,0,59 km
1000007,1,Abdulrachman Saleh,MLG,526,Civ.,Paved,No,6400,31 km
1000007,1,Juanda,SUB,3,Civ.,Paved,Yes,9800,82 km
1000008,1,St Pierre Pierrefonds,ZSE,16,,,,0,31 km
1000008,1,Saint Denis Gillot,RUN,20,,,,0,44 km
1000009,1,Rainshed,,1219,,,,0,3 km
1000009,1,Mountain View Airstrip,,457,,,,0,23 km
1000009,1,Pahala Airstrip,,364,,,,0,30 km
1000009,1,Upper Paauau,,792,,,,0,32 km
1000009,1,Hilo Hospital,,148,,,,0,35 km
1000009,1,Mauna Kea-Honolii,,427,,,,0,41 km
1000009,1,Hilo International,ITO,12,Civ.,Paved,Yes,9800,42 km
1000009,1,Kaalaiki Airstrip,,599,,,,0,45 km
1000009,1,Bradshaw AAF,BSF,1886,Civ.,Paved,No,3600,47 km
1000009,1,Pepeekeo Airstrip,,206,,,,0,50 km
1000009,1,Peleau,,332,,,,0,55 km
1000009,1,Lucy Henriques Medical Center,,853,,,,0,62 km
1000009,1,Upper Paauilo Airstrip,,463,,,,0,68 km
1000009,1,Puu Waa Waa Ranch,,686,,,,0,72 km
1000009,1,Kamuela,MUE,814,Civ.,Paved,No,5100,76 km
1000009,1,Honokaa Airstrip,,439,,,,0,77 km
1000009,1,Waikoloa,,33,,,,0,81 km
1000009,1,Kaupulehu,,13,,,,0,86 km
1000009,1,Keahole,KOA,13,Civ.,Paved,Yes,11000,87 km
1000010,1,La Aurora,GUA,1509,Civ.,Paved,Yes,9800,24 km
1000010,1,El Naranjo,ENJ,unknown,,,,0,40 km
1000010,1,San Jose,,9,Civ.,Paved,No,6500,56 km
1000011,1,La Aurora,GUA,1509,Civ.,Paved,Yes,9800,40 km
1000011,1,El Naranjo,ENJ,unknown,,,,0,42 km
1000011,1,San Jose,,9,Civ.,Paved,No,6500,60 km
1000011,1,Quezaltenango,,2363,,,,0,80 km
1000011,1,Retalhuleu,,200,Civ.,Paved,No,4900,88 km
1000012,5,Fernando AB,,372,Mil.,Paved,No,4900,15 km
1000012,5,Sangley Point AB,SGL,2,Mil.,Paved,No,8600,55 km
1000012,5,Ninoy Aquino International,MNL,23,Civ.,Paved,Yes,12200,56 km
1000012,5,Lucena,,12,Civ.,Unpaved,No,3200,66 km
1000012,5,Pagbilao Grande Island,,4,,,,0,82 km
1000012,5,Lubang,LBX,5,Civ.,Paved,No,3900,97 km
1000012,5,Mamburao,MBO,4,Civ.,Paved,No,3900,97 km
1000013,3,Polonia,MES,27,Civ.,Paved,Yes,9500,53 km
1000014,5,La Aurora,GUA,1509,Civ.,Paved,Yes,9800,24 km
1000014,5,El Naranjo,ENJ,unknown,,,,0,40 km
1000014,5,San Jose,,9,Civ.,Paved,No,6500,56 km
1000015,1,Fanor Urroz,,100,,,,0,32 km
1000015,1,Los Brasiles,,80,Civ.,Paved,No,3200,91 km
1000015,1,San Lorenzo,,20,,,,0,96 km
1000015,1,Punta Huete,,66,,,,0,97 km
1000016,1,Kagoshima,KOJ,276,Civ.,Paved,Yes,9800,24 km
1000016,1,Kanoya,,65,Civ.,Paved,Yes,7300,30 km
1000016,1,Miyazaki,KMI,6,Civ.,Paved,Yes,8200,81 km
1000016,1,Nishinoomote,IIN,unknown,,,,0,94 km
1000017,1,Macas,XMS,1000,Civ.,Paved,Yes,8200,41 km
1000017,1,Chimborazo,,2790,Civ.,Paved,No,5200,52 km
1000017,1,Sucua,SUQ,950,Civ.,Unpaved,No,3900,54 km
1000017,1,Rio Amazonas,PTZ,1043,Civ.,Paved,Yes,5000,63 km
1000017,1,Mendez,MZD,unknown,,,,0,79 km
1000017,1,Patuca,,541,,,,0,83 km
1000017,1,Chachoan,ATF,2564,Civ.,Paved,Yes,6500,91 km
1000018,1,Keflavik International,KEF,52,Civ.,Paved,Yes,10000,28 km
1000018,1,Reykjavik Domestic,RKV,14,Civ.,Paved,Yes,5700,28 km
1000018,1,Borgarfjordur Eystri,BGJ,unknown,,,,0,65 km
1000020,5,E T Joshua,SVD,20,Civ.,Paved,Yes,4600,21 km
1000020,5,J F Mitchell,,4,Civ.,Paved,No,3600,39 km
1000020,5,Hewanorra International,UVF,3,Civ.,Paved,Yes,9000,51 km
1000020,5,Canouan,,5,Civ.,Paved,No,3600,72 km
1000020,5,Vigie,SLU,6,Civ.,Paved,Yes,6200,79 km
1000020,5,Union Island,UNI,unknown,,,,0,84 km
1000020,5,Palm Island,PLI,unknown,,,,0,86 km
1000021,1,Tito Menniti,REG,26,Civ.,Paved,Yes,6900,88 km
1000023,7,Goma International,GOM,1551,Civ.,Paved,No,3200,17 km
1000023,7,Katale,,1400,Civ.,Unpaved,No,3600,28 km
1000023,7,Ruhengeri,RHG,1860,Civ.,Unpaved,No,4800,43 km
1000023,7,Rutshuru,,1130,Civ.,Unpaved,No,3500,43 km
1000023,7,Ishasha,,250,Civ.,Unpaved,No,3600,95 km
1000024,1,La Aurora,GUA,1509,Civ.,Paved,Yes,9800,40 km
1000024,1,El Naranjo,ENJ,unknown,,,,0,42 km
1000024,1,San Jose,,9,Civ.,Paved,No,6500,60 km
1000024,1,Quezaltenango,,2363,,,,0,80 km
