Event_id,Episode,Name,Region_Province,Country,City_class,Population,Distance
1022647,12,Jaborandi,Bahia,Brazil,City,-,32 km
1022647,12,Feira da Mata,Bahia,Brazil,City,-,49 km
1022647,12,São Félix do Coribe,Bahia,Brazil,City,-,67 km
1022647,12,Miravânia,Minas Gerais,Brazil,City,-,98 km
1022647,12,Canápolis,Bahia,Brazil,City,-,98 km
1022657,3,Derby,Western Australia,Australia,City,-,68 km
1022661,12,Figueirópolis d'Oeste,Mato Grosso,Brazil,City,-,75 km
1022661,12,Indiavaí,Mato Grosso,Brazil,City,-,91 km
1022661,12,Vila Bela da Santíssima Trindade,Mato Grosso,Brazil,City,-,94 km
1022661,12,Porto Esperidião,Mato Grosso,Brazil,City,-,103 km
1022668,8,Colônia do Gurguéia,Piaui,Brazil,City,-,38 km
1022668,8,Alvorada do Gurguéia,Piaui,Brazil,City,-,38 km
1022668,8,Manoel Emídio,Piaui,Brazil,City,-,43 km
1022668,8,Palmeira do Piauí,Piaui,Brazil,City,-,48 km
1022668,8,Santa Luz,Piaui,Brazil,City,-,75 km
1022668,8,Canavieira,Piaui,Brazil,City,-,82 km
1022668,8,Sebastião Leal,Piaui,Brazil,City,-,84 km
1022669,8,Armadale,Western Australia,Australia,City,-,16 km
1022669,8,Byford,Western Australia,Australia,City,-,16 km
1022669,8,Medina,Western Australia,Australia,City,-,34 km
1022669,8,Perth,Western Australia,Australia,Major city,1.4 million people,41 km
1022669,8,Rockingham,Western Australia,Australia,City,-,41 km
1022669,8,Warnbro,Western Australia,Australia,City,-,42 km
1022669,8,Peelhurst,Western Australia,Australia,City,-,46 km
1022669,8,Singleton,Western Australia,Australia,City,-,48 km
1022669,8,Mandurah,Western Australia,Australia,City,73000 people,55 km
1022669,8,Pinjarra,Western Australia,Australia,City,-,56 km
1022669,8,Dwellingup,Western Australia,Australia,City,-,59 km
1022669,8,Falcon,Western Australia,Australia,City,-,65 km
1022669,8,York,Western Australia,Australia,City,-,66 km
1022669,8,Beverly,Western Australia,Australia,City,-,72 km
1022669,8,Northam,Western Australia,Australia,City,5800 people,76 km
1022669,8,Waroona,Western Australia,Australia,City,-,76 km
1022669,8,Brookton,Western Australia,Australia,City,-,82 km
1022669,8,Harvey,Western Australia,Australia,City,-,102 km
1022672,4,Kabwe,Central,Zambia,City,190000 people,95 km
1022676,2,Taipas do Tocantins,Tocantins,Brazil,City,-,27 km
1022676,2,Conceição do Tocantins,Tocantins,Brazil,City,-,37 km
1022676,2,Combinado,Tocantins,Brazil,City,-,68 km
1022676,2,Lavandeira,Tocantins,Brazil,City,-,71 km
1022676,2,Novo Alegre,Goiás,Brazil,City,-,75 km
1022676,2,Aurora do Tocantins,Tocantins,Brazil,City,-,75 km
1022676,2,Novo Jardim,Tocantins,Brazil,City,-,82 km
1022676,2,Porto Alegre do Tocantins,Tocantins,Brazil,City,-,91 km
1022679,2,Novokiyevskiy Uval,Amurskaya,Russia,City,-,59 km
1022692,1,São Francisco do Guaporé,Rondônia,Brazil,City,-,64 km
1022697,5,Cáceres,Mato Grosso,Brazil,City,69000 people,102 km
1022700,7,Gaúcha do Norte,Mato Grosso,Brazil,City,-,63 km
1022701,2,Derby,Western Australia,Australia,City,-,75 km
1022707,2,Luciara,Mato Grosso,Brazil,City,-,44 km
1022707,2,Alto Boa Vista,Mato Grosso,Brazil,City,-,54 km
1022707,2,São Félix do Araguaia,Mato Grosso,Brazil,City,7100 people,55 km
1022707,2,Porto Alegre do Norte,Mato Grosso,Brazil,City,-,78 km
1022707,2,Cana Brava do Norte,Mato Grosso,Brazil,City,-,89 km
1022707,2,Confresa,Mato Grosso,Brazil,City,5500 people,93 km
1022715,3,Ministro Andreazza,Rondônia,Brazil,City,-,81 km
1022715,3,Vale do Paraíso,Rondônia,Brazil,City,-,98 km
1022729,3,Ambanja,Antsiranana,Madagascar,City,30000 people,86 km
1022733,2,Yekaterinoslavka,Amurskaya,Russia,City,10000 people,86 km
1022733,2,Zavitinsk,Amurskaya,Russia,City,13000 people,100 km
1022741,1,Santa Rita de Cássia,Bahia,Brazil,City,-,19 km
1022741,1,Sebastião Barros,Piauí,Brazil,City,-,20 km
1022741,1,Cristalândia do Piauí,Piaui,Brazil,City,-,64 km
1022741,1,Júlio Borges,Piaui,Brazil,City,-,83 km
1022742,1,Cooktown,Queensland,Australia,City,-,93 km
