Event_id,Episode,Name,IATA_Code,Elevation_in_m,Usage,Runway_type,IFR,Runway_Length_in_ft,Distance
1022604,17,Tennant Creek,TCA,377,Civ.,Paved,Yes,6400,65 km
1022604,17,Rockhampton Downs,RDA,unknown,,,,0,66 km
1022607,14,Century Mine,,126,Civ.,Paved,Yes,5700,16 km
1022607,14,Lawn Hill,LWH,unknown,,,,0,26 km
1022607,14,Gregory Downs,GGD,unknown,,,,0,41 km
1022607,14,Doomafgee,DMD,47,Civ.,Unpaved,No,5400,87 km
1022607,14,Augustus Downs,AUD,unknown,,,,0,114 km
1022607,14,Lorraine,LOA,unknown,,,,0,123 km
1022617,12,Rockhampton Downs,RDA,unknown,,,,0,60 km
1022617,12,Tennant Creek,TCA,377,Civ.,Paved,Yes,6400,78 km
1022619,15,The Monument,,288,Civ.,Paved,Yes,6200,18 km
1022619,15,Oban,OBA,unknown,,,,0,101 km
1022620,14,Camfield,CFI,unknown,,,,0,58 km
1022620,14,Wave Hill,WAV,201,Civ.,Unpaved,Yes,3000,89 km
1022620,14,Cattle Creek,CTR,unknown,,,,0,110 km
1022626,16,Waterloo,WLO,unknown,,,,0,43 km
1022626,16,Limbunya,LIB,unknown,,,,0,57 km
1022626,16,Newry,NRY,unknown,,,,0,91 km
1022626,16,Ord River,ODR,unknown,,,,0,96 km
1022626,16,Mt. Sandford,MTD,unknown,,,,0,98 km
1022629,10,Headingly,HIP,unknown,,,,0,36 km
1022629,10,Oban,OBA,unknown,,,,0,47 km
1022629,10,Barkly Downs,BKP,unknown,,,,0,58 km
1022629,10,Lake Nash,LNH,unknown,,,,0,87 km
1022629,10,Manners Creek,MFP,unknown,,,,0,101 km
1022629,10,Glenormiston,GLM,unknown,,,,0,101 km
1022631,14,Austral Downs,AWP,unknown,,,,0,80 km
1022637,14,Kurundi,KRD,unknown,,,,0,79 km
1022637,14,Tennant Creek,TCA,377,Civ.,Paved,Yes,6400,98 km
1022640,9,Gweta,,914,,,,0,34 km
1022640,9,Tonunga,,945,,,,0,54 km
1022640,9,Tsigaro,,939,,,,0,56 km
1022640,9,Motopi,,975,,,,0,87 km
1022642,5,Punda Milia,,436,,,,0,109 km
1022647,12,Cocos,,615,Civ.,Unpaved,No,3200,30 km
1022647,12,Montalvania,,548,Civ.,Unpaved,No,4100,62 km
1022647,12,Santa Maria da Vitoria Apt,,564,Civ.,Unpaved,No,3900,66 km
1022647,12,Carinhanha,,451,,,,0,97 km
1022648,10,Rockhampton Downs,RDA,unknown,,,,0,15 km
1022648,10,Alroy Downs,AYD,unknown,,,,0,83 km
1022648,10,Brunette Downs,BTD,unknown,,,,0,93 km
1022649,10,Yuendumu,YUE,672,Civ.,Paved,No,3000,89 km
1022650,9,Camooweal,CML,unknown,,,,0,4 km
1022654,4,Kurundi,KRD,unknown,,,,0,63 km
1022654,4,Elkedra,EKD,unknown,,,,0,100 km
1022657,3,Derby,DRB,7,Civ.,Paved,Yes,5600,75 km
1022657,3,Carroll,,91,Civ.,Paved,Yes,10000,99 km
1022660,11,Kurundi,KRD,unknown,,,,0,32 km
1022660,11,Elkedra,EKD,unknown,,,,0,56 km
1022661,12,Vila Bela,,270,Civ.,Unpaved,No,3900,95 km
1022661,12,Mato Grosso,MTG,unknown,,,,0,98 km
1022661,12,Fazenda Sao Francisco,,262,,,,0,101 km
1022661,12,Fazenda Sagrado Coracao de Jesus,,152,,,,0,101 km
1022662,6,Barkly Downs,BKP,unknown,,,,0,63 km
1022662,6,Camooweal,CML,unknown,,,,0,64 km
1022662,6,Lake Nash,LNH,unknown,,,,0,72 km
1022662,6,Headingly,HIP,unknown,,,,0,94 km
1022665,11,Austral Downs,AWP,unknown,,,,0,106 km
1022668,8,Gurgueia,,325,Civ.,Paved,No,3900,84 km
1022669,8,Perth Jandakot,JAD,30,Civ.,Paved,Yes,4500,29 km
1022669,8,Perth International,PER,20,Civ.,Paved,Yes,11200,34 km
1022669,8,Fremantle Heliport,JFM,unknown,,,,0,44 km
1022669,8,Murray Field,,17,,,,0,47 km
1022669,8,Pearce,,45,Civ.,Paved,Yes,8000,60 km
1022669,8,Rottnest Island,RTS,4,Civ.,Paved,Yes,4200,63 km
1022669,8,Gingin,,73,Civ.,Paved,No,5900,86 km
1022672,4,Mumbwa Military,,1196,,,,0,83 km
1022672,4,Milliken,,1195,Civ.,Unpaved,No,3900,88 km
1022674,8,Rockhampton Downs,RDA,unknown,,,,0,44 km
1022674,8,Alroy Downs,AYD,unknown,,,,0,76 km
1022675,13,Elkedra,EKD,unknown,,,,0,57 km
1022675,13,Kurundi,KRD,unknown,,,,0,100 km
1022676,2,Arraias,AAI,586,Civ.,Unpaved,No,4900,55 km
1022676,2,Taguatinga,QHN,630,Civ.,Unpaved,No,3900,70 km
1022676,2,Campos Belos,,670,Civ.,Unpaved,No,3900,70 km
1022676,2,Parana,,270,Civ.,Unpaved,No,3200,93 km
1022676,2,Dianopolis,DNO,608,Civ.,Unpaved,No,4100,94 km
1022677,6,McArthur River Mine,,40,Priv.,Paved,Yes,4900,58 km
1022677,6,Borroloola,BOX,16,Civ.,Paved,Yes,4000,96 km
1022679,2,Mayskiy,,244,,,,0,43 km
1022679,2,Novokiyevskiy Uval,,183,,,,0,58 km
1022679,2,Gar,,213,,,,0,83 km
1022680,12,Victoria R. Downs,VCD,unknown,,,,0,19 km
1022680,12,Humbert River,HUB,unknown,,,,0,52 km
1022680,12,Coolibah,COB,unknown,,,,0,68 km
1022680,12,Mt. Sandford,MTD,unknown,,,,0,96 km
1022680,12,Timber Creek,TBK,unknown,,,,0,100 km
1022680,12,Camfield,CFI,unknown,,,,0,101 km
1022682,7,Daly Waters,DYW,unknown,,,,0,98 km
1022683,10,Mitchell Plateau,MIH,unknown,,,,0,29 km
1022683,10,Mungalalu Truscott,,53,Civ.,Paved,Yes,3000,84 km
1022683,10,Troughton Island,,8,Mil.,Unpaved,Yes,3000,97 km
1022683,10,Kalumburu,UBU,29,Priv.,Unpaved,No,4200,100 km
1022684,9,Garden Point,GPN,27,Civ.,Unpaved,No,3700,9 km
1022684,9,Snake Bay,SNB,52,Civ.,Paved,No,4700,16 km
1022684,9,Bathurst Island,BRT,16,Civ.,Paved,No,4800,45 km
1022685,4,Robinson River,RRV,unknown,,,,0,36 km
1022685,4,McArthur River Mine,,40,Priv.,Paved,Yes,4900,65 km
1022685,4,Borroloola,BOX,16,Civ.,Paved,Yes,4000,84 km
1022686,5,Soalala,DWB,43,Civ.,Paved,No,4100,22 km
1022686,5,Besalampy,BPY,38,Civ.,Paved,No,4900,99 km
1022687,8,Gweta,,914,,,,0,27 km
1022687,8,Tsigaro,,939,,,,0,39 km
1022687,8,Tonunga,,945,,,,0,74 km
1022687,8,Motopi,,975,,,,0,81 km
1022688,7,Nkongo,,1158,,,,0,102 km
1022690,4,Argyle,GYL,159,Civ.,Paved,Yes,7500,46 km
1022690,4,Lissadel,LLL,unknown,,,,0,54 km
1022690,4,Carlton Hill,CRY,unknown,,,,0,72 km
1022690,4,Kununurra,KNX,44,Civ.,Paved,Yes,5900,78 km
1022690,4,Hillside,HLL,unknown,,,,0,81 km
1022690,4,Turkey Creek,TKY,unknown,,,,0,84 km
1022690,4,Wyndham,WYN,4,Civ.,Unpaved,Yes,5200,86 km
1022691,4,Austral Downs,AWP,unknown,,,,0,88 km
1022692,1,Costa Marques 2,CQS,169,Civ.,Paved,No,4900,84 km
1022692,1,Forte Principe da Beira,,180,Mil.,Unpaved,No,5900,91 km
1022695,8,Kalumburu,UBU,29,Priv.,Unpaved,No,4200,45 km
1022695,8,Mungalalu Truscott,,53,Civ.,Paved,Yes,3000,88 km
1022696,3,Auvergne,AVG,unknown,,,,0,21 km
1022696,3,Timber Creek,TBK,unknown,,,,0,61 km
1022696,3,Newry,NRY,unknown,,,,0,69 km
1022696,3,Humbert River,HUB,unknown,,,,0,94 km
1022696,3,Waterloo,WLO,unknown,,,,0,104 km
1022697,5,Descalvados,,110,Civ.,Unpaved,No,3700,40 km
1022697,5,Fazenda Ilha Camargo,,109,,,,0,94 km
1022697,5,Caceres,CCX,135,Civ.,Paved,No,6000,99 km
1022698,2,Mitchell Plateau,MIH,unknown,,,,0,38 km
1022698,2,Kalumburu,UBU,29,Priv.,Unpaved,No,4200,92 km
1022700,7,Posto Leonardo Vilas Boas,,330,Civ.,Unpaved,No,3200,74 km
1022700,7,Xingu,,305,Mil.,Unpaved,No,3600,94 km
1022701,2,Derby,DRB,7,Civ.,Paved,Yes,5600,82 km
1022703,7,Camfield,CFI,unknown,,,,0,55 km
1022703,7,Victoria R. Downs,VCD,unknown,,,,0,75 km
1022703,7,Wave Hill,WAV,201,Civ.,Unpaved,Yes,3000,91 km
1022705,9,Fazenda Ilha Camargo,,109,,,,0,76 km
1022707,2,Luciara,,210,Civ.,Unpaved,No,3200,43 km
1022707,2,Santa Isabel Do Morro,IDO,197,Civ.,Paved,No,5000,52 km
1022707,2,Sao Felix Do Araguaia,SXO,197,Civ.,Unpaved,No,4700,54 km
1022707,2,Suia-Missu,SWM,unknown,,,,0,56 km
1022707,2,Confreza,CFO,unknown,,,,0,93 km
1022710,2,Mangut,,244,,,,0,52 km
1022714,4,Kalumburu,UBU,29,Priv.,Unpaved,No,4200,41 km
1022714,4,Mungalalu Truscott,,53,Civ.,Paved,Yes,3000,79 km
1022715,3,Ji Parana,JPR,181,Civ.,Paved,No,5900,85 km
1022717,2,Gurue,VJQ,unknown,,,,0,89 km
1022719,2,Ghanzi,GNZ,1137,Civ.,Paved,Yes,4900,58 km
1022719,2,Oakdene,,1146,,,,0,87 km
1022722,7,San Ignacio de Moxos,SNM,140,Civ.,Unpaved,No,5900,44 km
1022722,7,Santa Ana Yacuma,SBL,unknown,,,,0,100 km
1022722,7,Capitan German Quiroga Guardia,SRJ,194,Civ.,Unpaved,Yes,5900,101 km
1022722,7,Jorge Henrich Arauz,TDD,155,Civ.,Paved,Yes,6000,103 km
1022723,5,Mangut,,244,,,,0,52 km
1022724,6,Jorge Henrich Arauz,TDD,155,Civ.,Paved,Yes,6000,81 km
1022725,4,Mitchell Plateau,MIH,unknown,,,,0,72 km
1022726,7,Margaret River,MGV,unknown,,,,0,46 km
1022726,7,Christmas Creek,CXQ,unknown,,,,0,76 km
1022727,1,Mafia,MFA,18,Civ.,Unpaved,No,5200,100 km
1022728,2,Borroloola,BOX,16,Civ.,Paved,Yes,4000,86 km
1022728,2,McArthur River Mine,,40,Priv.,Paved,Yes,4900,98 km
1022729,3,Bealanana,WBE,1120,,,,0,53 km
1022729,3,Analalava,HVA,105,Civ.,Unpaved,No,3900,54 km
1022729,3,Antsohihy Ambalabe,WAI,28,Civ.,Paved,No,4900,58 km
1022729,3,Anahidrano,,60,,,,0,74 km
1022729,3,Ambanja,IVA,11,Civ.,Unpaved,No,3100,90 km
1022729,3,Befandriana,WBD,250,Civ.,Unpaved,No,4100,91 km
1022730,2,Gurue,VJQ,unknown,,,,0,85 km
1022731,1,Mafia,MFA,18,Civ.,Unpaved,No,5200,99 km
1022732,1,Kakhovka / Romny,,207,,,,0,53 km
1022732,1,Chevgda,,300,,,,0,84 km
1022732,1,Zavitinsk Northeast,,221,,,,0,93 km
1022733,2,Kakhovka / Romny,,207,,,,0,50 km
1022733,2,Chevgda,,300,,,,0,83 km
1022733,2,Zavitinsk Northeast,,221,,,,0,90 km
1022733,2,,,229,,,,0,100 km
1022735,2,Century Mine,,126,Civ.,Paved,Yes,5700,67 km
1022735,2,Camooweal,CML,unknown,,,,0,79 km
1022735,2,Lawn Hill,LWH,unknown,,,,0,79 km
1022735,2,Gregory Downs,GGD,unknown,,,,0,100 km
1022736,3,Century Mine,,126,Civ.,Paved,Yes,5700,57 km
1022736,3,Lawn Hill,LWH,unknown,,,,0,69 km
1022736,3,Camooweal,CML,unknown,,,,0,86 km
1022736,3,Gregory Downs,GGD,unknown,,,,0,96 km
1022737,3,Century Mine,,126,Civ.,Paved,Yes,5700,60 km
1022737,3,Lawn Hill,LWH,unknown,,,,0,73 km
1022737,3,Gregory Downs,GGD,unknown,,,,0,86 km
1022737,3,Camooweal,CML,unknown,,,,0,92 km
1022738,1,Trepell,,272,Civ.,Paved,Yes,5900,21 km
1022738,1,The Monument,,288,Civ.,Paved,Yes,6200,80 km
1022739,1,Camooweal,CML,unknown,,,,0,56 km
1022739,1,Century Mine,,126,Civ.,Paved,Yes,5700,86 km
1022739,1,Lawn Hill,LWH,unknown,,,,0,96 km
1022740,1,Kalpowar,KPP,unknown,,,,0,36 km
1022740,1,Lakefield,LFP,unknown,,,,0,37 km
1022740,1,Koolburra,KKP,unknown,,,,0,47 km
1022740,1,Laura,LUU,unknown,,,,0,51 km
1022740,1,Bizant,BZP,unknown,,,,0,51 km
1022740,1,Dixie,DXD,unknown,,,,0,53 km
1022740,1,Laura Station,LUT,unknown,,,,0,75 km
1022740,1,Greenvale Miner Lake,GVP,unknown,,,,0,81 km
1022740,1,Hope Vale,HPE,unknown,,,,0,101 km
1022741,1,Formosa Do Rio Preto,,485,,,,0,57 km
1022741,1,Corrente,,473,Civ.,Unpaved,No,3200,73 km
1022742,1,Greenvale Miner Lake,GVP,unknown,,,,0,32 km
1022742,1,Laura,LUU,unknown,,,,0,69 km
1022742,1,Helenvale,HLV,unknown,,,,0,73 km
1022742,1,Laura Station,LUT,unknown,,,,0,73 km
1022742,1,Bloomfield,BFC,unknown,,,,0,76 km
1022742,1,Cooktown,CTN,8,Civ.,Paved,Yes,5300,90 km
1022742,1,Koolburra,KKP,unknown,,,,0,93 km
1022742,1,Wrotham Park,WPK,unknown,,,,0,93 km
1022742,1,Bizant,BZP,unknown,,,,0,95 km
1022742,1,Bulimba,BIP,unknown,,,,0,97 km
1022742,1,Port Douglas,PTI,unknown,,,,0,97 km
1022743,1,Mitchell Plateau,MIH,unknown,,,,0,96 km
