Event_id,Episode,Name,LOCODE,Country,Distance
1022657,3,Yampi,AUYAM,Coral Sea Islands,64 km
1022657,3,Yampi Sound,,Coral Sea Islands,65 km
1022657,3,Derby,AUDRB,Coral Sea Islands,65 km
1022657,3,Cape Leveque,,Coral Sea Islands,79 km
1022669,8,Kwinana,AUKWI,Coral Sea Islands,39 km
1022669,8,Fremantle,AUFRE,Coral Sea Islands,40 km
1022669,8,Rottnest Island,AURTS,Coral Sea Islands,67 km
1022683,10,Kalumburu,,Coral Sea Islands,28 km
1022684,9,Bathurst Island,AUBRT,Coral Sea Islands,39 km
1022686,5,Soalala,MGDWB,Madagascar,18 km
1022686,5,Bali,,Madagascar,19 km
1022686,5,Cape St. Andre,,Madagascar,75 km
1022690,4,Wyndham,AUWYN,Coral Sea Islands,94 km
1022695,8,Cape Londonderry,,Coral Sea Islands,84 km
1022698,2,Kalumburu,,Coral Sea Islands,56 km
1022701,2,Yampi,AUYAM,Coral Sea Islands,58 km
1022701,2,Yampi Sound,,Coral Sea Islands,58 km
1022701,2,Cape Leveque,,Coral Sea Islands,69 km
1022701,2,Derby,AUDRB,Coral Sea Islands,72 km
1022714,4,Cape Londonderry,,Coral Sea Islands,73 km
1022727,1,Kilwa Kivinje,TZKIK,Tanzania,43 km
1022727,1,Kilwa Masoko,TZKIM,Tanzania,63 km
1022729,3,Maromandia,,Madagascar,28 km
1022729,3,Analalava,,Madagascar,55 km
1022731,1,Kilwa Kivinje,TZKIK,Tanzania,40 km
1022731,1,Kilwa Masoko,TZKIM,Tanzania,61 km
1022742,1,Cooktown,AUCTN,Coral Sea Islands,92 km
1022742,1,Port Souglas,,Coral Sea Islands,99 km
