Event_id,Episode,Reservoir,Dam_Name,River,Year,Distance
1022607,14,Waggaboonyah,Waggaboonyah,Greenstone Creek,1969,120 km
1022642,5,Massinger Barragen,Massingir,Elefantes,1976,77 km
1022661,12,,Ombreiras,Jauru,2005,94 km
1022669,8,Canning Reservoir,Canning,Canning,1940,6 km
1022669,8,Wungong Reservoir,Wungong,Wungong Brook,1979,10 km
1022669,8,Victoria Reservoir,New Victoria,Munday Brook,1991,19 km
1022669,8,Serpentine Reservoir,Serpentine,Serpentine,1961,24 km
1022669,8,,Mundaring Weir,Helena,1959,26 km
1022669,8,Banksiadale,South Dandalup,South Dandalup,1974,52 km
1022669,8,Navarino,Waroona,Drakes Brook,1966,75 km
1022669,8,Brockman,Logue Brook,Logue Brook,1963,90 km
1022669,8,Stirling Reservoir,Stirling,Harvey,1948,104 km
1022690,4,Argyle,Ord River,Ord,1971,60 km
1022732,1,,Bureya,Bureya,2009,84 km
1022733,2,,Bureya,Bureya,2009,82 km
1022735,2,Waggaboonyah,Waggaboonyah,Greenstone Creek,1969,92 km
1022736,3,Waggaboonyah,Waggaboonyah,Greenstone Creek,1969,100 km
1022737,3,Waggaboonyah,Waggaboonyah,Greenstone Creek,1969,83 km
