Event_id,Episode,Lat/Lon,Event_date,Exposed_Population30km,Exposed_Population100km,VEI,PEI,Event_summary
1000000,49,"37.748 , 14.999",21 Feb 2022 11:27 UTC,About 940000 people within 30km,About 2750000 people within 100km,5,5,Volcanic eruption Etna is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000002,1,"55.972 , 160.595",22 Oct 2020 00:00 UTC,Few people affected,About 8000 people within 100km,5,2,Volcanic eruption Bezymianny is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000003,1,"3.17 , 98.392",03 Nov 2020 00:00 UTC,About 260000 people within 30km,About 8200000 people within 100km,2,5,Volcanic eruption Sinabung is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000004,6,"-7.54 , 110.446",28 Jan 2021 00:00 UTC,About 4440000 people within 30km,About 24400000 people within 100km,4,7,Volcanic eruption Merapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000005,1,"-19.532 , 169.447",27 Nov 2020 00:00 UTC,About 33000 people within 30km,About 37000 people within 100km,3,3,Volcanic eruption Yasur is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000006,4,"-8.272 , 123.505",06 Dec 2020 00:00 UTC,About 140000 people within 30km,About 460000 people within 100km,3,4,Volcanic eruption Lewotolo is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000007,1,"-8.108 , 112.922",01 Dec 2020 00:00 UTC,About 870000 people within 30km,About 19740000 people within 100km,3,5,Volcanic eruption Semeru is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000008,1,"-21.244 , 55.708",07 Dec 2020 00:00 UTC,About 300000 people within 30km,About 850000 people within 100km,5,5,"Volcanic eruption Fournaise, Piton de la is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability."
1000009,1,"19.421 , -155.287",21 Dec 2020 00:00 UTC,About 3000 people within 30km,About 190000 people within 100km,4,3,Volcanic eruption Kilauea is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000010,1,"14.382 , -90.601",10 Feb 2021 00:00 UTC,About 2760000 people within 30km,About 7860000 people within 100km,3,6,Volcanic eruption Pacaya is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000011,1,"14.473 , -90.88",15 Feb 2021 00:00 UTC,About 1230000 people within 30km,About 8730000 people within 100km,4,5,Volcanic eruption Fuego is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000012,5,"14.002 , 120.993",08 Jul 2021 00:00 UTC,About 3080000 people within 30km,About 29950000 people within 100km,6,7,Volcanic eruption Taal is expected to have a medium humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000013,3,"3.17 , 98.392",11 Mar 2021 00:00 UTC,About 260000 people within 30km,About 8200000 people within 100km,2,5,Volcanic eruption Sinabung is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000014,5,"14.382 , -90.601",23 Apr 2021 00:00 UTC,About 2760000 people within 30km,About 7860000 people within 100km,3,6,Volcanic eruption Pacaya is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000015,1,"12.702 , -87.004",11 Mar 2021 00:00 UTC,About 330000 people within 30km,About 1880000 people within 100km,3,4,Volcanic eruption San Cristobal is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000016,1,"31.593 , 130.657",12 Mar 2021 00:00 UTC,About 840000 people within 30km,About 2480000 people within 100km,6,6,Volcanic eruption Sakurajima is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000017,1,"-2.005 , -78.341",12 Mar 2021 00:00 UTC,About 19000 people within 30km,About 1530000 people within 100km,3,3,Volcanic eruption Sangay is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000018,1,"63.883 , -22.083",20 Mar 2021 00:00 UTC,About 40000 people within 30km,About 250000 people within 100km,2,5,Volcanic eruption Krysuvik is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000020,5,"13.33 , -61.18",23 Apr 2021 00:00 UTC,About 94000 people within 30km,About 270000 people within 100km,4,4,Volcanic eruption Soufriere St. Vincent is expected to have a medium humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000021,1,"38.789 , 15.213",19 May 2021 00:00 UTC,About 3000 people within 30km,About 1000000 people within 100km,3,3,Volcanic eruption Stromboli is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000023,7,"-1.52 , 29.25",04 Jun 2021 00:00 UTC,About 1330000 people within 30km,About 11140000 people within 100km,2,5,Volcanic eruption Nyiragongo is expected to have a high humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000024,1,"14.473 , -90.88",26 May 2021 00:00 UTC,About 1230000 people within 30km,About 8730000 people within 100km,4,5,Volcanic eruption Fuego is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000025,1,"52.076 , -176.13",26 May 2021 00:00 UTC,No people affected,About 200 people within 100km,2,1,Volcanic eruption Great Sitkin is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000026,1,"14.473 , -90.88",21 Jun 2021 00:00 UTC,About 1230000 people within 30km,About 8730000 people within 100km,4,5,Volcanic eruption Fuego is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000027,1,"-7.54 , 110.446",21 Jun 2021 00:00 UTC,About 4440000 people within 30km,About 24400000 people within 100km,4,7,Volcanic eruption Merapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000028,1,"29.638 , 129.714",24 Jun 2021 00:00 UTC,About 300 people within 30km,About 600 people within 100km,4,2,Volcanic eruption Suwanosejima is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000029,1,"3.17 , 98.392",29 Jul 2021 00:00 UTC,About 260000 people within 30km,About 8200000 people within 100km,2,5,Volcanic eruption Sinabung is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000030,1,"-7.54 , 110.446",09 Aug 2021 00:00 UTC,About 4440000 people within 30km,About 24400000 people within 100km,4,7,Volcanic eruption Merapi is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000031,41,"28.57 , -17.83",15 Dec 2021 00:00 UTC,About 91000 people within 30km,About 130000 people within 100km,2,4,Volcanic eruption La Palma is expected to have a medium humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000032,1,"19.421 , -155.287",30 Sep 2021 00:00 UTC,About 3000 people within 30km,About 190000 people within 100km,4,3,Volcanic eruption Kilauea is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000033,4,"-4.08 , 145.037",23 Dec 2021 00:00 UTC,About 31000 people within 30km,About 200000 people within 100km,4,3,Volcanic eruption Manam is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000034,1,"38.404 , 14.962",22 Nov 2021 00:00 UTC,About 36000 people within 30km,About 1810000 people within 100km,4,4,Volcanic eruption Vulcano is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
1000035,5,"-8.108 , 112.922",03 Jan 2022 00:00 UTC,About 870000 people within 30km,About 19740000 people within 100km,3,5,Volcanic eruption Semeru is expected to have a low humanitarian impact based on the magnitude and the affected population and their vulnerability.
