Event_id,Episode,Reservoir,Dam_Name,River,Year,Distance
1000000,49,,Pozzillo,Salso,1959,35 km
1000000,49,,Ancipa,Troina,1953,38 km
1000000,49,,Lentini,Lentini,1991,48 km
1000000,49,,Nicoletti,Bozzetta,1972,60 km
1000000,49,,Villarosa,Morello,1971,72 km
1000000,49,,Santa Rosalia,Irminio,1983,89 km
1000004,6,,Kedung Ombo,Uter,1989,53 km
1000004,6,,Wonogiri,Keduang,1982,62 km
1000004,6,,Wadaslintang,Lunto,1987,74 km
1000007,1,,Sengguruh,Lesti,1988,42 km
1000007,1,,Lahor,Brantas,1975,52 km
1000007,1,,Karang Kates,Brantas,1973,53 km
1000007,1,,Selorejo,Konto,1970,68 km
1000007,1,,Wlingi,Brantas,1977,74 km
1000011,1,,Pueblo Viejo,Chixoy,1983,99 km
1000012,5,Caliraya,Caliraya,Caliraya,1949,64 km
1000016,1,Osumiko,Takakuma,Kushiragawa,1968,21 km
1000016,1,Takeyama,Takeyama,Usonokigawa,1986,25 km
1000016,1,Otsuruko,Tsuruda,Sendaigawa,1965,47 km
1000016,1,Kogawa,Kogawa,Kogawa,1973,57 km
1000016,1,Oyodogawadaiichi,Oyodogawadaiichi,Oyodogawa,1961,58 km
1000016,1,Sakataniko,Nichinan,Sakatanigawa,1984,59 km
1000016,1,Nojiriko,Iwase,Iwasegawa,1967,60 km
1000016,1,Oyodogawadaini,Oyodogawadaini,Oyodogawa,1932,64 km
1000016,1,Onoko,Ayaminami,Honjogawa,1958,68 km
1000016,1,Tachibana,Tachibana,Jarogawa,1963,83 km
1000016,1,Ichifusa,Ichifusa,Kumagawa,1959,87 km
1000016,1,Hitotsuse,Hitotsuse,Hitotsusegawa,1963,91 km
1000016,1,Uchitani,Uchitani,Itsukiogawa,1975,92 km
1000024,1,,Pueblo Viejo,Chixoy,1983,99 km
1000026,1,,Pueblo Viejo,Chixoy,1983,99 km
1000027,1,,Kedung Ombo,Uter,1989,53 km
1000027,1,,Wonogiri,Keduang,1982,62 km
1000027,1,,Wadaslintang,Lunto,1987,74 km
1000030,1,,Kedung Ombo,Uter,1989,53 km
1000030,1,,Wonogiri,Keduang,1982,62 km
1000030,1,,Wadaslintang,Lunto,1987,74 km
1000034,1,,Ancipa,Troina,1953,72 km
1000034,1,,Pozzillo,Salso,1959,87 km
1000035,5,,Sengguruh,Lesti,1988,42 km
1000035,5,,Lahor,Brantas,1975,52 km
1000035,5,,Karang Kates,Brantas,1973,53 km
1000035,5,,Selorejo,Konto,1970,68 km
1000035,5,,Wlingi,Brantas,1977,74 km
