event_id,episode_id,impact_url,event_type
1450236,1599251,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450236&episodeid=1599251&eventtype=EQ,Earthquakes
1450235,1599247,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450235&episodeid=1599247&eventtype=EQ,Earthquakes
1450234,1599246,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450234&episodeid=1599246&eventtype=EQ,Earthquakes
1450218,1599228,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450218&episodeid=1599228&eventtype=EQ,Earthquakes
1450215,1599224,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450215&episodeid=1599224&eventtype=EQ,Earthquakes
1450206,1599213,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450206&episodeid=1599213&eventtype=EQ,Earthquakes
1450207,1599212,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450207&episodeid=1599212&eventtype=EQ,Earthquakes
1450203,1599207,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450203&episodeid=1599207&eventtype=EQ,Earthquakes
1450187,1599187,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450187&episodeid=1599187&eventtype=EQ,Earthquakes
1450182,1599181,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450182&episodeid=1599181&eventtype=EQ,Earthquakes
1450160,1599148,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450160&episodeid=1599148&eventtype=EQ,Earthquakes
1450155,1599140,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450155&episodeid=1599140&eventtype=EQ,Earthquakes
1450141,1599134,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450141&episodeid=1599134&eventtype=EQ,Earthquakes
1450129,1599111,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450129&episodeid=1599111&eventtype=EQ,Earthquakes
1450115,1599098,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450115&episodeid=1599098&eventtype=EQ,Earthquakes
1450100,1599072,https://www.gdacs.org/Earthquakes/report.aspx?eventid=1450100&episodeid=1599072&eventtype=EQ,Earthquakes
